
[00:00:00.000 --> 00:00:02.380]  大英姊妹早晨,多謝主席的介紹
[00:00:02.380 --> 00:00:04.920]  很開心能夠來到大家當中
[00:00:04.920 --> 00:00:08.500]  這幾天我和同事唐靖主任一齊來到澳洲
[00:00:08.500 --> 00:00:09.980]  去探訪不同的教會
[00:00:09.980 --> 00:00:12.300]  其實都得到很多教會的熱情招待
[00:00:12.300 --> 00:00:16.560]  和見到上帝在悉尼、在澳洲很奇妙的工作
[00:00:16.560 --> 00:00:19.580]  多謝謝牧師邀請我來這裡訓訓信息
[00:00:19.580 --> 00:00:21.780]  謝牧師也是我的師兄
[00:00:21.780 --> 00:00:25.500]  見到很多的同道在澳洲的地方
[00:00:25.500 --> 00:00:28.180]  去到做上帝的工作
[00:00:28.180 --> 00:00:29.700]  我覺得是很感恩的事情
[00:00:29.700 --> 00:00:31.520]  願主祝福大家
[00:00:31.520 --> 00:00:33.360]  不如我們進入上帝的說話之前
[00:00:33.360 --> 00:00:35.900]  我們一起去祈禱
[00:00:35.900 --> 00:00:37.240]  天父多謝祢
[00:00:37.240 --> 00:00:39.360]  因為祢透過祢的說話去教導我們
[00:00:39.360 --> 00:00:41.180]  讓我們能夠得到生命
[00:00:41.180 --> 00:00:43.580]  我就求祢今天去打開祢自己的說話
[00:00:43.580 --> 00:00:45.400]  讓我們不但聽得明白
[00:00:45.400 --> 00:00:48.000]  我們也被祢的說話去到更新
[00:00:48.000 --> 00:00:51.040]  求聖靈在我們當中親自教導
[00:00:51.040 --> 00:00:51.680]  聽我祈禱
[00:00:51.680 --> 00:00:52.300]  禱告鳳爺
[00:00:52.300 --> 00:00:53.580]  蘇基督的命祈求
[00:00:53.580 --> 00:00:54.360]  阿們
[00:00:54.360 --> 00:00:57.240]  今天我就選了約翰福音第三章
[00:00:57.240 --> 00:01:00.280]  一至到第十六節去跟大家分享
[00:01:00.280 --> 00:01:03.400]  大家想到約翰福音三章
[00:01:03.400 --> 00:01:04.800]  都很熟悉的經文
[00:01:04.800 --> 00:01:06.300]  「神愛世人」
[00:01:06.300 --> 00:01:07.480]  尤其是十六節
[00:01:07.480 --> 00:01:10.680]  甚至將祂的獨生賜給我們
[00:01:10.680 --> 00:01:12.140]  叫我們一起信祂的人
[00:01:12.140 --> 00:01:14.280]  不至滅亡 凡德永生
[00:01:14.280 --> 00:01:17.640]  我們會知道這句經文是在說
[00:01:17.640 --> 00:01:19.780]  人的得救
[00:01:19.780 --> 00:01:23.980]  不需要滅亡死後可以上天堂
[00:01:23.980 --> 00:01:25.540]  當然是好事
[00:01:25.540 --> 00:01:27.940]  不過當我們去細讀這段經文
[00:01:27.940 --> 00:01:30.740]  發覺這段經文耶穌討論的
[00:01:30.740 --> 00:01:33.280]  不只是我們死後上天堂的事情
[00:01:33.280 --> 00:01:37.440]  原來是說一些我們今天在世界裏面
[00:01:37.440 --> 00:01:38.840]  可以見到的東西
[00:01:38.840 --> 00:01:40.940]  或者應該做些什麼
[00:01:40.940 --> 00:01:42.040]  進入經文的時候
[00:01:42.040 --> 00:01:43.080]  我們看看
[00:01:43.080 --> 00:01:44.440]  開始的時候
[00:01:44.440 --> 00:01:46.040]  就說一個法利塞人
[00:01:46.040 --> 00:01:47.640]  他叫做尼哥德姆
[00:01:47.640 --> 00:01:49.940]  是一個猶太人的官
[00:01:49.940 --> 00:01:51.940]  說一下歷史背景
[00:01:51.940 --> 00:01:57.440]  那時候其實以色列人在羅馬帝國裏面
[00:01:57.440 --> 00:02:01.240]  以色列人被羅馬去統治
[00:02:01.240 --> 00:02:04.240]  尼哥德姆是猶太人的官
[00:02:04.240 --> 00:02:07.240]  也是他們的宗教領袖
[00:02:07.240 --> 00:02:10.240]  所以那時候猶太人是被羅馬
[00:02:10.240 --> 00:02:11.840]  叫做殖民的統治
[00:02:11.840 --> 00:02:14.340]  有些東西被猶太人自己管
[00:02:14.340 --> 00:02:18.140]  不過有些東西就要羅馬去處理
[00:02:18.140 --> 00:02:21.140]  當然以色列人被羅馬去管治
[00:02:21.140 --> 00:02:23.540]  很多人都不太開心
[00:02:23.540 --> 00:02:28.040]  而且那時候羅馬徵收重稅各方面
[00:02:28.040 --> 00:02:31.440]  所以猶太人裏面都有些反對的聲音
[00:02:31.440 --> 00:02:33.440]  大家熟悉聖經都會知道
[00:02:33.440 --> 00:02:36.640]  可以說局勢都不是很安穩
[00:02:36.640 --> 00:02:39.640]  想像尼哥德姆他是猶太人的官
[00:02:39.640 --> 00:02:44.040]  其實都好像夾在人民和政府之間
[00:02:44.040 --> 00:02:45.840]  一方面得罪羅馬
[00:02:45.840 --> 00:02:50.040]  一方面又要安撫那些平民
[00:02:50.040 --> 00:02:53.040]  為什麼這個猶太人的官會找耶穌呢?
[00:02:53.040 --> 00:02:54.640]  第二節有說
[00:02:54.640 --> 00:02:58.640]  晚上找耶穌跟他說拉給老師
[00:02:58.640 --> 00:03:01.840]  我們知道你是從神那裏作老師的
[00:03:01.840 --> 00:03:03.840]  因為你所行的神蹟
[00:03:03.840 --> 00:03:06.040]  如果沒有神同在沒有人行行
[00:03:06.040 --> 00:03:09.540]  因為尼哥德姆知道耶穌這個人
[00:03:09.540 --> 00:03:10.440]  做了很多的神蹟
