
[00:00:00.000 --> 00:00:04.860]  今天開始我們教會會思想二福所恕
[00:00:04.860 --> 00:00:08.480]  在開始思想今天的經文之前
[00:00:08.480 --> 00:00:10.480]  我想問問大家
[00:00:10.480 --> 00:00:14.660]  有甚麼事會令你很興奮的呢?
[00:00:14.660 --> 00:00:20.260]  有沒有甚麼特別的事令你很興奮的呢?
[00:00:20.260 --> 00:00:27.440]  我想我們當中未曾退休的弟兄姊妹
[00:00:27.440 --> 00:00:30.560]  會不會你突然收到上司的通知
[00:00:30.560 --> 00:00:32.560]  告訴你明年開始
[00:00:32.560 --> 00:00:34.920]  現在還不是很久 半個月左右
[00:00:34.920 --> 00:00:36.920]  明年開始聖節加薪
[00:00:36.920 --> 00:00:39.960]  那你會很興奮呢?
[00:00:39.960 --> 00:00:47.560]  又或者說很多人夢想有自己的屋
[00:00:47.560 --> 00:00:49.560]  當你買到屋之後
[00:00:49.560 --> 00:00:51.560]  新屋入伙了
[00:00:51.560 --> 00:00:53.560]  那你又會很興奮呢?
[00:00:53.560 --> 00:00:56.520]  會不會有人想買一部新車
[00:00:56.520 --> 00:00:58.520]  一入新車
[00:00:58.520 --> 00:01:00.520]  還有一陣新車味的時候
[00:01:00.520 --> 00:01:02.520]  你會很興奮呢?
[00:01:02.520 --> 00:01:04.520]  會不會呢?
[00:01:04.520 --> 00:01:10.520]  我們當中很多年紀成熟的弟兄姊妹
[00:01:10.520 --> 00:01:12.520]  會不會突然有一天
[00:01:12.520 --> 00:01:16.520]  你的子女帶男朋友或女朋友回來告訴你
[00:01:16.520 --> 00:01:18.520]  我們現在準備結婚了
[00:01:18.520 --> 00:01:20.520]  我們會很興奮呢?
[00:01:20.520 --> 00:01:22.520]  又或者有一天回來告訴你
[00:01:24.520 --> 00:01:26.520]  我們又有子女
[00:01:26.520 --> 00:01:28.520]  你的兒女又有子女
[00:01:28.520 --> 00:01:30.520]  你將會成為祖父母的時候
[00:01:30.520 --> 00:01:32.520]  我們會很興奮呢?
[00:01:32.520 --> 00:01:34.520]  會不會這些事情令我們很興奮呢?
[00:01:34.520 --> 00:01:38.520]  其實這些事情令我們興奮
[00:01:38.520 --> 00:01:40.520]  都是正常的
[00:01:40.520 --> 00:01:42.520]  因為我們是人嘛
[00:01:42.520 --> 00:01:44.520]  這是人之常情
[00:01:44.520 --> 00:01:46.520]  不過我也想再問一下大家
[00:01:46.520 --> 00:01:50.520]  當你第一次決志信耶穌的時候
[00:01:50.520 --> 00:01:52.520]  是不是很興奮呢?
[00:01:54.520 --> 00:01:56.520]  如果你當日興奮
[00:01:56.520 --> 00:01:58.520]  過了一段日子之後
[00:01:58.520 --> 00:02:00.520]  你現在會不會由於認識上帝
[00:02:00.520 --> 00:02:02.520]  更多的認識耶穌
[00:02:02.520 --> 00:02:04.520]  而覺得興奮呢?
[00:02:04.520 --> 00:02:08.520]  會不會當你讀聖經的時候
[00:02:08.520 --> 00:02:10.520]  讀了一段經文
[00:02:10.520 --> 00:02:12.520]  突然間這段經文很難明白
[00:02:12.520 --> 00:02:14.520]  看了很多次不明白
[00:02:14.520 --> 00:02:16.520]  但是今天有亮光
[00:02:16.520 --> 00:02:18.520]  我明白這段經文了
[00:02:18.520 --> 00:02:20.520]  終於明白這段經文說什麼的時候
[00:02:20.520 --> 00:02:22.520]  你會很興奮呢?
[00:02:24.520 --> 00:02:26.520]  我今天
[00:02:26.520 --> 00:02:28.520]  從耳筆所書的這段經文
[00:02:28.520 --> 00:02:30.520]  看到其實裡面
[00:02:30.520 --> 00:02:32.520]  是充滿了很多神學思想
[00:02:32.520 --> 00:02:34.520]  不過除了神學思想之外
[00:02:34.520 --> 00:02:36.520]  我也留意到
[00:02:36.520 --> 00:02:38.520]  保羅寫這段經文的時候
[00:02:38.520 --> 00:02:40.520]  真的充滿了興奮的情懷
[00:02:40.520 --> 00:02:42.520]  來和耳筆所的弟兄姊妹
[00:02:42.520 --> 00:02:44.520]  也和我們
[00:02:44.520 --> 00:02:46.520]  分享真理
[00:02:46.520 --> 00:02:48.520]  我們要知道
[00:02:48.520 --> 00:02:50.520]  保羅第一次
