
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹平安!
[00:00:04.000 --> 00:00:08.500]  弟兄姊妹平安這句說話,今天來得特別有意義。
[00:00:08.500 --> 00:00:18.500]  打了兩日的颱風,來勢洶洶,
[00:00:18.500 --> 00:00:23.000]  但是風就顯得很柔弱。
[00:00:25.500 --> 00:00:30.000]  當時我在廣州趕緊回來香港,
[00:00:30.000 --> 00:00:38.000]  因為去了廣州參加神學院的一個畢業典禮,
[00:00:38.000 --> 00:00:48.000]  在羅湖下了火車就過這個關口,
[00:00:52.000 --> 00:00:55.500]  聽到有人在談電話,
[00:00:55.500 --> 00:00:58.500]  「不跟你談了,十五分鐘後關閘了。」
[00:00:58.500 --> 00:01:05.500]  然後圍繞著附近的人就馬上賽跑了。
[00:01:05.500 --> 00:01:12.500]  看著手機好像還沒掛八號呢,
[00:01:12.500 --> 00:01:18.500]  然後又說停船了。
[00:01:21.000 --> 00:01:24.500]  看到整個氣氛是很緊張的,
[00:01:24.500 --> 00:01:32.500]  很踴躍地大家衝向海關關口。
[00:01:32.500 --> 00:01:39.500]  那一刻就突發奇想,
[00:01:39.500 --> 00:01:46.500]  如果大概十點鐘的時候突然之間這樣湧回來,
[00:01:46.500 --> 00:01:47.500]  我多開心呢!
[00:01:50.000 --> 00:01:52.500]  「不跟你談了,十五分鐘後開始崇拜了。」
[00:01:52.500 --> 00:02:01.000]  我不知道你怎樣看一個主日崇拜?
[00:02:01.000 --> 00:02:09.000]  其實同樣參與一個公共崇拜,大家想的方法可以很不同。
[00:02:09.000 --> 00:02:16.000]  你可以抱著一個心態就是,
[00:02:16.000 --> 00:02:19.500]  我既然是一個信徒,每個星期一定要守住這個禮拜。
[00:02:20.500 --> 00:02:22.000]  你的心態可以是說,
[00:02:22.000 --> 00:02:25.000]  我要每一個星期回來都要有得著。
[00:02:25.000 --> 00:02:32.000]  也有人可能是每個星期回來是因為我要感謝神,
[00:02:32.000 --> 00:02:39.500]  你都可能是說,我要見一見我的弟兄姊妹。
[00:02:39.500 --> 00:02:44.500]  我有我的侍奉之道,
[00:02:45.500 --> 00:02:48.500]  我有我的侍奉崗位要回來,
[00:02:48.500 --> 00:02:56.500]  昨晚打完風了,
[00:02:56.500 --> 00:03:01.500]  在晚上我坐在我家的窗台那裡,
[00:03:01.500 --> 00:03:07.500]  望天望了很久,
[00:03:07.500 --> 00:03:11.500]  因為很累不想寫講章的其實。
[00:03:12.500 --> 00:03:14.500]  (中文)
[00:03:14.500 --> 00:03:16.500]  你昨晚有沒有抬頭望天?
[00:03:16.500 --> 00:03:21.500]  很美啊!
[00:03:21.500 --> 00:03:26.500]  那天是非常清澈,
[00:03:26.500 --> 00:03:30.500]  滿天星星,
[00:03:30.500 --> 00:03:37.500]  我在家裡從來沒見過我家的天空有這麼多星星的。
[00:03:40.500 --> 00:03:42.500]  因為颱風之後吹走了很多污染物,
[00:03:42.500 --> 00:03:48.500]  那天很美啊!
[00:03:48.500 --> 00:03:52.500]  我很喜歡看到香港的空氣很清新,
[00:03:52.500 --> 00:03:55.500]  那些影像是很透徹的。
[00:03:55.500 --> 00:04:06.500]  當我抬頭望天,看到那麼多星星,月亮又很光的時候,
[00:04:07.500 --> 00:04:09.500]  我想到兩樣東西,
[00:04:09.500 --> 00:04:17.500]  今天是不是比較容易看到天上的境壁是怎樣的呢?
[00:04:17.500 --> 00:04:22.500]  即是看透了一點嘛!
[00:04:22.500 --> 00:04:26.500]  我們對我們的信仰好像模糊不清的嘛!
[00:04:26.500 --> 00:04:32.500]  我們又好像知道將來是怎樣,
