
[00:00:00.000 --> 00:00:03.540]  大家早晨,我們再一次同心禱告
[00:00:03.540 --> 00:00:08.380]  天父我們有望祢,求祢的愛
[00:00:08.380 --> 00:00:12.000]  在這個這麼紛亂的世代裏面
[00:00:12.000 --> 00:00:13.820]  去招搖我們
[00:00:13.820 --> 00:00:18.220]  讓我們的焦點不要離開你這個十字架的愛
[00:00:18.220 --> 00:00:19.840]  不要離開你自己
[00:00:19.840 --> 00:00:23.420]  今日教導我們更加去體驗
[00:00:23.420 --> 00:00:25.000]  去察看你的愛
[00:00:25.000 --> 00:00:27.880]  我們同心禱告奉耶穌基督的聖名
[00:00:27.880 --> 00:00:28.880]  阿們
[00:00:30.200 --> 00:00:33.440]  我剛才唱的那首歌叫做《靠近十架》
[00:00:33.440 --> 00:00:38.480]  這首歌的歌詞是一個美國的失明女詩人
[00:00:38.480 --> 00:00:41.140]  叫做Fanny Crosby所寫的
[00:00:41.140 --> 00:00:44.520]  然後Fanny Crosby一出生
[00:00:44.520 --> 00:00:47.220]  她第六個星期
[00:00:47.220 --> 00:00:48.960]  她的眼睛就發炎
[00:00:48.960 --> 00:00:50.940]  她找了一個醫生去醫
[00:00:50.940 --> 00:00:52.900]  但這個應該是庸醫
[00:00:52.900 --> 00:00:54.400]  醫不好
[00:00:54.400 --> 00:00:56.840]  結果她的眼睛就瞎了
[00:00:57.600 --> 00:01:00.380]  在Fanny Crosby的傳記裏面
[00:01:00.380 --> 00:01:02.160]  她提到有一個弟兄
[00:01:02.160 --> 00:01:05.740]  覺得他的人生都很悲慘
[00:01:05.740 --> 00:01:06.940]  很可憐
[00:01:06.940 --> 00:01:08.960]  這個弟兄就以為
[00:01:08.960 --> 00:01:12.960]  他對自己一出生第六個星期已經失明
[00:01:12.960 --> 00:01:15.440]  一定有很多自卑
[00:01:15.440 --> 00:01:16.520]  自憐
[00:01:16.520 --> 00:01:17.840]  怨恨
[00:01:17.840 --> 00:01:19.560]  很多不開心
[00:01:19.560 --> 00:01:20.560]  很多不滿
[00:01:20.560 --> 00:01:24.820]  Fanny就告訴這個弟兄
[00:01:25.540 --> 00:01:28.840]  我保證我一出生就瞎了
[00:01:28.840 --> 00:01:31.300]  這個弟兄就很不明白
[00:01:31.300 --> 00:01:33.200]  起碼你第六個星期才會瞎
[00:01:33.200 --> 00:01:35.420]  你為什麼一出生就想瞎呢?
[00:01:35.420 --> 00:01:37.600]  Fanny就回答他
[00:01:37.600 --> 00:01:39.280]  她說如果這樣
[00:01:39.280 --> 00:01:43.020]  當有一天我見到主的時候
[00:01:43.020 --> 00:01:46.220]  第一位我的眼睛能夠看見的
[00:01:46.220 --> 00:01:48.140]  那位就是主耶穌基督
[00:01:48.140 --> 00:01:52.260]  Fanny Crosby她天生失明
[00:01:52.260 --> 00:01:54.300]  但她仍然那麼愛主
[00:01:54.300 --> 00:01:56.540]  仍然那麼靠近十字架
[00:01:56.540 --> 00:02:01.780]  寫出剛才我們第三首那麼美麗的一首詩歌
[00:02:01.780 --> 00:02:03.300]  她就問
[00:02:03.300 --> 00:02:05.380]  為什麼十字架那麼神奇呢?
[00:02:05.380 --> 00:02:07.840]  有什麼神奇的吸引力呢?
[00:02:07.840 --> 00:02:11.020]  英國的歷史學家湯恩比
[00:02:11.020 --> 00:02:12.740]  他有一本著作
[00:02:12.740 --> 00:02:15.220]  他提到有一個中國女孩
[00:02:15.220 --> 00:02:17.620]  有一次去到英國去深造
[00:02:17.620 --> 00:02:19.460]  她親主家旗
[00:02:19.460 --> 00:02:21.820]  就在一個基督徒的家庭那裏打工
[00:02:21.820 --> 00:02:23.000]  就是賺點外快
[00:02:23.000 --> 00:02:23.940]  做保姆
[00:02:24.660 --> 00:02:29.420]  她看到這個家庭的大廳掛了一幅很大的畫
[00:02:29.420 --> 00:02:33.500]  這幅畫就是畫著耶穌基督釘十字架
[00:02:33.500 --> 00:02:37.820]  這個中國女孩就很不自在
[00:02:37.820 --> 00:02:41.300]  她就忍不住問她的主人
[00:02:41.300 --> 00:02:45.980]  為什麼在廳裏掛一幅那麼殘忍的畫呢?
[00:02:45.980 --> 00:02:47.660]  釘死一個人
[00:02:47.660 --> 00:02:49.260]  為什麼會那麼殘酷呢?
[00:02:49.260 --> 00:02:53.060]  那個主人聽完之後就有點不以為然
[00:02:53.620 --> 00:02:56.260]  其實這幅畫對她來說是殘酷的
[00:02:56.260 --> 00:02:57.900]  但是對我來說
[00:02:57.900 --> 00:02:59.100]  我覺得是愛
[00:02:59.100 --> 00:03:00.780]  是一個愛的表達
[00:03:00.780 --> 00:03:04.700]  其實十字架給人可能有兩種感覺
[00:03:04.700 --> 00:03:07.380]  一種就好像那個中國女孩那樣
[00:03:07.380 --> 00:03:09.500]  她不認識耶穌
[00:03:09.500 --> 00:03:10.940]  很殘忍的
