
[00:00:00.000 --> 00:00:03.000]  在開始的時候先跟大家說一個故事
[00:00:03.000 --> 00:00:05.000]  有一個故事是這樣說的
[00:00:05.000 --> 00:00:07.000]  從前有一個農夫
[00:00:07.000 --> 00:00:13.000]  有一天他發現一把很貴很貴的斧頭弄不見了
[00:00:13.000 --> 00:00:16.000]  當時他當然很害怕
[00:00:16.000 --> 00:00:21.000]  不過可惜他找了一整天都找不到這把斧頭
[00:00:21.000 --> 00:00:24.000]  到了第二天他就發現
[00:00:24.000 --> 00:00:29.000]  旁邊鄰居的小蚊子拿著一把斧頭
[00:00:29.000 --> 00:00:31.000]  嘩!多危險啊!
[00:00:31.000 --> 00:00:35.000]  但是看著看著你猜他當時是怎麼想的呢?
[00:00:35.000 --> 00:00:39.000]  他當然覺得這把斧頭肯定是我的
[00:00:39.000 --> 00:00:42.000]  覺得這個就是小偷了
[00:00:42.000 --> 00:00:45.000]  於是他看著他看著鄰居的小蚊子
[00:00:45.000 --> 00:00:47.000]  眼都不眨
[00:00:47.000 --> 00:00:50.000]  他一邊看著他走路的樣子
[00:00:50.000 --> 00:00:55.000]  一邊就覺得他一定是偷斧頭的那個人
[00:00:55.000 --> 00:00:57.000]  然後再看一下他的眼神
[00:00:57.000 --> 00:00:59.000]  再聽一下他說話的語氣
[00:00:59.000 --> 00:01:03.000]  十成八九你就是那個小偷了
[00:01:03.000 --> 00:01:07.000]  當他決定了這個就是那個小偷的時候
[00:01:07.000 --> 00:01:09.000]  然後他就覺得他一舉一動
[00:01:09.000 --> 00:01:12.000]  全部東西都像一個偷斧頭的人
[00:01:12.000 --> 00:01:15.000]  他的樣子就長成整個斧頭的樣子
[00:01:15.000 --> 00:01:17.000]  正當他火都來了
[00:01:17.000 --> 00:01:19.000]  正想著去質問他的時候
[00:01:19.000 --> 00:01:22.000]  喂你!哎呀!這樣
[00:01:22.000 --> 00:01:25.000]  怎麼了?發生什麼事了?
[00:01:25.000 --> 00:01:27.000]  被一些東西卡住了
[00:01:27.000 --> 00:01:32.000]  被一個仿似斧頭的物體卡住了
[00:01:32.000 --> 00:01:37.000]  然後他才發現原來我剛才在挖一個洞
[00:01:37.000 --> 00:01:39.000]  原來我昨天在挖一個洞
[00:01:39.000 --> 00:01:41.000]  就是在劈一個斧頭在挖一個洞
[00:01:41.000 --> 00:01:43.000]  原來我扭在那裡
