
[00:00:00.000 --> 00:00:01.280]  今日是母親節
[00:00:01.280 --> 00:00:07.420]  讓我們祝願天下母親身心靈健康
[00:00:07.420 --> 00:00:09.980]  願上主的恩典
[00:00:09.980 --> 00:00:12.280]  常與每一位母親同在
[00:00:12.280 --> 00:00:14.840]  說起母親
[00:00:14.840 --> 00:00:19.720]  想起一個與母親有關的心理學實驗
[00:00:19.720 --> 00:00:22.280]  實驗是這樣進行的
[00:00:22.280 --> 00:00:25.600]  母親和幼兒
[00:00:25.600 --> 00:00:28.920]  被帶到一個不熟悉的房間
[00:00:29.700 --> 00:00:33.020]  房間裡擺滿了很多玩具
[00:00:33.020 --> 00:00:36.100]  當母親在場的時候
[00:00:36.100 --> 00:00:40.200]  幼兒會被鼓勵去探索周圍的環境
[00:00:40.200 --> 00:00:41.740]  放心去玩
[00:00:41.740 --> 00:00:43.780]  過了幾分鐘之後
[00:00:43.780 --> 00:00:46.860]  有一位陌生人會進來
[00:00:46.860 --> 00:00:49.420]  然後母親就會離開
[00:00:49.420 --> 00:00:54.020]  經過這次短暫分離之後
[00:00:54.020 --> 00:00:56.060]  母親又會回來
[00:00:56.060 --> 00:00:59.400]  研究人員要觀察的是
[00:01:00.160 --> 00:01:05.280]  母親離開房間以及母親重新回到房間的時候
[00:01:05.280 --> 00:01:07.580]  幼兒有什麼反應呢
[00:01:07.580 --> 00:01:13.980]  這個心理學實驗和今天的經課有什麼關係呢
[00:01:13.980 --> 00:01:18.080]  剛才大家聽福音經課的時候
[00:01:18.080 --> 00:01:19.620]  有沒有聽到
[00:01:19.620 --> 00:01:22.180]  耶穌說自己要離開
[00:01:22.180 --> 00:01:24.860]  我們試試看
[00:01:24.860 --> 00:01:27.140]  《要人福音》第十四章十八節
[00:01:30.680 --> 00:01:35.280]  耶穌說:我不撇下你們為孤兒
[00:01:35.280 --> 00:01:37.600]  我必到你們這裡來
[00:01:37.600 --> 00:01:41.680]  還有不多的時候世人不再看見我
[00:01:41.680 --> 00:01:43.220]  你們卻看見我
[00:01:43.220 --> 00:01:46.300]  因為我活著你們也要活著
[00:01:46.300 --> 00:01:49.620]  耶穌要離開
[00:01:49.620 --> 00:01:52.700]  在耶穌不在的時候
[00:01:52.700 --> 00:01:56.800]  你猜猜跟隨耶穌的人會有什麼反應呢
[00:01:59.860 --> 00:02:03.660]  然後有一天耶穌又再回來的時候
[00:02:03.660 --> 00:02:06.980]  那些跟隨者又會有什麼反應呢
[00:02:06.980 --> 00:02:12.020]  我們回到剛才的心理學實驗
[00:02:12.020 --> 00:02:19.620]  研究人員將嬰兒對母親離開和重回的時候的反應
[00:02:19.620 --> 00:02:22.420]  在最初分為三種
[00:02:22.420 --> 00:02:29.020]  第一種就稱之為安全型依附
[00:02:29.740 --> 00:02:32.820]  安全型依附的嬰兒在母親在場的時候
[00:02:32.820 --> 00:02:37.340]  他會將母親視為探索世界的安全基地
[00:02:37.340 --> 00:02:39.900]  當母親離開之後
[00:02:39.900 --> 00:02:41.900]  嬰兒就會變得很沮喪
[00:02:41.900 --> 00:02:43.980]  但是當母親回來的時候
[00:02:43.980 --> 00:02:46.220]  嬰兒就會去接近母親
[00:02:46.220 --> 00:02:48.740]  並且感覺到很快樂
[00:02:48.740 --> 00:02:56.940]  第二種嬰兒的反應稱為迴避型不安全依附
[00:02:58.740 --> 00:03:01.860]  那種迴避型不安全依附的嬰兒
[00:03:01.860 --> 00:03:04.260]  他們跟母親顯得疏離
[00:03:04.260 --> 00:03:08.980]  母親在場的時候都當他沒有到
[00:03:08.980 --> 00:03:14.660]  母親離開之後其實又不會特別失望
[00:03:14.660 --> 00:03:16.100]  又沒有什麼反應
[00:03:16.100 --> 00:03:19.620]  到母親回來了都沒有什麼所謂
[00:03:22.100 --> 00:03:29.980]  第三種就是稱為焦慮或矛盾型的不安全依附
[00:03:29.980 --> 00:03:34.020]  矛盾焦慮型的不安全依附的小孩
[00:03:34.020 --> 00:03:38.900]  他們在母親離開的時候顯得相當不安和焦躁
[00:03:38.900 --> 00:03:40.940]  但當母親回來的時候
[00:03:40.940 --> 00:03:43.500]  他們不會特別開心
[00:03:43.500 --> 00:03:47.020]  他們沒有辦法輕易被安撫
[00:03:47.020 --> 00:03:48.220]  如果他哭泣的時候
[00:03:48.220 --> 00:03:49.900]  你不容易安撫他
[00:03:50.380 --> 00:03:54.780]  同時間他對母親保持著憤怒和抗拒
[00:03:54.780 --> 00:03:57.780]  但不僅如此
[00:03:57.780 --> 00:04:01.540]  因為他又很渴望可以跟母親接觸
[00:04:01.540 --> 00:04:06.820]  這個心理學的實驗後來被廣泛擴充
