
[00:00:00.000 --> 00:00:04.500]  我們特別講一個題目叫
[00:00:04.500 --> 00:00:07.800]  "Daring to give God your best"
[00:00:07.800 --> 00:00:12.500]  就是夠膽將最好的獻給神
[00:00:12.500 --> 00:00:15.200]  其實人生很短
[00:00:15.200 --> 00:00:17.500]  我們對於人生的長短
[00:00:17.500 --> 00:00:19.200]  其實我們做不到什麼
[00:00:19.200 --> 00:00:21.800]  有時你年紀越大
[00:00:21.800 --> 00:00:23.900]  越覺得時間過得快
[00:00:23.900 --> 00:00:26.500]  近來我相信很多人都知道
[00:00:26.500 --> 00:00:28.900]  以前幫我們煮飯的大廚
[00:00:28.900 --> 00:00:30.500]  出了一點點事
[00:00:30.500 --> 00:00:32.500]  突然起來發現
[00:00:32.500 --> 00:00:35.200]  兩隻腳和一隻手都沒力
[00:00:35.200 --> 00:00:40.000]  於是他的房東非常緊張
[00:00:40.000 --> 00:00:42.000]  因為很怕他家裡發生什麼事
[00:00:42.000 --> 00:00:43.700]  所以當他發生事之後
[00:00:43.700 --> 00:00:46.200]  很多頂姐妹去送食物給他
[00:00:46.200 --> 00:00:47.700]  送他去看醫生
[00:00:47.700 --> 00:00:50.100]  但是他的房東很緊張
[00:00:50.100 --> 00:00:54.000]  因為很怕他會不會死在家裡
[00:00:54.000 --> 00:00:55.200]  因為太緊張的緣故
[00:00:55.200 --> 00:00:59.100]  每一個小時都去他房間問他
[00:00:59.100 --> 00:01:02.000]  你能不能過今晚
[00:01:02.000 --> 00:01:04.000]  後來問著問著他就覺得煩
[00:01:04.000 --> 00:01:05.900]  他就和房東吵起來
[00:01:05.900 --> 00:01:08.600]  你不要假裝一個小時問我能不能過今晚
[00:01:08.600 --> 00:01:11.000]  過不到今晚不是我說了算
[00:01:11.000 --> 00:01:12.800]  你能不能過今晚
[00:01:12.800 --> 00:01:14.600]  後來他說
[00:01:14.600 --> 00:01:17.200]  原先我也很有信心能過今晚
[00:01:17.200 --> 00:01:19.300]  讓你這樣說我也有點害怕
[00:01:19.300 --> 00:01:21.100]  能不能過今晚
[00:01:21.100 --> 00:01:23.000]  人生命的長短
[00:01:23.000 --> 00:01:25.700]  其實不是我們說了算
[00:01:25.700 --> 00:01:27.800]  能不能過今晚確實不知道
[00:01:27.800 --> 00:01:31.100]  但是在短暫的生命當中
[00:01:31.100 --> 00:01:34.200]  神又給我們一條出路
[00:01:34.200 --> 00:01:35.800]  生命可以有限
[00:01:35.800 --> 00:01:38.800]  但是我們可以在有限的時間裡面
[00:01:38.800 --> 00:01:41.900]  可以活出一些價值是無限的
[00:01:41.900 --> 00:01:43.100]  是永恆的
[00:01:43.100 --> 00:01:45.200]  只要你照著神的心意
[00:01:45.200 --> 00:01:46.300]  神的計劃
[00:01:46.300 --> 00:01:47.900]  神的使命去活
[00:01:47.900 --> 00:01:49.700]  其實可以活得不一樣
[00:01:49.700 --> 00:01:53.800]  所以今天我們就來討論一個問題
[00:01:53.800 --> 00:01:56.900]  很多時候我們人生沒辦法活出一個永恆的價值
[00:01:56.900 --> 00:02:00.400]  或者活出神在我們身上的計劃使命
[00:02:00.400 --> 00:02:03.300]  其中一個很大的原因就是我們
[00:02:03.300 --> 00:02:07.700]  不夠膽也不願意將我們最好的
[00:02:07.700 --> 00:02:09.200]  擺上給神用
[00:02:09.200 --> 00:02:10.700]  我們收收買買
[00:02:10.700 --> 00:02:12.200]  Jimmy Carter
[00:02:12.200 --> 00:02:15.600]  美國第39任的總統
[00:02:15.600 --> 00:02:18.200]  當他當年在海軍學校畢業的時候
[00:02:18.200 --> 00:02:24.500]  他去申請美國的核能潛艇的部門
[00:02:24.500 --> 00:02:27.900]  面試他的人就是當年美國鼎鼎大名的
[00:02:27.900 --> 00:02:30.900]  海軍司令Hyman Rickover
[00:02:30.900 --> 00:02:35.200]  Hyman Rickover面試他的時候就問他
[00:02:35.200 --> 00:02:38.000]  你全校畢業第幾名
[00:02:38.000 --> 00:02:41.500]  他就說我們這一屆820個學生
[00:02:41.500 --> 00:02:42.900]  我排名59
[00:02:42.900 --> 00:02:44.400]  覺得不錯
[00:02:44.400 --> 00:02:45.600]  他想著會讚的
[00:02:45.600 --> 00:02:47.300]  但是Rickover沒有讚他
[00:02:47.300 --> 00:02:49.300]  接著下面一句就問他
[00:02:49.300 --> 00:02:53.600]  你有沒有盡力將你最好的擺上呢
[00:02:53.600 --> 00:02:56.500]  Did you do your best always
[00:02:56.500 --> 00:02:58.300]  接著他原先想衝下一句出來
[00:02:58.300 --> 00:02:59.600]  Yes of course
[00:02:59.600 --> 00:03:00.700]  然後想一想
[00:03:00.700 --> 00:03:03.300]  好像又沒有
[00:03:03.300 --> 00:03:05.200]  所以他就說No
[00:03:05.200 --> 00:03:07.600]  接著下面Rickover就問他一句
[00:03:07.600 --> 00:03:10.800]  Why not
[00:03:10.800 --> 00:03:14.000]  後來Jimmy Carter說這個問題
[00:03:14.000 --> 00:03:16.800]  不斷在他的腦海裏面出現
[00:03:16.800 --> 00:03:20.600]  為什麼沒有將最好的拿出來呢
[00:03:20.600 --> 00:03:22.200]  Why not the best
[00:03:22.200 --> 00:03:23.500]  所以後來他寫了一本書
[00:03:23.500 --> 00:03:25.600]  書名就叫做Why not the best
[00:03:25.600 --> 00:03:27.700]  後來他參加總統選舉的時候
[00:03:27.700 --> 00:03:29.400]  這個是他經常用的口號
[00:03:29.400 --> 00:03:31.000]  Why not the best
[00:03:31.000 --> 00:03:33.000]  在這兩個星期
[00:03:33.000 --> 00:03:34.300]  我又不知道為什麼
[00:03:34.300 --> 00:03:37.200]  我腦海裏面又不斷在想這個問題
[00:03:37.200 --> 00:03:39.200]  Why not the best
[00:03:39.200 --> 00:03:44.200]  其實我反省的時候回望自己的人生
[00:03:44.200 --> 00:03:48.400]  我發覺我極少有機會有任何一件事
[00:03:48.400 --> 00:03:52.200]  我覺得有這樣的價值值得擺上你的best
[00:03:52.200 --> 00:03:53.500]  我很少擺上我的best
[00:03:53.500 --> 00:03:54.600]  我有付出努力
[00:03:54.600 --> 00:03:57.800]  但很少將最好的擺出來
[00:03:57.800 --> 00:04:00.800]  我以前有個花名叫阿四
[00:04:00.800 --> 00:04:01.800]  為什麼叫阿四呢
[00:04:01.800 --> 00:04:03.900]  因為我以前是專業練體操的
[00:04:03.900 --> 00:04:07.800]  我每一次比賽都是拿第四名
[00:04:07.800 --> 00:04:08.700]  為什麼拿第四名呢
[00:04:08.700 --> 00:04:10.800]  因為我是一個很低調的人
[00:04:10.800 --> 00:04:14.800]  因為前三名就要上台領獎
[00:04:14.800 --> 00:04:16.800]  我最怕這些spotlight
[00:04:16.800 --> 00:04:18.000]  第四名是最開心的
[00:04:18.000 --> 00:04:19.700]  因為第四名不用領獎
[00:04:19.700 --> 00:04:22.200]  而且第四名仍然有獎金
[00:04:22.200 --> 00:04:24.800]  第四名就讓你感覺是
[00:04:24.800 --> 00:04:26.300]  未必最好
[00:04:26.300 --> 00:04:30.000]  但是又似乎都對得起自己
[00:04:30.000 --> 00:04:34.000]  最後一名很難堪
[00:04:34.000 --> 00:04:35.800]  第四對我來說剛剛好
[00:04:35.800 --> 00:04:38.000]  我讀書一直考試
[00:04:38.000 --> 00:04:40.400]  大概全班四五名之間
[00:04:40.400 --> 00:04:41.600]  永遠沒試過第一
[00:04:41.600 --> 00:04:43.400]  但永遠都是維持四名
[00:04:43.400 --> 00:04:46.800]  我覺得這個位置是最舒服的
[00:04:46.800 --> 00:04:47.800]  最舒服
[00:04:47.800 --> 00:04:49.600]  但如果最後就很難堪
[00:04:49.600 --> 00:04:51.400]  范大寧長老都說
[00:04:51.400 --> 00:04:52.300]  他以前讀書不好
[00:04:52.300 --> 00:04:54.600]  經常考試考最後幾名
[00:04:54.600 --> 00:04:56.300]  凡是有朋友問他考成怎樣
[00:04:56.300 --> 00:04:57.600]  他就說number three
[00:04:57.600 --> 00:05:00.500]  人一走馬上補他from the bottom
[00:05:00.500 --> 00:05:01.800]  這樣又不行
[00:05:01.800 --> 00:05:03.300]  這個我都試過
[00:05:03.300 --> 00:05:05.500]  當年移民中美洲的時候
[00:05:05.500 --> 00:05:06.600]  英文不好
[00:05:06.600 --> 00:05:08.600]  花了兩個月的努力
[00:05:08.600 --> 00:05:12.200]  終於考到當時那個國家最好的高中
