
[00:00:00.000 --> 00:00:02.000]  慈悲的天父 多謝你
[00:00:02.000 --> 00:00:05.000]  讓我們能夠再次打開你的說話
[00:00:05.000 --> 00:00:11.000]  去看 讀 思想 並且領受
[00:00:11.000 --> 00:00:16.000]  藉著你愛子耶穌基督在地上的工作
[00:00:16.000 --> 00:00:20.000]  讓我們作成一個怎樣的信徒
[00:00:20.000 --> 00:00:23.000]  花盡基督的心思意念
[00:00:23.000 --> 00:00:26.000]  我們在此再求聖靈帶領我們
[00:00:28.000 --> 00:00:32.000]  好想我們同樣蒙受主的教導
[00:00:32.000 --> 00:00:35.000]  在今個時代裏面
[00:00:35.000 --> 00:00:41.000]  作一個著實實實的真正信徒
[00:00:41.000 --> 00:00:46.000]  而不是一個虛有其名掛名的基督徒
[00:00:46.000 --> 00:00:50.000]  求你的幫助 求你的帶領
[00:00:50.000 --> 00:00:52.000]  我們同心吐靠
[00:00:52.000 --> 00:00:55.000]  奉靠主耶穌基督得聖的名字而求
[00:00:55.000 --> 00:00:58.000]  謝謝大家
[00:01:25.000 --> 00:01:28.000]  我對足球賽和球女都很有興趣
[00:01:28.000 --> 00:01:31.000]  我對足球特別有興趣
[00:01:31.000 --> 00:01:36.000]  尤其是每一次準備整個隊伍去入球的一刻
[00:01:36.000 --> 00:01:39.000]  那種興奮的程度
[00:01:39.000 --> 00:01:43.000]  差不多像自己下場打一樣
[00:01:43.000 --> 00:01:45.000]  但其中一樣東西
[00:01:45.000 --> 00:01:49.000]  看足球比賽真的特別引人入勝
[00:01:49.000 --> 00:01:53.000]  或者特別讓人感到樂趣無窮的地方
[00:01:54.000 --> 00:01:57.000]  就是每當你見到一個球員
[00:01:57.000 --> 00:02:02.000]  單刀匹馬帶著足球不停踢
[00:02:02.000 --> 00:02:03.000]  推前的時候
[00:02:03.000 --> 00:02:07.000]  並且面對前面的一個空門的情況
[00:02:07.000 --> 00:02:09.000]  竟然去到這一刻
[00:02:09.000 --> 00:02:11.000]  這個球員盡力一踢
[00:02:11.000 --> 00:02:16.000]  一個球就飛了上半空
[00:02:16.000 --> 00:02:23.000]  當然對於那些不支持球員的擁躉來計
[00:02:23.000 --> 00:02:25.000]  當然是大快人心
[00:02:25.000 --> 00:02:28.000]  「好東西啊!又射失了!」
