
[00:00:00.000 --> 00:00:06.400]  這些日子來我在不同的分堂有機會來走動跟服飾
[00:00:06.400 --> 00:00:10.200]  我就看見神的手真的在我們整個伶倆大家庭當中
[00:00:10.200 --> 00:00:12.300]  在做奇妙的工作
[00:00:12.300 --> 00:00:14.900]  不但我們在中美洲的瓜地馬拉
[00:00:14.900 --> 00:00:19.700]  馬上就要成立第一間在中美洲當地人的伶倆堂
[00:00:19.700 --> 00:00:21.700]  而且我們波士頓的分堂
[00:00:21.700 --> 00:00:27.300]  也已經剛剛在南美的巴西聖保羅建立了一間華人的分堂
[00:00:27.300 --> 00:00:32.200]  我們在休斯敦的分堂去年年底完成了建堂的工程
[00:00:32.200 --> 00:00:34.500]  我們在紐約生命和伶倆堂
[00:00:34.500 --> 00:00:39.100]  在佛羅順的生命和伶倆堂也即將完成建堂的工程
[00:00:39.100 --> 00:00:42.400]  他們的新的會堂能容納四百多人
[00:00:42.400 --> 00:00:48.000]  我們看見神的手真的是正在帶領我們進入一個新的季節當中
[00:00:48.000 --> 00:00:51.300]  這是一個擴張的季節
[00:00:51.300 --> 00:00:55.300]  跟你們說這真是一個擴張的季節
[00:00:55.300 --> 00:00:59.400]  我們看見神已經賜給我們一個擴張的恩高
[00:00:59.400 --> 00:01:02.800]  叫我們向左向右來開展
[00:01:02.800 --> 00:01:08.400]  神不但要爲我們打開過去多少年我們無法打開的門
[00:01:08.400 --> 00:01:15.000]  神更是要帶領我們進入過去多少年無法進入的領域當中
[00:01:15.000 --> 00:01:20.000]  一方面我真的要說這是一個令人興奮的時刻
[00:01:20.000 --> 00:01:25.000]  另一方面我們也看見這是一個充滿挑戰的時刻
[00:01:25.000 --> 00:01:26.400]  爲什麼呢
[00:01:26.400 --> 00:01:32.800]  因爲每一次當我們要領受神的應許進入新的領域的時候
[00:01:32.800 --> 00:01:36.500]  我們心中總會面對一個掙扎
[00:01:36.500 --> 00:01:38.300]  什麼掙扎呢
[00:01:38.300 --> 00:01:43.100]  那就是應許與現實之間的掙扎
[00:01:43.100 --> 00:01:47.600]  一方面我們看見神的應許何等的寶貴不是嗎
[00:01:47.600 --> 00:01:49.600]  真的令人興奮
[00:01:49.600 --> 00:01:52.900]  可是另一方面我們看見現實的環境
[00:01:52.900 --> 00:01:56.300]  好像叫我們寸步難行
[00:01:56.300 --> 00:02:00.200]  多少時候我們好像在應許跟現實當中
[00:02:00.200 --> 00:02:02.300]  我們心中充滿了掙扎
[00:02:02.300 --> 00:02:05.200]  就好像當年的約蘇亞一樣
[00:02:05.200 --> 00:02:08.600]  當神要約蘇亞帶領以色列進入應許之地
[00:02:08.600 --> 00:02:10.600]  那是迦南美地的時候
[00:02:10.600 --> 00:02:14.300]  迦南美地是神應許給以色列人的地方
[00:02:14.300 --> 00:02:18.500]  那是何等興奮的事情終於他們要進去了
[00:02:18.500 --> 00:02:22.100]  但另一方面我們看見當他進入迦南美地
[00:02:22.100 --> 00:02:25.700]  每一步都是一場征戰
