
[00:00:00.000 --> 00:00:05.880]  一開始想考考大家
[00:00:05.880 --> 00:00:07.360]  給你們看一張照片
[00:00:07.360 --> 00:00:10.920]  你們猜猜是甚麼來的
[00:00:10.920 --> 00:00:14.760]  猜不猜得到?
[00:00:14.760 --> 00:00:17.200]  這麼模糊的
[00:00:17.200 --> 00:00:21.920]  其實這張是人類歷史以來
[00:00:21.920 --> 00:00:24.720]  在2019年4月10日
[00:00:24.720 --> 00:00:30.320]  拍攝到第一張黑洞的照片
[00:00:30.320 --> 00:00:32.200]  在天文學裏
[00:00:32.200 --> 00:00:37.880]  黑洞這個觀念已經差不多有100年
[00:00:37.880 --> 00:00:40.960]  不過一直以來
[00:00:40.960 --> 00:00:45.920]  天文學家只能提出間接論證
[00:00:45.920 --> 00:00:52.280]  沒有真正看到黑洞是怎樣的
[00:00:52.280 --> 00:00:54.800]  直至2019年
[00:00:54.800 --> 00:00:59.240]  全球透過超過200個科學家的合作
[00:00:59.240 --> 00:01:04.160]  將天文望遠鏡分佈在全世界不同的地方
[00:01:04.160 --> 00:01:08.480]  這200個天文望遠鏡加起來的直徑
[00:01:08.480 --> 00:01:12.440]  其實是相當於地球的直徑
[00:01:12.440 --> 00:01:14.560]  大家想像一下有多厲害
[00:01:14.560 --> 00:01:16.800]  才拍到這張照片
[00:01:16.800 --> 00:01:20.560]  而這張照片的黑洞位置
[00:01:20.560 --> 00:01:22.920]  位於塞裡座
[00:01:22.920 --> 00:01:28.440]  是一個巨型橢圓形的星系M87的中心
[00:01:28.440 --> 00:01:31.200]  我都在網上找到這些資料
[00:01:31.200 --> 00:01:32.640]  距離地球很遠
[00:01:32.640 --> 00:01:35.680]  5500萬光年
[00:01:35.680 --> 00:01:41.680]  質量大概是太陽的65億倍
[00:01:41.680 --> 00:01:44.240]  65億個太陽
[00:01:44.240 --> 00:01:46.520]  你們想一下
[00:01:46.520 --> 00:01:48.800]  我相信大家都聽過
[00:01:48.800 --> 00:01:52.080]  黑洞的引力是非常大的
[00:01:52.080 --> 00:01:55.120]  所以無論是恆星
[00:01:55.120 --> 00:01:56.520]  即是永恆的恆
[00:01:56.520 --> 00:01:58.520]  又或者是另一個恆星
[00:01:58.520 --> 00:01:59.840]  恆人路的恆
[00:01:59.840 --> 00:02:04.120]  甚至是光都走不過他的手指
[00:02:04.120 --> 00:02:06.120]  都被他吸了下去
