
[00:00:00.000 --> 00:00:03.880]  讓我們一齊 今早既然是第一個禮拜日
[00:00:03.880 --> 00:00:08.920]  我們帶著一個渴慕 滿足神的心
[00:00:08.920 --> 00:00:13.520]  在以下的時間裏面 我們一齊打開神的話
[00:00:13.520 --> 00:00:17.880]  來聽聽神在新的一年裏面對我們說些甚麼
[00:00:17.880 --> 00:00:19.560]  我們一齊先低頭祈禱
[00:00:19.560 --> 00:00:22.320]  天父我們多謝祢
[00:00:22.320 --> 00:00:24.680]  祢的恩典實在是夠我們用
[00:00:24.680 --> 00:00:31.400]  讓我們心裏面上上的 真是帶著一個喜樂的心
[00:00:31.400 --> 00:00:33.240]  來過我們的日子
[00:00:33.240 --> 00:00:35.800]  因為我們知道祢是我們的神
[00:00:35.800 --> 00:00:38.120]  祢是我們隨時的幫助
[00:00:38.120 --> 00:00:41.960]  祢是我們患難中的一個保障
[00:00:41.960 --> 00:00:45.720]  祢更加在我們每一天的日子裏面
[00:00:45.720 --> 00:00:48.200]  祢都會向我們說話的神
[00:00:48.200 --> 00:00:49.720]  我們獻上感謝
[00:00:49.720 --> 00:00:53.280]  我們在新的一年裏面 我們真是很想看看
[00:00:53.280 --> 00:00:57.240]  神心頭的事 甚麼是神心頭最重要的事
[00:00:57.240 --> 00:01:01.280]  以致我們可以真是來滿足神的心
[00:01:01.280 --> 00:01:03.480]  神又滿足我們的心
[00:01:03.480 --> 00:01:04.640]  我們多謝祢
[00:01:04.640 --> 00:01:09.480]  願祢自己今早上親自的來藉著祢的話語
[00:01:09.480 --> 00:01:11.280]  來對我們說話
[00:01:11.280 --> 00:01:14.840]  幫助我們 讓我們心裏面有一個
[00:01:14.840 --> 00:01:18.360]  在新的一年裏面 這種渴慕
[00:01:18.360 --> 00:01:20.320]  能夠得到神的喜悅
[00:01:20.320 --> 00:01:24.360]  並且我求聖靈在我們中間
[00:01:24.360 --> 00:01:27.360]  叫說的聽的 是同感一靈的
[00:01:27.360 --> 00:01:28.640]  主我們多謝祢
