
[00:00:00.000 --> 00:00:00.880]  我更加感恩的是
[00:00:00.880 --> 00:00:02.660]  其實我原本回來是要講這篇道
[00:00:02.660 --> 00:00:06.600]  是講用咒咒去咒罵你的敵人
[00:00:06.600 --> 00:00:08.600]  可能我們會在這方面有質疑
[00:00:08.600 --> 00:00:10.940]  但是我經歷了這件事的時候
[00:00:10.940 --> 00:00:12.860]  我更加懂得怎樣來講這篇道
[00:00:12.860 --> 00:00:15.000]  因為我真的用咒咒來咒罵
[00:00:15.000 --> 00:00:16.840]  那個偷我的人的東西
[00:00:16.840 --> 00:00:18.240]  可能有些人說
[00:00:18.240 --> 00:00:19.700]  其實牧師不是很行
[00:00:19.700 --> 00:00:21.600]  耶穌教導我們
[00:00:21.600 --> 00:00:23.400]  是要為敵人祈禱的
[00:00:23.400 --> 00:00:25.980]  為什麼我們來咒咒別人
[00:00:25.980 --> 00:00:27.100]  是不是不對呢?
[00:00:27.100 --> 00:00:28.740]  耶穌基督在十字架上
[00:00:28.740 --> 00:00:30.240]  第一句的禱文是什麼呢?
[00:00:30.240 --> 00:00:31.780]  「父啊,求祢赦免他們
[00:00:31.780 --> 00:00:33.940]  因為他們所作的,他們不曉得。」
[00:00:33.940 --> 00:00:35.140]  其實我明白的
[00:00:35.140 --> 00:00:36.280]  所以我的禱告說
[00:00:36.280 --> 00:00:37.680]  「神啊,求祢審判他們
[00:00:37.680 --> 00:00:39.800]  因為他們所作的,是他們曉得
[00:00:39.800 --> 00:00:41.540]  他們刻意地偷我的東西
[00:00:41.540 --> 00:00:43.740]  求祢用你的公義來帶他們去審判。」
[00:00:43.740 --> 00:00:45.340]  這個真的是
[00:00:45.340 --> 00:00:49.140]  那麼究竟我們如果在很憤慨裡面
[00:00:49.140 --> 00:00:51.740]  我們這樣去祈禱,對不對呢?
[00:00:51.740 --> 00:00:54.240]  今天我會從兩個層面跟大家去看
[00:00:54.240 --> 00:00:57.240]  首先我們會從尼西米記
[00:00:57.440 --> 00:01:01.940]  去看尼西米當時所面對的挑戰和迫害
[00:01:01.940 --> 00:01:06.540]  尼西米怎麼用禱告來向神宣告
[00:01:06.540 --> 00:01:08.640]  然後我們再去探索
[00:01:08.640 --> 00:01:10.740]  究竟咒咒的禱告
[00:01:10.740 --> 00:01:13.140]  我們可不可以去講呢?
[00:01:13.140 --> 00:01:15.340]  我們先看他面對的挑戰
[00:01:15.340 --> 00:01:19.440]  尼西米雖然是一個亡國奴
[00:01:19.440 --> 00:01:23.140]  但是他竟然在波斯王朝裡面做高官
[00:01:23.140 --> 00:01:25.340]  但是他愛國情切
[00:01:25.540 --> 00:01:28.440]  當他知道自己回歸了的子民
[00:01:28.440 --> 00:01:30.840]  他們在自己的故鄉裡面
[00:01:30.840 --> 00:01:32.740]  城牆被毀
[00:01:32.740 --> 00:01:34.140]  被人欺負
[00:01:34.140 --> 00:01:36.140]  於是尼西米有這個感動
[00:01:36.140 --> 00:01:39.240]  他放下了自己這個高官的職份
[00:01:39.240 --> 00:01:42.440]  回去帶領子民來帶去重建城牆
[00:01:42.440 --> 00:01:45.740]  但是請你記住為神來帶去工作的時候
[00:01:45.740 --> 00:01:47.540]  面對的挑戰是很大
[00:01:47.540 --> 00:01:50.040]  他周圍面對很多的敵人
[00:01:50.040 --> 00:01:52.040]  我們來看一張地圖
[00:01:52.040 --> 00:01:54.440]  那麼我們就會看到
[00:01:54.840 --> 00:01:57.240]  當時有參巴拉、多比亞
[00:01:57.240 --> 00:01:59.840]  阿拉伯人、阿摩人之外還有阿薩特人
[00:01:59.840 --> 00:02:02.040]  他們可以說是四面受敵
[00:02:02.040 --> 00:02:03.440]  四面楚歌
[00:02:03.440 --> 00:02:05.440]  在這張地圖裡面讓我們看到
[00:02:05.440 --> 00:02:09.140]  撒瑪利亞人和參巴拉是在北邊
[00:02:09.140 --> 00:02:11.240]  阿摩人是在東面
[00:02:11.240 --> 00:02:13.340]  基善阿拉伯人在南面
[00:02:13.340 --> 00:02:15.440]  而阿薩特人在西面
[00:02:15.440 --> 00:02:18.240]  就是說他們是被敵人重重包圍
[00:02:18.240 --> 00:02:21.340]  他們面對的困難是非常的大
[00:02:21.340 --> 00:02:24.640]  你們這群人用一些尖酸刻薄的話
[00:02:24.840 --> 00:02:27.840]  來帶去打碎他們的信心
[00:02:27.840 --> 00:02:31.040]  我們一起來讀希米記第四章的第二節
[00:02:31.040 --> 00:02:33.240]  第四章的第二節我們一起來讀出
[00:02:33.240 --> 00:02:37.440]  「對他弟兄和撒瑪利亞的軍兵說
[00:02:37.440 --> 00:02:40.740]  這些軟弱的猶太人做什麼呢?
[00:02:40.740 --> 00:02:42.540]  要保護自己嗎?
[00:02:42.540 --> 00:02:43.940]  要憲制嗎?
[00:02:43.940 --> 00:02:45.640]  要一日成功嗎?
[00:02:45.640 --> 00:02:50.240]  要從土堆裡拿出火燒的石頭再立牆嗎?」
[00:02:50.940 --> 00:02:55.340]  他們先用言語來打破他們的信心,嚇著他們
[00:02:55.340 --> 00:02:57.740]  他們說的話是有真有假的
[00:02:57.740 --> 00:03:00.040]  他說這群軟弱的猶太人
[00:03:00.040 --> 00:03:01.240]  這群人真的很軟弱
[00:03:01.240 --> 00:03:02.140]  為什麼呢?
[00:03:02.140 --> 00:03:03.940]  他們是被老歸回
[00:03:03.940 --> 00:03:05.240]  他們是很貧乏
[00:03:05.240 --> 00:03:07.040]  他們要保護自己
[00:03:07.040 --> 00:03:08.840]  就是說你保護不了自己
[00:03:08.840 --> 00:03:09.940]  要憲制
[00:03:09.940 --> 00:03:11.440]  這個就很重要了
[00:03:11.440 --> 00:03:13.940]  是挑動我們對神的質疑
[00:03:13.940 --> 00:03:15.940]  如果神是這麼愛你
[00:03:15.940 --> 00:03:18.340]  你怎麼會現在落在這樣的光景當中?
[00:03:18.340 --> 00:03:20.340]  你還去愛神還要憲制嗎?
[00:03:20.740 --> 00:03:21.840]  你要一日成功
[00:03:21.840 --> 00:03:23.140]  這條很漫長的路
[00:03:23.140 --> 00:03:25.040]  你要重建這個城牆
[00:03:25.040 --> 00:03:26.640]  你們要做很久了
[00:03:26.640 --> 00:03:28.040]  還有你們有什麼本事呢?
[00:03:28.040 --> 00:03:32.140]  他說你們用土被火燒的石頭去再建城牆
[00:03:32.140 --> 00:03:35.240]  被火燒的石頭是很容易碎裂的
[00:03:35.240 --> 00:03:37.040]  但是這個其實是虛假的
[00:03:37.040 --> 00:03:40.740]  因為當時不是這麼多地方被火燒過
[00:03:40.740 --> 00:03:44.740]  但是真真假假就足以令到那群子民已經很混亂
[00:03:44.740 --> 00:03:47.640]  所以你留意到很多時候人才是用言語
[00:03:48.040 --> 00:03:51.840]  你留意到在特首選舉未來普選的情況裡面
[00:03:51.840 --> 00:03:53.840]  昨天你記不記得有一個人
[00:03:53.840 --> 00:03:55.240]  嘩!換了眼鏡
[00:03:55.240 --> 00:03:56.040]  周南
[00:03:56.040 --> 00:03:56.940]  瘦了很多
[00:03:56.940 --> 00:04:00.640]  簡直說到你和平佔中就是要推翻這個政府
[00:04:00.640 --> 00:04:02.240]  這個如果我們知道的時候
[00:04:02.240 --> 00:04:03.240]  這個絕對不是
[00:04:03.240 --> 00:04:04.140]  就是
