
[00:00:00.000 --> 00:00:02.000]  明天是父親節
[00:00:02.000 --> 00:00:05.000]  我在這裡預祝大家父親節快樂
[00:00:05.000 --> 00:00:09.000]  說到父親節的時候
[00:00:09.000 --> 00:00:13.000]  我想起有一次看過一篇文章
[00:00:13.000 --> 00:00:18.000]  說到作者的爸爸有一天
[00:00:18.000 --> 00:00:23.000]  他在超級市場買麵包
[00:00:23.000 --> 00:00:26.000]  去的過程中突然被一輛電單車
[00:00:26.000 --> 00:00:29.000]  很高速的駛過來撞到他
[00:00:29.000 --> 00:00:32.000]  他當時即時昏迷
[00:00:32.000 --> 00:00:36.000]  當他被送到醫院的時候已經去世
[00:00:36.000 --> 00:00:40.000]  這位長者原本有心臟病
[00:00:40.000 --> 00:00:43.000]  和一般的老人病
[00:00:43.000 --> 00:00:45.000]  她家人萬萬想不到
[00:00:45.000 --> 00:00:50.000]  自己的爸爸竟然用這種方式離開世界
[00:00:50.000 --> 00:00:54.000]  子女完全接受不到爸爸去世的消息
[00:00:54.000 --> 00:00:59.000]  很難過地說
[00:00:59.000 --> 00:01:03.000]  爸爸連一句說話都沒有交代就走了
[00:01:03.000 --> 00:01:07.000]  他們以為即使爸爸心臟病發
[00:01:07.000 --> 00:01:09.000]  都總會和他們說幾句說話
[00:01:09.000 --> 00:01:11.000]  或者交代幾句
[00:01:11.000 --> 00:01:14.000]  為什麼這次會一粒聲不出就走了呢
[00:01:14.000 --> 00:01:18.000]  其實他們忘記了
[00:01:18.000 --> 00:01:22.000]  其實他們的爸爸每一天都在交代
[00:01:22.000 --> 00:01:26.000]  我相信好像天下間的父母一樣
[00:01:26.000 --> 00:01:28.000]  爸爸所說的
[00:01:28.000 --> 00:01:32.000]  無非是小心飲食
[00:01:32.000 --> 00:01:36.000]  不要這麼晚都不睡覺
[00:01:36.000 --> 00:01:40.000]  不要整天都想著上網等等
[00:01:40.000 --> 00:01:43.000]  只不過做子女的聽得太多了
[00:01:43.000 --> 00:01:45.000]  聽到覺得很煩
[00:01:45.000 --> 00:01:48.000]  聽到覺得盲目了
[00:01:48.000 --> 00:01:51.000]  直到爸爸不再說話的那一刻
[00:01:51.000 --> 00:01:53.000]  大家才突然發現
[00:01:53.000 --> 00:01:56.000]  原來做子女的還有很多說話
[00:01:56.000 --> 00:01:58.000]  來不及聽
[00:01:58.000 --> 00:02:00.000]  來不及問
[00:02:00.000 --> 00:02:03.000]  來不及跟爸爸說
[00:02:03.000 --> 00:02:06.000]  讓我們從以上的分享
[00:02:06.000 --> 00:02:08.000]  來反思一下
[00:02:08.000 --> 00:02:11.000]  我們和我們自己父母之間的關係
[00:02:11.000 --> 00:02:13.000]  到底是怎樣的呢
[00:02:13.000 --> 00:02:18.000]  盼望著趁著我們還來得及愛
[00:02:18.000 --> 00:02:21.000]  來得及報親恩的時候
[00:02:21.000 --> 00:02:23.000]  就快點把握機會
[00:02:23.000 --> 00:02:27.000]  向我們的爸爸媽媽說一聲
[00:02:27.000 --> 00:02:28.000]  我愛你
[00:02:28.000 --> 00:02:32.000]  表達我們對他們的尊重和愛意
[00:02:32.000 --> 00:02:36.000]  我家裡有七兄弟姐妹
