
[00:00:00.000 --> 00:00:17.000]  今天我的信息是,在主裏的自由,在主裏的自由,並不是我們可以任意所行。
[00:00:17.000 --> 00:00:28.000]  保羅在哥羅西書第五章第一節說,在主裏耶穌釋放了我們。
[00:00:28.000 --> 00:00:40.000]  所以你們要站立得穩,不要讓自己成爲罪的奴婦。
[00:00:40.000 --> 00:00:53.000]  那在第十三節他說,弟兄子們啊,你們被呼召出來就是要得自由。
[00:00:53.000 --> 00:01:10.000]  只是不可將你們的自由當作放從情義的機會,只是要彼此的福祉。
[00:01:10.000 --> 00:01:22.000]  神已經讓以色列人得到自由。神帶領他們離開了埃及,進入了迦南地。
[00:01:22.000 --> 00:01:43.000]  那在第九節說,今日我將以色列埃及的修奴從你們當中滾去。
[00:01:43.000 --> 00:01:53.000]  那這個埃及的修奴就是他們在埃及地做奴隸。
[00:01:53.000 --> 00:02:06.000]  神已經讓他所簡簡的子民得到自由,從奴隸裏面得到釋放。
[00:02:06.000 --> 00:02:13.000]  現在他帶領他們進入應洗之地。神守着他的應洗。
[00:02:13.000 --> 00:02:28.000]  那現在神就對着以色列說,現在我要你守你的業。
[00:02:28.000 --> 00:02:40.000]  就是接受隔離的記號,因爲行隔離的記號就是我屬於神。
[00:02:40.000 --> 00:02:56.000]  保羅說,基督徒我們屬於神,相同的以色列人屬於上帝。
[00:02:56.000 --> 00:03:10.000]  那在第五章,他們站在應洗地的泥土上。
[00:03:10.000 --> 00:03:24.000]  那上帝就命令耶穌亞製造火石刀,接受全國的隔離。
[00:03:24.000 --> 00:03:31.000]  就是在這個地方叫做圖皮山。
[00:03:31.000 --> 00:03:38.000]  那也稱爲圖皮山。
[00:03:38.000 --> 00:03:40.000]  做什麼呢?
[00:03:40.000 --> 00:03:44.000]  他的目的是什麼呢?
[00:03:44.000 --> 00:03:52.000]  就是宣告我們屬於上帝。
[00:03:52.000 --> 00:04:08.000]  在時間來說,這是一個很粗魯的粗暴。
[00:04:08.000 --> 00:04:14.000]  因爲在敵人的地圖上來說,是非常不安全。
[00:04:14.000 --> 00:04:22.000]  但是卻是完全的安全。
[00:04:22.000 --> 00:04:41.000]  記得嗎?在耶穌亞記第二章第九節。
[00:04:41.000 --> 00:04:53.000]  接着拉河的嘴,他說,因爲我們聽到上帝在你們當中所行的大事,我們的心都消耗了。
[00:04:53.000 --> 00:05:01.000]  當上帝工作,人都會回應。
[00:05:01.000 --> 00:05:08.000]  我們的反應可以是恐懼或者是信心。
[00:05:08.000 --> 00:05:19.000]  現在上帝呼喚以色列人,行一個全國性的隔離。
[00:05:19.000 --> 00:05:23.000]  他們用信心來回應。
[00:05:23.000 --> 00:05:31.000]  爲什麼我這樣子說呢?
[00:05:31.000 --> 00:05:41.000]  雖然仇敵害怕以色列人,
[00:05:41.000 --> 00:05:49.000]  如果他們聽到這個國家性的一個事情,
[00:05:49.000 --> 00:05:54.000]  當他們在休養的時候,
[00:05:54.000 --> 00:05:59.000]  他們可以從他們在躲藏的地方出來攻擊以色列人。
