
[00:00:00.000 --> 00:00:01.480]  一起祈禱吧
[00:00:01.480 --> 00:00:07.740]  多謝祢為我們預備了聖經
[00:00:07.740 --> 00:00:11.080]  讓我們可以在當中學習
[00:00:11.080 --> 00:00:13.940]  讓我們在崇拜中
[00:00:13.940 --> 00:00:15.800]  求主的靈去引導我們
[00:00:15.800 --> 00:00:17.140]  餘下的時間
[00:00:17.140 --> 00:00:19.000]  我們要順從祢的道
[00:00:19.000 --> 00:00:20.480]  我們要聽祢的話
[00:00:20.480 --> 00:00:22.400]  我們這樣祈禱是奉主命求
[00:00:22.400 --> 00:00:22.900]  阿們
[00:00:27.200 --> 00:00:30.200]  起西漢的時候有一個洛陽的人
[00:00:30.200 --> 00:00:32.800]  叫做賈兒
[00:00:32.800 --> 00:00:35.800]  這個賈兒的人
[00:00:35.800 --> 00:00:38.800]  他自小就是一個很厲害的小朋友
[00:00:38.800 --> 00:00:41.200]  可以說是一個天才兒童
[00:00:41.200 --> 00:00:43.200]  他十八歲的時候
[00:00:43.200 --> 00:00:44.800]  已經寫了很多文章
[00:00:44.800 --> 00:00:47.200]  這些文章已經遠近馳名
[00:00:47.200 --> 00:00:49.200]  當時的漢文帝
[00:00:49.200 --> 00:00:51.200]  當時的皇帝
[00:00:51.200 --> 00:00:53.200]  聽到這個賈兒的人
[00:00:53.200 --> 00:00:55.200]  這麼有才華
[00:00:55.200 --> 00:00:59.200]  就特別派人請他來到京城
[00:00:59.200 --> 00:01:01.200]  擔任博士的職位
[00:01:01.200 --> 00:01:05.200]  當時他只不過是二十歲
[00:01:05.200 --> 00:01:07.200]  有一次這位賈兒
[00:01:07.200 --> 00:01:09.200]  他上書給漢文帝
[00:01:09.200 --> 00:01:11.200]  上書這樣說
[00:01:11.200 --> 00:01:15.200]  前朝的秦始皇死了之後
[00:01:15.200 --> 00:01:17.200]  他的兒子胡亥就做了皇帝
[00:01:17.200 --> 00:01:21.200]  但是胡亥第二天就殺人了
[00:01:21.200 --> 00:01:23.200]  於是有人去勸他
[00:01:23.200 --> 00:01:27.200]  他就認為這是誹謗
[00:01:27.200 --> 00:01:30.200]  也有人向他獻祭一些安民之策
[00:01:30.200 --> 00:01:34.200]  但是他就認為這些只是一些謠言
[00:01:34.200 --> 00:01:36.200]  他殺了人之後
[00:01:36.200 --> 00:01:39.200]  好像割草一樣
[00:01:39.200 --> 00:01:41.200]  難道這個叫胡亥的人
[00:01:41.200 --> 00:01:44.200]  天生就是這麼殘忍嗎
