
[00:00:00.000 --> 00:00:02.760]  我經常都覺得到我這個年紀
[00:00:02.760 --> 00:00:06.520]  還可以走走跳跳 這裡還挺清醒的
[00:00:06.520 --> 00:00:08.660]  其實真的全部都是因典來的
[00:00:08.660 --> 00:00:13.200]  我來了幾天而已 感恩又沒有什麼jack leg
[00:00:13.200 --> 00:00:14.960]  所以都挺厲害的
[00:00:14.960 --> 00:00:19.360]  在這裡再和你們拜年 今天都說了是年初六
[00:00:19.360 --> 00:00:24.440]  希望每個人都是平平安安 喜樂 一家人齊齊整整
[00:00:24.440 --> 00:00:30.080]  很多馬馬馬的 龍馬精神之類的
[00:00:30.080 --> 00:00:33.380]  我經常都說 今年我的口號是馬上信主
[00:00:33.380 --> 00:00:37.680]  要快要快的 很開心的
[00:00:37.680 --> 00:00:42.580]  來到每次Cross Point Church 給我的感覺好像回家一樣
[00:00:42.580 --> 00:00:47.380]  我每次來到三藩市 我通常都是來這個教會分享
[00:00:47.380 --> 00:00:52.340]  今天的主題是牧師給我的 我覺得挺好的
[00:00:52.340 --> 00:00:54.720]  叫做「突破生命困境」
[00:00:54.720 --> 00:00:58.520]  其實我們人生裡面 每個人都會遇到很多很多事情
[00:00:58.520 --> 00:01:01.800]  我自己覺得我是一個比較阿Q精神的人
[00:01:01.800 --> 00:01:06.060]  除此之外 我想我是因為生命裡面有神
[00:01:06.060 --> 00:01:09.940]  我是1986年感恩 洗禮的基督徒
[00:01:09.940 --> 00:01:12.380]  我又不是傳道人 什麼都不是
[00:01:12.380 --> 00:01:14.700]  我只是好像你一樣 一個平信徒
[00:01:14.700 --> 00:01:16.920]  通常星期天我都是回教自己的教會
[00:01:16.920 --> 00:01:19.660]  我是在香港的港福堂
[00:01:19.660 --> 00:01:23.720]  在這裡我做了很多新年祝賀的事情
[00:01:23.720 --> 00:01:26.820]  這張是我自己的公司 我公司還沒倒閉
[00:01:26.820 --> 00:01:30.020]  三十多年還沒倒閉 我是做培訓的
[00:01:30.020 --> 00:01:33.700]  我不開班的 我主要是做一些企業形象
[00:01:33.700 --> 00:01:36.560]  有機會和你們在這裡 希望有機會可以分享
[00:01:36.560 --> 00:01:39.180]  「二馬內利」就是「神與我們同在」
[00:01:39.180 --> 00:01:42.740]  在這段時間 我覺得希望大家都是平平安安的
[00:01:42.740 --> 00:01:44.500]  就選了一大堆這些東西
[00:01:44.500 --> 00:01:46.780]  十字架在我們的心裡面
[00:01:46.780 --> 00:01:49.720]  很多時候我們真的不是需要掛著十字架
[00:01:49.720 --> 00:01:52.640]  這個就是你們的教會 我很喜歡你們的教會
[00:01:52.640 --> 00:01:55.660]  牧師他們開始決定要這個地方的時候
[00:01:55.660 --> 00:01:59.020]  我看 我沒見過一個教會的燈這麼漂亮的
[00:01:59.020 --> 00:02:01.360]  是不是?多有藝術感 真的很棒
[00:02:01.360 --> 00:02:04.040]  希望你們不要拆 很漂亮
[00:02:04.040 --> 00:02:05.900]  這個是這個教會的特色來的
[00:02:05.900 --> 00:02:08.240]  我想你去全世界的教會都未必有
[00:02:08.240 --> 00:02:09.560]  很棒 很棒
[00:02:09.560 --> 00:02:11.760]  那我為什麼今天來這裡不去
[00:02:11.760 --> 00:02:14.620]  我不知道你會不會打麻將 我現在準備學
[00:02:14.620 --> 00:02:17.380]  準備學打麻將 當然不是賭錢的
[00:02:17.380 --> 00:02:19.420]  我覺得要讓這裡繼續清醒
[00:02:19.420 --> 00:02:21.320]  可能我真的要學一下這個遊戲
[00:02:21.320 --> 00:02:23.540]  那你哪個教友是不賭錢的
[00:02:23.540 --> 00:02:25.180]  又喜歡打麻將的就找我
[00:02:25.180 --> 00:02:27.060]  我真的要學這個東西
[00:02:27.060 --> 00:02:28.540]  因為他老闆說這個東西一定要學的
[00:02:28.540 --> 00:02:30.700]  不然到時候你就知錯了
[00:02:30.700 --> 00:02:32.820]  我又很喜歡這段金句
[00:02:32.820 --> 00:02:36.500]  因為耶穌提醒我們 我們要去傳福音
[00:02:36.500 --> 00:02:38.280]  尤其我們自己是基督徒
[00:02:38.280 --> 00:02:42.740]  有沒有基督徒舉手看看 嗨 祝福你啊 祝福你啊
[00:02:42.740 --> 00:02:45.920]  真是感恩 其實我們基督徒其中一樣東西
[00:02:45.920 --> 00:02:47.040]  就是我們蒙福
[00:02:47.040 --> 00:02:50.080]  我們應該將這個福氣去傳出給其他人的
[00:02:50.080 --> 00:02:52.080]  因為很多人可能沒有機會聽福音
[00:02:52.080 --> 00:02:55.140]  所以來到這裡 今早是很早起床的
[00:02:55.140 --> 00:02:57.500]  你知道你要化妝 又練假眼陰毛
[00:02:57.500 --> 00:02:59.900]  很多事情要做 很多事情要做的
[00:02:59.900 --> 00:03:02.860]  所以搞了一段時間 很早就來了
[00:03:02.860 --> 00:03:04.220]  但是我自己覺得很感恩
[00:03:04.220 --> 00:03:06.640]  就是好像回家的感覺 有沒有
[00:03:06.640 --> 00:03:08.360]  這個是我屬靈的家
[00:03:08.360 --> 00:03:10.940]  我希望你有種回家的感覺
[00:03:10.940 --> 00:03:14.420]  這段話就是我們要傳福音 傳到地極
[00:03:14.420 --> 00:03:16.120]  我真是到處都去 譬如加拿大
[00:03:16.120 --> 00:03:18.620]  我去到Halifax那些地方
[00:03:18.620 --> 00:03:22.220]  去年我曾經11個月沒有停過飛
[00:03:22.220 --> 00:03:24.820]  兩次紐約 一次多倫多
[00:03:24.820 --> 00:03:27.420]  還是剛剛去到多倫多是下大雪的
[00:03:27.420 --> 00:03:28.700]  但是很漂亮 很漂亮
[00:03:28.700 --> 00:03:31.120]  這個是我自己覺得除了工作
[00:03:31.120 --> 00:03:33.120]  除了我家庭各樣東西之外
[00:03:33.120 --> 00:03:35.580]  是我自己心裡面很感恩
[00:03:35.580 --> 00:03:37.260]  是時時都有機會做的
[00:03:37.260 --> 00:03:39.660]  我是常常都出去的
[00:03:39.660 --> 00:03:42.540]  有沒有人知道我是香港小姐
[00:03:42.540 --> 00:03:46.860]  幸好這件不是錯事
[00:03:46.860 --> 00:03:48.220]  如果做錯事就慘了
[00:03:48.220 --> 00:03:51.180]  大家都知道我是1975年的香港小姐
[00:03:51.180 --> 00:03:54.380]  你找旁邊的手指腳指混在一起
[00:03:54.380 --> 00:03:55.180]  都不夠數
[00:03:55.180 --> 00:03:58.860]  其實原來我已經選了51年
[00:03:58.860 --> 00:04:01.060]  是57年 不是出世
[00:04:01.060 --> 00:04:03.580]  你想一下 到現在這個時間
[00:04:03.580 --> 00:04:05.380]  我覺得自己是一個很喜樂
[00:04:05.380 --> 00:04:08.820]  還有很蒙恩的人 真是很感恩
[00:04:08.820 --> 00:04:10.060]  說給你聽都不相信
[00:04:10.060 --> 00:04:11.740]  我是沒有老花的
[00:04:11.740 --> 00:04:13.220]  我現在和老朋友去飲茶
[00:04:13.220 --> 00:04:16.020]  經常都去我家看吃什麼點心
[00:04:16.020 --> 00:04:17.740]  我沒有老花 我又沒有什麼近視
[00:04:17.740 --> 00:04:18.860]  很棒的
[00:04:18.860 --> 00:04:21.300]  所以天父恩典
[00:04:21.300 --> 00:04:23.660]  待會你會知道天父為什麼這麼疼我
[00:04:23.660 --> 00:04:25.340]  讓我沒有老花
[00:04:25.340 --> 00:04:27.540]  這些就是以前的照片
[00:04:27.540 --> 00:04:29.380]  我經常都說你年紀夠大
[00:04:29.380 --> 00:04:30.740]  如果可能你還沒有認識我
[00:04:30.740 --> 00:04:33.060]  我其實經常都來這個教會的
[00:04:33.060 --> 00:04:34.180]  到你差不多年紀大
