
[00:00:00.000 --> 00:00:06.000]  感謝天父今天早上給我們一同可以在這裡去敬拜他
[00:00:06.000 --> 00:00:10.000]  剛才大家所讀的那段經文裡面有多少個福啊?
[00:00:10.000 --> 00:00:12.000]  多少個福啊?
[00:00:12.000 --> 00:00:14.000]  多少個福?
[00:00:14.000 --> 00:00:17.000]  我們中國人說五福臨門
[00:00:17.000 --> 00:00:19.000]  這裡是加倍的五福
[00:00:19.000 --> 00:00:20.000]  多少福?
[00:00:20.000 --> 00:00:22.000]  十個福啊!
[00:00:22.000 --> 00:00:25.000]  上帝給我們的不是一半
[00:00:25.000 --> 00:00:27.000]  地上是給你五福
[00:00:27.000 --> 00:00:29.000]  上帝是給你十福
[00:00:30.000 --> 00:00:32.000]  最後他說居上不居下
[00:00:32.000 --> 00:00:34.000]  作首不作尾
[00:00:34.000 --> 00:00:36.000]  哇! 每個人都想要
[00:00:36.000 --> 00:00:40.000]  今早回來聚會是不是想拿福啊?
[00:00:40.000 --> 00:00:41.000]  如果你拿福呢
[00:00:41.000 --> 00:00:44.000]  我想不如去九龍友的車站那裡
[00:00:44.000 --> 00:00:47.000]  那裡煙火鼎盛
[00:00:47.000 --> 00:00:48.000]  他比你還早
[00:00:48.000 --> 00:00:49.000]  比你誠心
[00:00:49.000 --> 00:00:51.000]  凌晨一點鐘就去了
[00:00:51.000 --> 00:00:54.000]  你就十點半才來
[00:00:54.000 --> 00:00:58.000]  我們不是單單跟世人去看這些福
[00:00:58.000 --> 00:01:01.000]  就算我們在地上所說的五福
[00:01:01.000 --> 00:01:06.000]  長壽、富貴、康寧、有好德
[00:01:06.000 --> 00:01:09.000]  甚至有孝宗明、善忠
[00:01:09.000 --> 00:01:13.000]  這些是世人所求在世上的一段時間
[00:01:13.000 --> 00:01:16.000]  但神所應許的給我們的不是
[00:01:16.000 --> 00:01:18.000]  如果上帝給我們的
[00:01:18.000 --> 00:01:20.000]  我舉例
[00:01:20.000 --> 00:01:22.000]  在寶樂巷25號
[00:01:22.000 --> 00:01:24.000]  你今天拿到的
[00:01:24.000 --> 00:01:29.000]  跟在某個地鐵站拿到的有兩個站
[00:01:29.000 --> 00:01:30.000]  一樣我說
[00:01:30.000 --> 00:01:32.000]  那你為什麼要來這裡呢?
[00:01:32.000 --> 00:01:35.000]  那裡人還多
[00:01:35.000 --> 00:01:38.000]  如果今年是祈求得到的
[00:01:38.000 --> 00:01:40.000]  明年就去還
