
[00:00:00.000 --> 00:00:01.240]  和大家溫習一點
[00:00:01.240 --> 00:00:04.320]  我們上次說了訊息的主題
[00:00:04.320 --> 00:00:07.080]  就是「神最大,神的話最正確」
[00:00:07.080 --> 00:00:10.880]  我們看到社會上人生的心態都很不同
[00:00:10.880 --> 00:00:13.840]  可能最近是在說誰夠大
[00:00:13.840 --> 00:00:15.400]  但基督徒會不會都是這樣呢?
[00:00:15.400 --> 00:00:17.600]  我們說到基督徒應該有正確的心態
[00:00:17.600 --> 00:00:20.720]  這段經文其實有三個重點
[00:00:20.720 --> 00:00:22.600]  其中我們上星期說到
[00:00:22.600 --> 00:00:25.160]  耶穌禁止人和鬼的說話
[00:00:25.160 --> 00:00:27.000]  他們對耶穌有不同的認識
[00:00:27.000 --> 00:00:30.280]  但耶穌的回應就是要彰顯神的權柄
[00:00:30.280 --> 00:00:33.360]  傳揚神的真理
[00:00:33.360 --> 00:00:37.280]  耶穌透過醫病來顯明神的大能
[00:00:37.280 --> 00:00:40.720]  耶穌也是藉著趕鬼來彰顯神的權柄
[00:00:40.720 --> 00:00:44.360]  這是我們上星期說到兩個的重點
[00:00:44.360 --> 00:00:47.480]  今天最後一個重點也是一個主題
[00:00:47.480 --> 00:00:50.000]  其實就是今天的主題
[00:00:50.000 --> 00:00:52.560]  我們看神的話是最正確
[00:00:52.560 --> 00:00:55.920]  我們知道我們所相信的神是最大的
[00:00:55.920 --> 00:00:57.800]  我不知道這個對弟兄姊妹來說
[00:00:57.800 --> 00:01:00.640]  是不是同樣是你的信念呢?
[00:01:00.640 --> 00:01:01.920]  今天的經文裡面說到
[00:01:01.920 --> 00:01:04.040]  耶穌醫好一個麻瘋病人
[00:01:04.040 --> 00:01:07.840]  然後耶穌就按照神的說話而行
[00:01:07.840 --> 00:01:11.800]  耶穌也吩咐這個麻瘋病人做些什麼?
[00:01:11.800 --> 00:01:14.800]  他要按照摩西的吩咐
[00:01:14.800 --> 00:01:18.040]  簡單來說就是他要按照舊約的律法
[00:01:18.040 --> 00:01:22.960]  來按照神的吩咐、說話來行
[00:01:22.960 --> 00:01:26.480]  所以耶穌很清楚跟這個人說
[00:01:26.480 --> 00:01:30.200]  你都要按照神的話而行
[00:01:30.200 --> 00:01:32.040]  但是人的回應是什麼呢?
[00:01:32.040 --> 00:01:33.800]  人聽完之後
[00:01:33.800 --> 00:01:37.200]  又沒有按照耶穌的吩咐去做
[00:01:37.200 --> 00:01:42.000]  雖然耶穌很慎重、謹慎地告訴他不可以說
[00:01:42.000 --> 00:01:43.840]  但是這個人出來了
[00:01:43.840 --> 00:01:46.000]  反而說了很多話
[00:01:46.000 --> 00:01:47.760]  上個星期我不知道大家還有沒有印象
[00:01:47.760 --> 00:01:50.880]  其實我也提到人的說話都要很小心去聽
[00:01:50.880 --> 00:01:52.720]  有些人說話的時候
[00:01:52.720 --> 00:01:55.880]  好像是為耶穌傳揚他的名聲
[00:01:55.880 --> 00:01:59.120]  但是我們說到其實耶穌不一定需要我們去傳揚他的名聲
[00:01:59.120 --> 00:02:02.160]  反而人可能用了很多的包裝也好
[00:02:02.160 --> 00:02:06.440]  他們甚至可能有時候曲解了或誤解了神的話
[00:02:06.440 --> 00:02:08.640]  甚至他們可能有些渲染
[00:02:08.640 --> 00:02:11.200]  以致讓耶穌被人誤會
[00:02:11.200 --> 00:02:14.600]  他是鬼父或者是癲狂
[00:02:14.600 --> 00:02:16.840]  所以我們都要很小心
[00:02:16.840 --> 00:02:22.080]  人為什麼用自己的意思來說神的話呢?
[00:02:22.080 --> 00:02:25.360]  這個很多時候在我們作為今天的基督徒
[00:02:25.360 --> 00:02:29.240]  我們都有這樣的危險或者有這樣的危機
[00:02:29.240 --> 00:02:31.320]  有時候會誤解
[00:02:31.320 --> 00:02:34.320]  甚至可能是亂解釋聖經
[00:02:34.320 --> 00:02:36.160]  可能我們有人會說這個人
[00:02:36.160 --> 00:02:38.200]  可能他也挺好心的
