
[00:00:00.000 --> 00:00:03.140]  列王幾下第二章23-24節
[00:00:03.140 --> 00:00:06.460]  是《舊約聖經》裏面其中一段最難處理的經文之一
[00:00:06.460 --> 00:00:09.880]  難的地方就是我們很難去接受
[00:00:09.880 --> 00:00:12.260]  爲何先知以利沙被其他人
[00:00:12.260 --> 00:00:15.300]  被一些甚至經文所講的童子笑兩笑
[00:00:15.300 --> 00:00:16.540]  潤兩潤而已
[00:00:16.540 --> 00:00:20.000]  就發起浪裏上來要咒詐這羣笑他的童子們
[00:00:20.000 --> 00:00:25.480]  就叫兩隻母熊出來將其中42個人撕裂了
[00:00:25.480 --> 00:00:26.760]  我們不要忘記
[00:00:26.760 --> 00:00:30.160]  這個故事之前以利沙去了耶利哥這個城市
[00:00:30.160 --> 00:00:32.720]  將當地的水導致孕婦流產
[00:00:32.720 --> 00:00:35.820]  寶寶夭折死亡的事件解決了
[00:00:35.820 --> 00:00:39.000]  以利沙倒鹽進水的源頭
[00:00:39.000 --> 00:00:42.100]  結果日後救回不少嬰兒的生命
[00:00:42.100 --> 00:00:44.480]  但是馬上接下來的經文
[00:00:44.480 --> 00:00:47.920]  就是今天我們看的23-24節這兩節
[00:00:47.920 --> 00:00:49.160]  特別是這兩節經文
[00:00:49.160 --> 00:00:53.720]  就講到以利沙令幾十個童子被撕裂
[00:00:53.720 --> 00:00:55.640]  會不會太殘忍呢?
[00:00:55.640 --> 00:00:57.420]  會不會太過分呢?
[00:00:57.420 --> 00:00:58.900]  救完嬰兒
[00:00:58.900 --> 00:01:01.260]  但是又殺回童子
[00:01:01.260 --> 00:01:02.600]  今天這段經文
[00:01:02.600 --> 00:01:04.880]  我們嘗試回答三個很重要的問題
[00:01:04.880 --> 00:01:08.720]  第一個問題就是童子爲什麼會被慘遭撕裂呢?
[00:01:08.720 --> 00:01:09.840]  第二個問題就是
[00:01:09.840 --> 00:01:12.680]  爲什麼這裏用兩隻母熊呢?
[00:01:12.680 --> 00:01:13.820]  我們通常發現
[00:01:13.820 --> 00:01:15.620]  解經家都不會處理這個問題
[00:01:15.620 --> 00:01:17.320]  我們嘗試問答這個問題就是
[00:01:17.320 --> 00:01:20.120]  爲什麼要零零碎碎要講兩隻母熊呢?
[00:01:20.120 --> 00:01:21.480]  還有第三
[00:01:21.480 --> 00:01:25.880]  聶王紀的作者想透過這件事件帶出什麼信息呢?
[00:01:25.880 --> 00:01:28.940]  而這個信息對我們有什麼幫助呢?
[00:01:28.940 --> 00:01:31.560]  第一件事我們今天要看的就是
[00:01:31.560 --> 00:01:35.760]  爲什麼童子會被慘遭撕裂
[00:01:35.760 --> 00:01:37.600]  我們會發現
[00:01:37.600 --> 00:01:39.920]  我們首先要知道童子
[00:01:39.920 --> 00:01:42.880]  其實他們被撕裂一定有其原因
[00:01:42.880 --> 00:01:44.320]  但是我們要回答這個問題
[00:01:44.320 --> 00:01:46.760]  就必須要了解當時發生了什麼事
[00:01:46.760 --> 00:01:50.480]  我們首先要追蹤的就是以利沙的行蹤線
[00:01:50.480 --> 00:01:54.380]  我們要知道當時以利沙是從耶利哥去伯特利
[00:01:54.380 --> 00:01:58.420]  以利沙剛剛祝福了耶利哥的城和城裏的居民
[00:01:58.420 --> 00:02:01.880]  醫治好病了的水、壞了的水
[00:02:01.880 --> 00:02:04.040]  令孕婦平安生產
[00:02:04.040 --> 00:02:05.240]  不再有流產
[00:02:05.240 --> 00:02:08.120]  不再有嬰兒夭折死亡的事件發生
[00:02:08.120 --> 00:02:09.640]  救了不知道多少人
[00:02:09.640 --> 00:02:10.440]  沒錯
[00:02:10.440 --> 00:02:12.480]  以利沙繼續他的行程
[00:02:12.480 --> 00:02:13.880]  他要去伯特利
[00:02:13.880 --> 00:02:15.200]  我們首先看地圖
[00:02:15.200 --> 00:02:19.000]  我們看到伯特利就在地圖中央的位置
[00:02:19.000 --> 00:02:21.520]  而耶利哥就在他下面一點點
[00:02:21.520 --> 00:02:24.400]  而撒瑪利亞就在他上面一點點
[00:02:24.400 --> 00:02:27.160]  而我們知道根據二十五節告訴我們
[00:02:27.160 --> 00:02:30.440]  以利沙其實是要上加密山的
[00:02:30.440 --> 00:02:32.680]  而這個地圖我們看到加密山
[00:02:32.680 --> 00:02:36.000]  就在海法的位置下面一點點的位置
[00:02:36.000 --> 00:02:37.960]  換句話說
[00:02:37.960 --> 00:02:42.960]  他是必經伯特利而去加密山的
[00:02:42.960 --> 00:02:44.880]  所以換句話說
[00:02:44.880 --> 00:02:47.560]  這些童子就從城裏面出來
[00:02:47.560 --> 00:02:51.280]  嬉笑他就是當他正在去伯特利的時間
[00:02:51.280 --> 00:02:54.440]  那些童子就走出來笑他
[00:02:54.440 --> 00:02:57.360]  童子其實他們是從哪裏來的呢?
[00:02:57.360 --> 00:02:58.840]  正如我們剛纔所講
[00:02:58.840 --> 00:03:00.560]  我們知道《中文聖經》裏面
[00:03:00.560 --> 00:03:02.920]  有《中文聖經》的註釋學家
[00:03:02.920 --> 00:03:07.560]  他們認爲在這裏應該是耶利哥這個城出來纔對
[00:03:07.560 --> 00:03:09.200]  其實那一套《中文聖經》
[00:03:09.200 --> 00:03:13.320]  是現在全香港最出名的一套中文註釋書的系列
[00:03:13.320 --> 00:03:15.880]  但是我們發現其實二章二十四節
[00:03:15.880 --> 00:03:20.200]  他回頭看其實這個意思就是指他轉身
[00:03:20.200 --> 00:03:25.760]  轉身不代表一定是那些人就是耶利哥出來的
[00:03:25.760 --> 00:03:29.120]  難道你說轉一轉身就一定是從倫敦的方向來的嗎?
[00:03:29.120 --> 00:03:31.000]  不可以是這樣的想法
[00:03:31.000 --> 00:03:33.200]  再加上我們要留意
[00:03:33.200 --> 00:03:35.920]  我們再加上我們要知道一件很重要的事
[00:03:35.920 --> 00:03:40.080]  因爲這裏有個定貫詞出現
[00:03:40.080 --> 00:03:42.680]  在城這個地方有個定貫詞出現
[00:03:42.680 --> 00:03:44.720]  換句話說是特定的城
[00:03:44.720 --> 00:03:47.720]  而這裏從來都沒有耶利哥這個名字出現過
[00:03:47.720 --> 00:03:49.720]  最多是「那裏」
[00:03:49.720 --> 00:03:52.560]  換句話說這麼含糊的字眼
