
[00:00:00.000 --> 00:00:03.200]  今日我哋嚟到復活嘅主日
[00:00:03.200 --> 00:00:04.600]  我哋睇一段嘅經文
[00:00:04.600 --> 00:00:07.840]  我哋會睇睇遇見復活嘅主
[00:00:07.840 --> 00:00:10.160]  我哋今日嘅主角會嚟睇睇
[00:00:10.160 --> 00:00:12.200]  末大拉嘅瑪麗亞
[00:00:12.200 --> 00:00:14.120]  佢遇見復活嘅主
[00:00:14.120 --> 00:00:17.280]  就從一個絕望到咗盤亡
[00:00:17.280 --> 00:00:18.200]  末大拉嘅瑪麗亞
[00:00:18.200 --> 00:00:21.480]  就站喺呢個墳墓外面痛哭
[00:00:21.480 --> 00:00:24.600]  佢哭嘅時候就彎腰往墳墓去睇
[00:00:24.600 --> 00:00:27.560]  就睇到兩個身穿白衣嘅天使
[00:00:27.560 --> 00:00:30.280]  坐喺安放耶穌為體嘅地方
[00:00:30.280 --> 00:00:31.600]  一個頭喺嗰邊
[00:00:31.600 --> 00:00:34.000]  一個喺腳嗰邊
[00:00:34.000 --> 00:00:35.200]  天使問佢
[00:00:35.200 --> 00:00:37.000]  「婦人,你為什麽哭呢?」
[00:00:37.000 --> 00:00:40.000]  她說「有人把我的主搬走咗」
[00:00:40.000 --> 00:00:43.160]  「我唔知道佢哋把佢放喺哪裏」
[00:00:43.160 --> 00:00:44.720]  關於末大拉嘅瑪麗亞
[00:00:44.720 --> 00:00:48.120]  都有好多唔同版本嘅謠言出咗嚟嘅
[00:00:48.120 --> 00:00:50.480]  其中一個謠言就話
[00:00:50.480 --> 00:00:52.880]  末大拉嘅瑪麗亞其實係一個好窮嘅人
[00:00:52.880 --> 00:00:54.400]  而且佢係一個妓女
[00:00:54.400 --> 00:00:56.880]  咁呢個謠言係邊個傳出嚟嘅呢?
[00:00:56.880 --> 00:00:58.760]  係天主教傳出嚟嘅
[00:00:58.760 --> 00:01:01.640]  第一個傳出嚟就係天主教嘅教皇
[00:01:01.640 --> 00:01:03.720]  Pope Gregory the One
[00:01:03.720 --> 00:01:05.960]  佢傳咗呢個謠言之後
[00:01:05.960 --> 00:01:08.680]  就喺基督教嘅界就流傳
[00:01:08.680 --> 00:01:10.720]  所以大家有個印象就覺得
[00:01:10.720 --> 00:01:13.680]  末大拉嘅瑪麗亞係個妓女嚟㗎喎
[00:01:13.680 --> 00:01:14.480]  但其實唔係
[00:01:14.480 --> 00:01:16.320]  呢個純粹係謠言
[00:01:16.320 --> 00:01:18.360]  所以《老家風音》就為佢闢謠
[00:01:18.360 --> 00:01:20.040]  《老家風音》嘅記載
