
[00:00:00.000 --> 00:00:03.520]  我們期待著復興可以來到香港
[00:00:03.520 --> 00:00:05.560]  來到香港的教會
[00:00:05.560 --> 00:00:07.960]  對我們的生命有很多的改變
[00:00:07.960 --> 00:00:09.640]  很多的改造
[00:00:09.640 --> 00:00:10.880]  這是一種心情來的
[00:00:10.880 --> 00:00:11.760]  盼望
[00:00:11.760 --> 00:00:14.600]  很期待神的工作臨到
[00:00:14.600 --> 00:00:16.440]  但另一方面
[00:00:16.440 --> 00:00:17.840]  如果我們要環顧
[00:00:17.840 --> 00:00:19.680]  真是現實生活裡面
[00:00:19.680 --> 00:00:20.960]  地上的東西
[00:00:20.960 --> 00:00:22.000]  我真的覺得
[00:00:22.000 --> 00:00:25.600]  其實有很多東西都令人覺得很不舒服
[00:00:25.600 --> 00:00:27.680]  或者是很不安心
[00:00:27.680 --> 00:00:30.480]  或者是很不開心的
[00:00:30.480 --> 00:00:32.720]  昨天我看報紙
[00:00:32.720 --> 00:00:34.160]  看報紙
[00:00:34.160 --> 00:00:36.760]  我想不是很多人喜歡看這些新聞
[00:00:36.760 --> 00:00:37.640]  我看《明報》
[00:00:37.640 --> 00:00:39.320]  它的頭條消息
[00:00:39.320 --> 00:00:40.000]  它有一個
[00:00:40.000 --> 00:00:41.720]  香港大學有一個民意調查
[00:00:41.720 --> 00:00:42.760]  這個民意調查
[00:00:42.760 --> 00:00:44.440]  其實不是經常公佈的
[00:00:44.440 --> 00:00:47.480]  叫做香港的民情指數
[00:00:47.480 --> 00:00:51.080]  民間的情緒指數
[00:00:51.080 --> 00:00:54.240]  是說整個整體的市民
[00:00:54.240 --> 00:00:56.040]  不同階層的市民
[00:00:56.040 --> 00:00:59.200]  對於香港這個城市的情況
[00:00:59.200 --> 00:01:00.600]  無論是政府
[00:01:00.600 --> 00:01:02.240]  無論是生活的環境
[00:01:02.240 --> 00:01:03.360]  感覺如何
[00:01:03.360 --> 00:01:05.080]  即是情感
[00:01:05.080 --> 00:01:06.320]  情緒如何
[00:01:06.320 --> 00:01:08.000]  它給我們一個結論
[00:01:08.000 --> 00:01:09.840]  有一個簡單的結果
[00:01:09.840 --> 00:01:10.840]  這個調查就說
[00:01:10.840 --> 00:01:12.240]  香港今天
[00:01:12.240 --> 00:01:13.680]  今年這個時刻
[00:01:13.680 --> 00:01:15.440]  面對的民情
[00:01:15.440 --> 00:01:18.640]  其實是極之惡劣的
[00:01:18.640 --> 00:01:20.960]  即是說面對政府的管治
