
[00:00:00.000 --> 00:00:05.420]  今日係一個非常之特別嘅父親節
[00:00:05.420 --> 00:00:08.460]  我決定我今日會
[00:00:08.460 --> 00:00:10.820]  行出街
[00:00:10.820 --> 00:00:12.300]  見到
[00:00:12.300 --> 00:00:14.260]  後生仔
[00:00:14.260 --> 00:00:16.260]  後生仔姐吓
[00:00:16.260 --> 00:00:18.700]  我會擁抱佢
[00:00:18.700 --> 00:00:21.660]  如果可以嘅話
[00:00:21.660 --> 00:00:24.180]  就算係警察
[00:00:24.180 --> 00:00:26.700]  我都會擁抱佢
[00:00:26.700 --> 00:00:29.260]  如果方便嘅話
[00:00:29.260 --> 00:00:32.020]  香港需要愛
[00:00:32.020 --> 00:00:34.100]  香港需要
[00:00:34.100 --> 00:00:37.260]  父親
[00:00:37.260 --> 00:00:42.100]  今日仍然係一個撕裂嘅社會
[00:00:42.100 --> 00:00:45.700]  到今時今日
[00:00:45.700 --> 00:00:47.780]  仍然係一個
[00:00:47.780 --> 00:00:49.260]  紅
[00:00:49.260 --> 00:00:50.820]  黃
[00:00:50.820 --> 00:00:52.980]  藍
[00:00:52.980 --> 00:00:55.060]  嘅社會
[00:00:55.060 --> 00:00:56.940]  不幸地
[00:00:56.940 --> 00:00:59.100]  甚至可以話
[00:00:59.100 --> 00:01:00.740]  教會
[00:01:00.740 --> 00:01:03.020]  都係分成
[00:01:03.020 --> 00:01:04.580]  建制
[00:01:04.580 --> 00:01:07.220]  或者非建制
[00:01:07.220 --> 00:01:09.700]  親愛的兄姊妹
[00:01:09.700 --> 00:01:12.460]  你有你的立場
[00:01:12.460 --> 00:01:15.700]  我有我的立場
[00:01:15.700 --> 00:01:18.100]  呢個係
[00:01:18.100 --> 00:01:20.060]  可以嘅
[00:01:20.060 --> 00:01:23.780]  亦都係迴避不了嘅
[00:01:23.780 --> 00:01:26.860]  但係我想站在呢一處
[00:01:26.860 --> 00:01:32.020]  嚟到話畀你聽基督教封聖生命堂我所認識嘅
[00:01:32.020 --> 00:01:34.540]  唔係一個
[00:01:34.540 --> 00:01:38.300]  有既定政治立場
[00:01:38.300 --> 00:01:39.700]  路線
[00:01:39.700 --> 00:01:40.820]  依靠
[00:01:40.820 --> 00:01:44.420]  邊個政黨支持邊個政黨
[00:01:44.420 --> 00:01:46.900]  嘅一個教會
[00:01:46.900 --> 00:01:48.740]  你信唔信呀
[00:01:48.740 --> 00:01:51.260]  你同唔同意呀
[00:01:51.260 --> 00:01:53.780]  我哋唔係藍
[00:01:53.780 --> 00:01:56.180]  亦都唔係黃
[00:01:56.180 --> 00:02:02.260]  亦都唔係紅
[00:02:02.260 --> 00:02:05.100]  如果我哋係藍
[00:02:05.100 --> 00:02:08.100]  係因為天空係藍
[00:02:08.100 --> 00:02:11.620]  耶穌基督俾我哋有晴天
[00:02:11.620 --> 00:02:13.980]  如果我哋係黃
[00:02:13.980 --> 00:02:15.980]  係因為我哋
[00:02:15.980 --> 00:02:18.020]  相信
[00:02:18.020 --> 00:02:19.660]  光明
[00:02:19.660 --> 00:02:22.740]  有榮耀
[00:02:22.740 --> 00:02:25.020]  如果我哋係紅
[00:02:25.020 --> 00:02:28.980]  係因為有耶穌基督嘅報血
[00:02:28.980 --> 00:02:33.980]  你可能心裏面充滿我壓力
[00:02:33.980 --> 00:02:38.340]  可能係我造成你有壓力
[00:02:38.340 --> 00:02:42.900]  不過到返轉頭亦都係你造成我有壓力
[00:02:42.900 --> 00:02:45.060]  有冇得傾呀
[00:02:45.060 --> 00:02:49.380]  今日呢個主日
[00:02:49.380 --> 00:02:51.740]  可能你見到有啲人著黑色衫
[00:02:51.740 --> 00:02:56.420]  不過好在我成日都著黑色衫
[00:02:56.420 --> 00:02:58.980]  不過我已經講咗啦
[00:02:58.980 --> 00:03:03.180]  我實係會出去嘅今日
[00:03:03.180 --> 00:03:06.460]  其實6月9號我出去㗎
[00:03:06.460 --> 00:03:09.980]  長過添
[00:03:09.980 --> 00:03:13.420]  6月12號我出去㗎
[00:03:13.420 --> 00:03:15.780]  同一班嘅教務
[00:03:15.780 --> 00:03:19.620]  喺呢一個嘅政總出面
[00:03:19.620 --> 00:03:22.420]  係攞咗一本反對通知書嘅
[00:03:22.420 --> 00:03:27.500]  喺度祈禱
[00:03:27.500 --> 00:03:32.220]  13號我出去
[00:03:32.220 --> 00:03:34.140]  嗰日晏晝好大雨呀你知道
[00:03:34.140 --> 00:03:36.500]  朝早好大雨
[00:03:36.500 --> 00:03:42.580]  晏晝我應該係荔枝角探監
[00:03:42.580 --> 00:03:45.300]  但我冇去到
[00:03:45.300 --> 00:03:47.860]  因為我聽見有人話
[00:03:47.860 --> 00:03:51.460]  仲係有青年人
[00:03:51.460 --> 00:03:54.340]  喺出面
[00:03:54.340 --> 00:03:56.900]  佢哋好落寞
[00:03:56.900 --> 00:04:00.700]  12號晏晝發生嘅事情大家都知㗎
[00:04:00.700 --> 00:04:03.300]  你睇幾多嘢你諗幾多嘢
[00:04:03.300 --> 00:04:07.100]  心中自有
[00:04:07.100 --> 00:04:09.700]  你嘅反應
[00:04:09.700 --> 00:04:12.180]  但係我聽到話
[00:04:12.180 --> 00:04:17.820]  一班本嚟係鄙視基督徒嘅人
[00:04:17.820 --> 00:04:19.860]  佢想有牧師
[00:04:19.860 --> 00:04:21.620]  嚟到同佢哋講道
[00:04:21.620 --> 00:04:25.660]  嚟到同佢哋陪伴同行
[00:04:25.660 --> 00:04:28.500]  我即刻唔去探監
[00:04:28.500 --> 00:04:30.700]  我走咗去
[00:04:30.700 --> 00:04:33.540]  咁唔知道有幾多人睇見你嘅牧師
[00:04:33.540 --> 00:04:35.620]  見報呢
[00:04:35.620 --> 00:04:39.060]  唔知你睇到你覺得點呢
[00:04:39.060 --> 00:04:43.100]  我只係想話畀你聽我只有一個心
[00:04:43.100 --> 00:04:47.380]  當人顛沛流離而同羊沒有羊群
[00:04:47.380 --> 00:04:50.460]  而沒有牧人嘅時候
[00:04:50.460 --> 00:04:53.500]  作為一個牧者
[00:04:53.500 --> 00:04:57.260]  我哋願意
[00:04:57.260 --> 00:05:03.980]  陪伴佢
[00:05:03.980 --> 00:05:09.660]  教會係需要與
[00:05:09.660 --> 00:05:11.660]  落寞
[00:05:11.660 --> 00:05:13.620]  無助
[00:05:13.620 --> 00:05:15.260]  孤單
[00:05:15.260 --> 00:05:17.220]  傷痛嘅人
[00:05:17.220 --> 00:05:19.780]  嚟到同行
