
[00:00:00.000 --> 00:00:04.360]  那你們有沒有人第一次去報道會的?
[00:00:04.360 --> 00:00:07.980]  都有嗎?有人第一次去過嗎?
[00:00:07.980 --> 00:00:11.460]  有些經常去過,有些是一次而已
[00:00:11.460 --> 00:00:13.440]  報道會其實是什麼來的呢?
[00:00:13.440 --> 00:00:17.320]  報道會其實是一個研究快樂的演講會來的
[00:00:17.320 --> 00:00:19.500]  叫快樂演講會來的
[00:00:19.500 --> 00:00:20.920]  快樂是怎麼來的呢?
[00:00:20.920 --> 00:00:22.620]  報道會是講這件事的
[00:00:22.620 --> 00:00:24.320]  如果講得細一點
[00:00:24.320 --> 00:00:29.180]  報道會應該叫做慶祝甩爛的派對來的
[00:00:29.480 --> 00:00:31.280]  什麼叫做甩爛呢?
[00:00:31.280 --> 00:00:33.340]  你供過樓就知道了
[00:00:33.340 --> 00:00:35.300]  我供過樓
[00:00:35.300 --> 00:00:37.480]  我供了七年
[00:00:37.480 --> 00:00:39.240]  我存夠錢
[00:00:39.240 --> 00:00:42.260]  就去贖回了房子
[00:00:42.260 --> 00:00:44.020]  銀行告訴我
[00:00:44.020 --> 00:00:48.920]  喂,你這七年只供了利息,還沒開始供
[00:00:48.920 --> 00:00:53.020]  原因是那時候供樓是20釐
[00:00:53.020 --> 00:00:55.220]  20釐,很厲害,20釐
[00:00:55.220 --> 00:00:59.120]  那爲什麼叫慶祝甩爛的派對呢?
[00:00:59.120 --> 00:01:02.580]  就是如果你有一層樓
[00:01:02.580 --> 00:01:06.480]  在很貴的利息下,你要住
[00:01:06.480 --> 00:01:08.260]  唯有儘量供
[00:01:08.260 --> 00:01:10.260]  如果突然間,你收到消息
[00:01:10.260 --> 00:01:12.000]  有人幫你出了錢
[00:01:12.000 --> 00:01:13.740]  給你贖了房契
[00:01:13.740 --> 00:01:16.080]  以後不用再供了
[00:01:16.080 --> 00:01:17.480]  你開不開心呢?
[00:01:17.480 --> 00:01:19.800]  房子就是你的了
[00:01:19.800 --> 00:01:21.000]  你上去律師樓
[00:01:21.000 --> 00:01:23.460]  你收到是不是很開心?很開心
[00:01:23.460 --> 00:01:24.940]  很大意外
[00:01:24.940 --> 00:01:27.680]  我不用那麼辛苦再供下去
[00:01:27.680 --> 00:01:30.000]  我本來還預了一輩子
[00:01:30.000 --> 00:01:32.220]  很大一部分的收入去供樓
[00:01:32.220 --> 00:01:33.020]  不用了
[00:01:33.020 --> 00:01:34.920]  報道會就是解釋這件事
[00:01:34.920 --> 00:01:36.600]  你說真的假的
[00:01:36.600 --> 00:01:39.120]  所以先不要買樓,先聽完
[00:01:39.120 --> 00:01:39.940]  好了
[00:01:39.940 --> 00:01:43.780]  今晚我就開始講了
[00:01:43.780 --> 00:01:46.200]  其實我
[00:01:46.200 --> 00:01:49.360]  我研究很多時候講EQ這個字
[00:01:49.360 --> 00:01:51.600]  那時候在理工大學
[00:01:51.600 --> 00:01:54.320]  我走的時候就開始寫一本書
[00:01:54.600 --> 00:01:59.440]  後來政府就,你知道迴歸97年
[00:01:59.440 --> 00:02:03.020]  政府有一個很緊張的時期
[00:02:03.020 --> 00:02:05.540]  就說轉爲問責制
[00:02:05.540 --> 00:02:08.800]  就是說你以後任何去政府部門
[00:02:08.800 --> 00:02:11.160]  都有一幅照片
[00:02:11.160 --> 00:02:12.580]  還有一個牌子在那裏
[00:02:12.580 --> 00:02:14.520]  就是如果你對這裏不滿意
[00:02:14.520 --> 00:02:15.800]  你向那個人投訴
[00:02:15.800 --> 00:02:18.280]  你有沒有寄信呢?郵局現在還有這些的
[00:02:18.280 --> 00:02:21.740]  就是說哪個人負責哪個東西
[00:02:21.740 --> 00:02:24.520]  我們要接受任何人的批評
[00:02:24.520 --> 00:02:28.200]  所以那時候香港有17萬公務員
[00:02:28.200 --> 00:02:31.320]  其實前線有3萬多人要面對
[00:02:31.320 --> 00:02:34.320]  以前沒有什麼人可以投訴他們
[00:02:34.320 --> 00:02:39.060]  但是以後就任你打電話、罵、講、寫信都可以
[00:02:39.060 --> 00:02:41.100]  所以他們很不習慣
[00:02:41.100 --> 00:02:45.200]  那時候他們就找我用4年的時間
[00:02:45.200 --> 00:02:48.700]  就逐批的公務員,每批300人
[00:02:48.700 --> 00:02:50.340]  就訓練他們EQ
[00:02:50.340 --> 00:02:51.920]  就是訓練他們怎樣
[00:02:51.920 --> 00:02:53.820]  你罵啊罵啊罵啊罵啊
[00:02:53.820 --> 00:02:55.980]  我就揹着笑:謝謝!謝謝!謝謝!
[00:02:55.980 --> 00:02:58.540]  就是這樣訓練他們
[00:02:58.540 --> 00:03:01.140]  訓練了4年
[00:03:01.140 --> 00:03:02.340]  其實是不是成功呢?
[00:03:02.340 --> 00:03:05.220]  你現在去試一下政府部門就知道成不成功了
[00:03:05.220 --> 00:03:07.220]  我不再講下去了
[00:03:07.220 --> 00:03:09.720]  但是後來我就發現
[00:03:09.720 --> 00:03:13.440]  其實這些公務都喫力不討好的,老實講
[00:03:13.440 --> 00:03:15.260]  很多人都覺得很冤枉的
[00:03:15.260 --> 00:03:18.160]  就是我打份工被你罵
[00:03:18.160 --> 00:03:21.220]  我還是做我應該做的事情
[00:03:21.220 --> 00:03:24.060]  所以我就慢慢想一下,其實人生
[00:03:24.060 --> 00:03:26.860]  應該還有些更加有價值的事情去做
[00:03:26.860 --> 00:03:29.360]  那時候我就開了一間機構
[00:03:29.360 --> 00:03:32.980]  教小朋友EQ
[00:03:32.980 --> 00:03:36.500]  我今天那間機構幫忙教人
[00:03:36.500 --> 00:03:38.740]  就是當年的小朋友
[00:03:38.740 --> 00:03:40.900]  現在在大學讀書,有些大學畢業了
[00:03:40.900 --> 00:03:41.900]  就是那些新聞仔
[00:03:41.900 --> 00:03:44.460]  我沒想到十幾年後
