
[00:00:00.000 --> 00:00:05.520]  我猜想这可能是我有生以来第一次主持讲台的时候穿T恤
[00:00:05.520 --> 00:00:11.480]  从来没有穿T恤主持讲道过
[00:00:11.480 --> 00:00:14.640]  我从上中学的时候就不喜欢穿校服
[00:00:14.640 --> 00:00:15.880]  你们喜欢穿校服吗
[00:00:15.880 --> 00:00:18.840]  喜欢啊
[00:00:18.840 --> 00:00:19.440]  第一个
[00:00:19.440 --> 00:00:20.680]  我不知道你们的年代
[00:00:20.680 --> 00:00:24.360]  我那年代中国的中学生的校服丑啊
[00:00:24.360 --> 00:00:26.720]  又爱美
[00:00:26.720 --> 00:00:27.880]  对吧
[00:00:27.880 --> 00:00:28.560]  另外一方面
[00:00:28.560 --> 00:00:29.840]  为什么不喜欢穿校服
[00:00:29.840 --> 00:00:31.080]  穿制服呢
[00:00:31.080 --> 00:00:37.040]  因为制服其实是抹杀了一个人的独特性
[00:00:37.040 --> 00:00:37.880]  独立性
[00:00:37.880 --> 00:00:39.400]  对不对
[00:00:39.400 --> 00:00:43.280]  制服凸显的是一种群体的身份
[00:00:43.280 --> 00:00:46.640]  凸显了我在群体当中的身份
[00:00:46.640 --> 00:00:49.480]  这件衣服凸显了是什么
[00:00:49.480 --> 00:00:54.640]  是我们在耶稣基督里所蒙受的那个呼召和执愤
[00:00:54.640 --> 00:00:55.640]  你知道这个意思吗
[00:00:56.920 --> 00:01:03.040]  我们今年的主题让世界让万民都听见
[00:01:03.040 --> 00:01:04.480]  你要发出声音来
[00:01:04.480 --> 00:01:06.080]  你要去传讲福音
[00:01:06.080 --> 00:01:09.240]  你知道这里为什么有三分之一吗
[00:01:09.240 --> 00:01:11.800]  因为这个世界还有三分之一的百姓和子民
[00:01:11.800 --> 00:01:14.240]  他们没有机会听见福音
[00:01:14.240 --> 00:01:18.440]  这件衣服是要把这个使命的独特性凸显出来
[00:01:18.440 --> 00:01:20.520]  而不是把我这张脸
[00:01:20.520 --> 00:01:21.600]  我的讲道
[00:01:21.600 --> 00:01:22.480]  我的恩赐
[00:01:22.480 --> 00:01:24.800]  我的口才凸显出来
[00:01:24.800 --> 00:01:30.240]  所以很荣幸今天穿着圆领T恤跟大家分享今天的信息
[00:01:30.240 --> 00:01:32.320]  这件衣服和我今天的信息
[00:01:32.320 --> 00:01:36.280]  和刚才所有的见证师哥要带给我们的一个信息
[00:01:36.280 --> 00:01:38.440]  就是大使命
[00:01:38.440 --> 00:01:40.280]  宣教的使命
[00:01:40.280 --> 00:01:43.800]  让我们今天一起来读今天的经文好吗
[00:01:43.800 --> 00:01:44.600]  这个在
[00:01:44.600 --> 00:01:46.840]  如果
[00:01:46.840 --> 00:01:48.640]  有啊
[00:01:48.640 --> 00:01:51.480]  那我们就一起用PPT来读今天的经文
[00:01:51.480 --> 00:01:53.520]  在马太福音的第28章
[00:01:53.520 --> 00:01:57.280]  先读第10节然后读16到第20节
[00:01:57.280 --> 00:01:58.960]  我们同时一起来读啊
[00:01:58.960 --> 00:02:00.160]  很短的几节经文
[00:02:00.160 --> 00:02:01.400]  一二
[00:02:01.400 --> 00:02:03.440]  耶稣对他们说
[00:02:03.440 --> 00:02:05.200]  不要害怕
[00:02:05.200 --> 00:02:07.560]  你们去告诉我弟兄
[00:02:07.560 --> 00:02:09.960]  叫他们往加利利去
[00:02:09.960 --> 00:02:12.560]  在那里必见我
[00:02:12.560 --> 00:02:16.040]  十一个门徒往加利利去
[00:02:16.040 --> 00:02:19.160]  到了耶稣约定的山上
[00:02:19.160 --> 00:02:21.880]  他们见了耶稣就拜他
[00:02:21.880 --> 00:02:24.560]  然而还有人疑惑
[00:02:24.560 --> 00:02:27.800]  耶稣进前来对他们说
[00:02:27.800 --> 00:02:32.480]  天上地下所有的权柄都赐给我了
[00:02:32.480 --> 00:02:37.160]  所以你们要去使万民做我的门徒
[00:02:37.160 --> 00:02:40.480]  奉父子圣灵的名给他们施洗
[00:02:40.480 --> 00:02:46.600]  如我所吩咐你们的都教训他们遵守
[00:02:46.600 --> 00:02:49.160]  我就常与你们同在
[00:02:49.160 --> 00:02:52.120]  直到世界的末了
[00:02:52.120 --> 00:02:54.480]  我想这段经文大家一定很熟悉
[00:02:54.480 --> 00:02:56.760]  如果你是一个基督徒对不对
[00:02:56.760 --> 00:03:00.000]  关于福音宣教的大使命
[00:03:00.000 --> 00:03:01.680]  你是很熟悉的
[00:03:01.680 --> 00:03:02.800]  你是不陌生的
[00:03:02.800 --> 00:03:04.760]  所以今天的讲道也是一个
[00:03:04.760 --> 00:03:06.760]  是大家耳熟能详的一个topic
[00:03:06.760 --> 00:03:07.880]  一个主题
[00:03:07.880 --> 00:03:11.400]  虽然很多人说这是一个老掉牙的主题
[00:03:11.400 --> 00:03:14.800]  但是很有可能这是老掉牙都学不会的一个主题
[00:03:14.800 --> 00:03:17.960]  都到老掉牙还需要学习的一个主题
[00:03:17.960 --> 00:03:20.040]  各位今天是一个大数据时代
[00:03:20.040 --> 00:03:21.160]  给大家一组数字
[00:03:21.160 --> 00:03:22.640]  我们作为华人
[00:03:22.640 --> 00:03:25.040]  我们在福音宣教使命上
[00:03:25.040 --> 00:03:28.040]  到底回应这个呼召有多大的一个程度
[00:03:28.040 --> 00:03:31.240]  能看得清楚吗
[00:03:31.240 --> 00:03:34.480]  当然中国大陆无法统计
[00:03:34.480 --> 00:03:37.160]  这是我在几个不同的机构
[00:03:37.160 --> 00:03:38.920]  他们统计出来的一个资料
[00:03:38.920 --> 00:03:43.200]  在台湾大约有将近五千间的教会
[00:03:43.200 --> 00:03:47.280]  大概拆开了多少宣教士呢
[00:03:47.280 --> 00:03:49.120]  我说的是长期宣教士
[00:03:49.120 --> 00:03:50.880]  六七百人左右
[00:03:50.880 --> 00:03:54.240]  那一平均就是七至八人
[00:03:54.240 --> 00:03:57.840]  七至八间教会拆开一个宣教士
[00:03:57.840 --> 00:04:02.120]  香港虽然不大
[00:04:02.120 --> 00:04:04.600]  但是有一千三百间教会左右
[00:04:04.600 --> 00:04:07.560]  那他们拆开的宣教士比例就比较高了
[00:04:07.560 --> 00:04:10.720]  拆开了三百五至四百人左右
[00:04:10.720 --> 00:04:13.960]  那换句话说三四间就拆开一位宣教士
[00:04:13.960 --> 00:04:15.320]  新加坡是最高的
[00:04:15.320 --> 00:04:17.680]  四百间教会
[00:04:17.680 --> 00:04:21.320]  但是拆开了四百五十人左右的宣教士
[00:04:21.320 --> 00:04:22.840]  但新加坡有一个现象
[00:04:22.840 --> 00:04:24.920]  其实拆开宣教士的这些教会里边
[00:04:24.920 --> 00:04:27.960]  70%是英文的教会
[00:04:27.960 --> 00:04:29.760]  30%才是中文的
[00:04:29.760 --> 00:04:32.440]  在北美就是美国加拿大
[00:04:32.440 --> 00:04:34.720]  其实这个数字是最难统计的
[00:04:34.720 --> 00:04:36.720]  所以美国加拿大
[00:04:36.720 --> 00:04:39.120]  我没有百分之百的把握
[00:04:39.120 --> 00:04:43.120]  但是大约一千两百间教会左右
[00:04:43.120 --> 00:04:46.320]  拆开了三百左右的宣教士
[00:04:46.320 --> 00:04:47.920]  在北美有一个特点
[00:04:47.920 --> 00:04:50.240]  我们比较多的是拆钱
[00:04:50.240 --> 00:04:53.240]  比较少的是拆人
[00:04:53.240 --> 00:04:55.360]  我们奉献可能很多在宣教上
[00:04:55.360 --> 00:04:58.040]  但是真正从我们中间北美教会
[00:04:58.040 --> 00:05:01.400]  走出去做宣教的长期的宣教士
[00:05:01.400 --> 00:05:04.200]  坦白说可能是从比例上来说
[00:05:04.200 --> 00:05:05.960]  是在所有的华人
[00:05:05.960 --> 00:05:08.360]  海外华人聚集的地方
[00:05:08.360 --> 00:05:11.360]  Probably是最低的
[00:05:11.360 --> 00:05:15.360]  雍姊妹你说
[00:05:15.360 --> 00:05:17.560]  我们没有像这些宣教士一样
[00:05:17.560 --> 00:05:19.520]  翻山越岭去传福音
[00:05:19.520 --> 00:05:21.840]  那么各位我问你们
[00:05:21.840 --> 00:05:25.320]  你们有没有在近处传福音呢
[00:05:25.320 --> 00:05:29.000]  你有没有在你的生活的场景当中去传福音呢
[00:05:29.000 --> 00:05:31.640]  你去年过去六个月
[00:05:31.640 --> 00:05:34.600]  你带领了几个人信耶稣呢
[00:05:34.600 --> 00:05:37.360]  我不需要再给大家看太多的数据了
[00:05:37.360 --> 00:05:39.720]  其实很多都告诉我们
[00:05:39.720 --> 00:05:42.320]  让我告诉你们绝大多数的基督徒
[00:05:42.320 --> 00:05:44.000]  一生之久
[00:05:44.000 --> 00:05:45.960]  绝大多数的时间
[00:05:45.960 --> 00:05:47.960]  他们不传福音
[00:05:47.960 --> 00:05:52.960]  我们很快就要有幸福小组
[00:05:52.960 --> 00:05:54.800]  这是传福音的策略之一
[00:05:54.800 --> 00:05:57.040]  我记得过去幸福小组的时候
[00:05:57.040 --> 00:06:00.320]  我就在我们银网子幸福小组的时候
[00:06:00.320 --> 00:06:01.840]  我们有一个动员大会
[00:06:01.840 --> 00:06:02.520]  对吧
[00:06:02.520 --> 00:06:04.520]  我就跟大家说
[00:06:04.520 --> 00:06:05.920]  我们总结一下
[00:06:05.920 --> 00:06:08.800]  为什么基督徒明明应该传福音
[00:06:08.800 --> 00:06:09.840]  但是呢
[00:06:09.840 --> 00:06:12.280]  但是就是不传福音呢
[00:06:12.280 --> 00:06:14.000]  为什么绝大多数的基督徒
[00:06:14.000 --> 00:06:15.840]  绝大多数的时间不传福音呢
[00:06:15.840 --> 00:06:18.840]  我们有很多的不
[00:06:18.840 --> 00:06:19.400]  还记得吗
[00:06:19.400 --> 00:06:23.000]  各位银网子的同工们记得吗
[00:06:23.000 --> 00:06:23.480]  不什么
[00:06:23.480 --> 00:06:26.080]  不敢传
[00:06:26.080 --> 00:06:26.840]  有吗
[00:06:26.840 --> 00:06:28.200]  以福音为耻
[00:06:28.200 --> 00:06:29.200]  害怕被拒绝
[00:06:29.200 --> 00:06:29.960]  不敢传
[00:06:29.960 --> 00:06:30.880]  没有这个胆量
[00:06:30.880 --> 00:06:31.360]  还有什么
[00:06:31.360 --> 00:06:34.400]  不想传
[00:06:34.400 --> 00:06:36.760]  就是传福音与我何干
[00:06:36.760 --> 00:06:39.400]  牧师的事传道的事长职的事
[00:06:39.400 --> 00:06:40.600]  小组组长的事
[00:06:40.600 --> 00:06:42.560]  至少是很成熟的基督徒
[00:06:42.560 --> 00:06:44.320]  那跟我没有多大关系
[00:06:44.320 --> 00:06:44.960]  没有负担
[00:06:44.960 --> 00:06:45.640]  不想传
[00:06:45.640 --> 00:06:46.080]  还有什么
[00:06:46.080 --> 00:06:48.560]  不会传
[00:06:48.560 --> 00:06:51.560]  有一天你想传了发现发现发现
[00:06:51.560 --> 00:06:53.400]  你不知道怎么去给人家传
[00:06:53.400 --> 00:06:54.200]  甚至有的时候
[00:06:54.200 --> 00:06:56.120]  我曾经听到有人传福音啊
[00:06:56.120 --> 00:06:57.040]  我捏把冷汗
[00:06:57.040 --> 00:07:01.080]  真的在传传传出异端来了
[00:07:01.080 --> 00:07:02.480]  新耶稣新耶稣
[00:07:02.480 --> 00:07:04.280]  你的青春痘就消失了
[00:07:04.280 --> 00:07:05.160]  有这回事吗
[00:07:07.440 --> 00:07:07.920]  还有什么
[00:07:07.920 --> 00:07:13.360]  还有一个蛮可怕的叫不能传
[00:07:13.360 --> 00:07:14.760]  为什么不能传
[00:07:14.760 --> 00:07:17.400]  因为你生活见证太糟糕了
[00:07:17.400 --> 00:07:18.000]  哎呀
[00:07:18.000 --> 00:07:18.920]  你又自私
[00:07:18.920 --> 00:07:20.400]  又爱贪便宜
[00:07:20.400 --> 00:07:22.840]  人家和你一起做同事都很倒霉
[00:07:22.840 --> 00:07:25.200]  你说你跟他传福音上天堂
[00:07:25.200 --> 00:07:26.520]  我永世和你在一起
[00:07:26.520 --> 00:07:27.240]  我才不要嘞
[00:07:27.240 --> 00:07:29.760]  不能传
[00:07:29.760 --> 00:07:30.200]  还有没有
[00:07:30.200 --> 00:07:32.080]  还有最后一个
[00:07:32.080 --> 00:07:34.080]  不许传
[00:07:35.960 --> 00:07:37.200]  什么叫不许传
[00:07:37.200 --> 00:07:37.840]  当然
[00:07:37.840 --> 00:07:39.760]  如果你去到穆斯林国家
[00:07:39.760 --> 00:07:41.680]  你去到一个异教的国家
[00:07:41.680 --> 00:07:44.600]  你会发现法律不让你传
