
[00:00:00.000 --> 00:00:03.520]  今日的題目是「我來是要作元帥」
[00:00:03.520 --> 00:00:08.080]  大家留意,「我來是要作元帥」
[00:00:08.080 --> 00:00:13.400]  這句說話是上帝說的
[00:00:13.400 --> 00:00:16.520]  「我來是要作你的元帥」
[00:00:16.520 --> 00:00:18.400]  「你們的元帥」
[00:00:18.400 --> 00:00:20.160]  神是否你的元帥呢?
[00:00:20.160 --> 00:00:23.600]  還是我們以神做我們的一師
[00:00:23.600 --> 00:00:25.280]  做我們的跟班
[00:00:25.280 --> 00:00:27.080]  我叫祂,點祂做事
[00:00:27.080 --> 00:00:31.280]  大神說「我來到你那裡是要作元帥」
[00:00:31.280 --> 00:00:32.240]  大家留意
[00:00:32.240 --> 00:00:35.560]  《約書記》第五章第十三節
[00:00:35.560 --> 00:00:38.640]  「約書亞靠近耶利哥的時候
[00:00:38.640 --> 00:00:40.800]  舉目觀看不料
[00:00:40.800 --> 00:00:41.760]  第一點
[00:00:41.760 --> 00:00:44.800]  有一個人手裡有拔出來的刀
[00:00:44.800 --> 00:00:46.800]  對面站立
[00:00:46.800 --> 00:00:48.400]  約書亞到他那裡
[00:00:48.400 --> 00:00:49.640]  問他說
[00:00:49.640 --> 00:00:51.560]  你是幫助我們呢?
[00:00:51.560 --> 00:00:53.600]  是幫助我們敵人呢?
[00:00:53.600 --> 00:00:54.400]  問號」
[00:00:54.400 --> 00:00:56.160]  多有趣
[00:00:56.160 --> 00:01:01.800]  約書亞會問這樣的問題
[00:01:01.800 --> 00:01:04.600]  你是幫我們還是幫我們敵人呢?
[00:01:04.600 --> 00:01:08.120]  讓我想起當年我們小時候
[00:01:08.120 --> 00:01:12.720]  幾十年前看我們香港的粵語殘片
[00:01:12.720 --> 00:01:16.360]  曹達華多數是做探長的
[00:01:16.360 --> 00:01:19.160]  石堅多數是做奸人做賊的
[00:01:19.160 --> 00:01:21.520]  我記得一幕很清楚
[00:01:21.520 --> 00:01:24.760]  就是曹達華探長問石堅
[00:01:24.760 --> 00:01:28.040]  究竟你是忠還是奸呢?
[00:01:28.040 --> 00:01:29.360]  是差不多的語氣
[00:01:29.360 --> 00:01:31.320]  你是忠還是奸呢?
[00:01:31.320 --> 00:01:32.440]  多有趣
[00:01:32.440 --> 00:01:35.520]  探長會問賊你是忠還是奸呢?
[00:01:35.520 --> 00:01:37.120]  你不是忠還是奸呢?
[00:01:37.120 --> 00:01:38.320]  他會回答你
[00:01:38.320 --> 00:01:42.720]  你是幫助我們還是幫助我們敵人呢?
[00:01:42.720 --> 00:01:44.480]  多有趣
[00:01:44.480 --> 00:01:46.320]  有原因的
[00:01:46.320 --> 00:01:48.960]  「約書亞靠近耶利哥的時候
[00:01:48.960 --> 00:01:50.400]  舉目觀看」
[00:01:50.400 --> 00:01:52.160]  其實這是說什麼呢?
[00:01:52.160 --> 00:01:55.600]  就是他們預備要進攻耶利哥
[00:01:55.600 --> 00:01:58.600]  奪取第一個迦南地的城
[00:01:58.600 --> 00:02:02.280]  在這個時候你作為元帥
[00:02:02.280 --> 00:02:04.080]  作為領軍的人
[00:02:04.080 --> 00:02:05.080]  那你要怎樣呢?
[00:02:05.080 --> 00:02:06.880]  當然是出去
[00:02:06.880 --> 00:02:08.320]  到處逛逛
[00:02:08.320 --> 00:02:11.360]  觀察一下耶利哥城
[00:02:11.360 --> 00:02:12.440]  去看看
[00:02:12.440 --> 00:02:15.360]  所以「靠近耶利哥的時候
[00:02:15.360 --> 00:02:17.040]  舉目觀看」
[00:02:17.040 --> 00:02:19.400]  看看耶利哥這個城
[00:02:19.400 --> 00:02:20.960]  是怎樣的城
[00:02:20.960 --> 00:02:23.240]  城牆估計有多厚
[00:02:23.240 --> 00:02:24.440]  能不能頂住
[00:02:24.440 --> 00:02:26.480]  有多少個城門
