
[00:00:00.000 --> 00:00:02.640]  我們先一起來祈禱
[00:00:02.640 --> 00:00:05.880]  加添我們感謝教會給我們自己的恩典
[00:00:05.880 --> 00:00:08.460]  給我們有生命氣息
[00:00:08.460 --> 00:00:12.320]  並且使我們有很多弟兄姊妹能夠認識祢
[00:00:12.320 --> 00:00:14.920]  使我們在主裡面成為一家人
[00:00:14.920 --> 00:00:17.480]  今天我們一同來敬拜祢的時候
[00:00:17.480 --> 00:00:19.240]  我們求聖靈幫助我們
[00:00:19.240 --> 00:00:23.000]  能夠明白主耶穌給我們的挑戰
[00:00:23.000 --> 00:00:27.000]  讓我們加添我們有力量來跟隨主
[00:00:27.000 --> 00:00:29.120]  奉耶穌基督的名祈禱
[00:00:29.120 --> 00:00:30.140]  阿門
[00:00:59.120 --> 00:01:00.120]  考試
[00:01:00.120 --> 00:01:01.640]  考試就結束了
[00:01:01.640 --> 00:01:02.920]  結束了這個階段
[00:01:02.920 --> 00:01:10.440]  主耶穌給使徒們的考試就同樣了
[00:01:10.440 --> 00:01:12.360]  可以說是第二階段的結束
[00:01:12.360 --> 00:01:16.600]  在今天經文八章二十七至二十九節
[00:01:16.600 --> 00:01:20.560]  就記錄了這一次的考試的過程
[00:01:20.560 --> 00:01:24.240]  主耶穌問了門徒兩個問題
[00:01:24.240 --> 00:01:27.520]  第二個問題就是最重要的
[00:01:28.200 --> 00:01:30.640]  「你們說,我是誰?」
[00:01:30.640 --> 00:01:35.840]  讓我們先看看未考試之前的兩段記載
[00:01:35.840 --> 00:01:39.960]  在八章十四至二十一節
[00:01:39.960 --> 00:01:42.960]  可能是由於在前一點的時候
[00:01:42.960 --> 00:01:47.840]  主耶穌剛剛被法利塞人要求他行神蹟
[00:01:47.840 --> 00:01:52.160]  來證明他是從上等而來
[00:01:52.160 --> 00:01:55.520]  他可能有些激氣、有些激動
[00:01:55.840 --> 00:01:58.880]  所以他吩咐使徒們
[00:01:58.880 --> 00:02:04.440]  要提防以法利塞人的教母和希律的教母
