
[00:00:00.000 --> 00:00:04.220]  提前請你留意,我是順序的說在撒姆爾記上的
[00:00:04.220 --> 00:00:06.540]  我沒有刻意跳了章節的
[00:00:06.540 --> 00:00:10.640]  我覺得今天的十三章和十四章是上帝先跟我說的話
[00:00:10.640 --> 00:00:12.140]  我覺得我的領袖很大
[00:00:12.140 --> 00:00:13.840]  所以我都去宣講
[00:00:13.840 --> 00:00:16.800]  這兩章的聖經是非常複雜的
[00:00:16.800 --> 00:00:21.640]  我們在說這兩章聖經的題目叫「德性不在乎人多」
[00:00:21.640 --> 00:00:24.340]  跟你隔壁提前說一聲「德性不在乎人多」
[00:00:25.800 --> 00:00:33.300]  這兩章聖經是你看到作者的文筆很簡潔
[00:00:33.300 --> 00:00:38.300]  將一個圖畫完全勾勒出來讓你看到
[00:00:38.300 --> 00:00:40.700]  究竟這場戰役發生了甚麼事情
[00:00:40.700 --> 00:00:44.100]  我們看到索羅王剛剛做皇第二年
[00:00:44.100 --> 00:00:46.000]  椅子都還沒坐穩
[00:00:46.000 --> 00:00:52.600]  他招募兵馬是三千個軍隊
[00:00:52.600 --> 00:00:56.500]  三千人,二千人跟他,一千人跟他兒子,他兒子叫約拿達
[00:00:56.500 --> 00:00:59.300]  他們最大的敵人就是菲利士人
[00:00:59.300 --> 00:01:01.800]  菲利士人直到大魏王朝都很厲害
[00:01:01.800 --> 00:01:06.500]  史詩記一直壓制以色列人到大魏王朝
[00:01:06.500 --> 00:01:08.200]  才完全可以解決這個問題
[00:01:08.200 --> 00:01:11.200]  到索羅門王朝才能夠平定
[00:01:11.200 --> 00:01:13.500]  我們看到在這場戰役裏面
[00:01:13.500 --> 00:01:16.100]  在十三章第五節聖經說
[00:01:16.100 --> 00:01:23.000]  菲利士人聚集要與以色列人爭戰,有車三萬輛
[00:01:23.000 --> 00:01:28.300]  戰車三萬輛,馬兵六千
[00:01:28.300 --> 00:01:30.400]  這個很誇張
[00:01:30.400 --> 00:01:32.300]  還有一個形容更加恐怖
[00:01:32.300 --> 00:01:36.300]  步兵好像海邊的沙一樣
