
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹們,新年好,謝謝大家給我這個機會來給你們拜年。
[00:00:06.000 --> 00:00:16.000]  好,那讓我們做一個禱告。
[00:00:16.000 --> 00:00:25.000]  親愛的天父,求你幫助我們聆聽你的話語,讓我們能夠活出來,奉耶穌的名禱告,Amen。
[00:00:27.000 --> 00:00:30.000]  好,今天我要講一個非常離奇的故事。
[00:00:30.000 --> 00:00:33.000]  今天我要講一個很離奇的故事。
[00:00:33.000 --> 00:00:40.000]  有一位富有的葡萄園主,他打算到國外去,所以他就要把他的葡萄園租出去。
[00:00:40.000 --> 00:00:50.000]  有一位很富有的葡萄園主,他準備出國了,所以他就準備將自己的葡萄園租出去。
[00:00:51.000 --> 00:01:05.000]  在出租之前,這個葡萄園主就好好地修整了園子,加裝了籬笆,挖了一座鴨酒池,還專門蓋了一座樓,爲的就是能讓租戶在這裏安心地工作。
[00:01:06.000 --> 00:01:26.000]  在租出去之前,這個葡萄園主就好好地修整了園子,加裝了籬笆,還專門蓋了一座鴨酒池,還專門蓋了一座樓,爲的就是能讓租戶在這裏安心地工作。
[00:01:26.000 --> 00:01:34.000]  到了葡萄收穫的季節,園主想要知道葡萄園的產量如何,他就派了三個僕人去。
[00:01:35.000 --> 00:01:40.000]  一個被石頭打死,一個被殺掉,只有一個人僥倖逃生了。
[00:01:40.000 --> 00:01:51.000]  到了收穫葡萄的季節,園主想要知道葡萄園的產量如何,他就派了三個僕人去。
[00:01:52.000 --> 00:02:17.000]  一個被石頭打死,一個被殺掉,只有一個人僥倖逃生了。
[00:02:18.000 --> 00:02:25.000]  到了收穫葡萄的季節,園主想要知道葡萄園的產量如何,他就派了三個僕人去。
[00:02:25.000 --> 00:02:32.000]  一個被石頭打死,一個被殺掉,只有一個人僥倖逃生了。
[00:02:33.000 --> 00:02:56.000]  到了收穫葡萄的季節,園主想要知道葡萄園的產量如何,他就派了三個僕人去。
