
[00:00:00.000 --> 00:00:03.640]  我們就開始今天的《查經》
[00:00:03.640 --> 00:00:09.180]  我先跟大家看一看那個分享
[00:00:09.180 --> 00:00:16.460]  我們曾經看過尼希米三次的關於他的禱告
[00:00:16.460 --> 00:00:20.260]  第一 尼希米雖然身居高位
[00:00:20.260 --> 00:00:25.200]  但是他沒有忘記自己故鄉的痛苦
[00:00:25.200 --> 00:00:29.900]  當他知道故鄉的朋友和同胞受著痛苦的時候
[00:00:29.900 --> 00:00:31.700]  他心裏面很難過
[00:00:31.700 --> 00:00:34.380]  於是他坐下哭泣 然後禁食
[00:00:34.380 --> 00:00:35.860]  向神禮去禱告
[00:00:35.860 --> 00:00:37.100]  然後在禱告裏面
[00:00:37.100 --> 00:00:40.180]  神和裘立比還在王的面前得到坑通
[00:00:40.180 --> 00:00:41.540]  很簡單的
[00:00:41.540 --> 00:00:44.240]  結果後來他仕酒的時候
[00:00:44.240 --> 00:00:46.240]  王看到他不開心 問他什麼事
[00:00:46.240 --> 00:00:47.140]  他就很害怕
[00:00:47.140 --> 00:00:48.900]  但是他也立刻在心裏面禱告
[00:00:48.900 --> 00:00:50.380]  然後求神幫助他
[00:00:50.380 --> 00:00:52.500]  於是他就向王申請
[00:00:52.500 --> 00:00:56.140]  希望回到自己的故鄉耶路撒冷裏面
[00:00:56.140 --> 00:00:58.940]  希望可以幫助子民重建城牆
[00:00:58.940 --> 00:01:00.280]  王批准了
[00:01:00.280 --> 00:01:03.100]  我們看第二次他們的禱告是什麼呢?
[00:01:03.100 --> 00:01:07.840]  就是當他一直為自己的同胞做事的時候
[00:01:07.840 --> 00:01:10.000]  但是周圍的敵人
[00:01:10.000 --> 00:01:11.940]  就是尼泰去騷擾他
[00:01:11.940 --> 00:01:12.980]  挖苦他
[00:01:12.980 --> 00:01:14.980]  要找人進去當中
[00:01:14.980 --> 00:01:18.540]  尼泰去做一些搞亂的工作
[00:01:18.540 --> 00:01:20.380]  尼希米就很生氣
[00:01:20.380 --> 00:01:22.680]  但是他沒有用行動去對付他們
[00:01:22.680 --> 00:01:24.780]  他將他的怒氣向神禮傾訴
[00:01:24.780 --> 00:01:27.040]  然後就助這些敵人
[00:01:27.040 --> 00:01:31.300]  願意他們所做的壞事全部歸回他們頭上
[00:01:31.300 --> 00:01:32.800]  我們就探討到
[00:01:32.800 --> 00:01:34.700]  原來我們很不開心的時候
[00:01:34.700 --> 00:01:37.980]  可不可以來咒罵一些人呢?
[00:01:37.980 --> 00:01:40.300]  原來我們不應該用行動去做的
[00:01:40.300 --> 00:01:42.580]  我們是和平理性和非暴力的
[00:01:42.580 --> 00:01:44.500]  但是我們可以將這個怒氣
[00:01:44.500 --> 00:01:46.500]  尼泰去向神傾訴
[00:01:46.500 --> 00:01:50.040]  以咒 尼泰去暴對方那種怨恨
[00:01:50.040 --> 00:01:51.540]  神是接納的
[00:01:51.540 --> 00:01:54.280]  但是神會按他自己的情況
[00:01:54.280 --> 00:01:55.500]  他自己的美意
[00:01:55.500 --> 00:01:58.000]  尼泰去做一些審判的工作
[00:01:58.000 --> 00:02:00.240]  好了 第三就是上一次我們所看的
[00:02:00.240 --> 00:02:01.900]  尼希米的第九章
[00:02:01.900 --> 00:02:04.580]  尼希米和神說
[00:02:04.580 --> 00:02:05.700]  你要祝福我
[00:02:05.700 --> 00:02:06.740]  那個祝福是什麼?
[00:02:06.740 --> 00:02:07.780]  很簡單一句而已
[00:02:07.780 --> 00:02:09.300]  因為我所做的
[00:02:09.300 --> 00:02:10.000]  你看到了
[00:02:10.000 --> 00:02:11.340]  你就要祝福我了
[00:02:11.340 --> 00:02:13.240]  原來尼希米非常好
[00:02:13.240 --> 00:02:14.940]  這個特區行政首長
[00:02:14.940 --> 00:02:16.980]  他做了12年的工作
[00:02:16.980 --> 00:02:18.340]  但是完全沒有收縫
[00:02:18.340 --> 00:02:20.380]  還會貼錢尼泰去工作
[00:02:20.380 --> 00:02:23.980]  他不會尼泰去以權謀私
[00:02:23.980 --> 00:02:25.740]  尼泰去置業
[00:02:25.740 --> 00:02:29.840]  免得自己尼泰去有利益衝突
[00:02:29.840 --> 00:02:32.380]  但是現在很多這些人
[00:02:32.380 --> 00:02:33.780]  完全不是這樣的
[00:02:33.780 --> 00:02:35.540]  所以你看到的時候
[00:02:35.540 --> 00:02:37.400]  剛剛如果你留意到
[00:02:37.400 --> 00:02:40.000]  俄羅斯的總統
[00:02:40.000 --> 00:02:41.300]  他兩個女兒
[00:02:41.300 --> 00:02:43.380]  原來管理著很多資產
[00:02:43.380 --> 00:02:44.500]  是他自己沒有
