
[00:00:00.000 --> 00:00:03.880]  各位弟兄姊妹 新年蒙恩
[00:00:03.880 --> 00:00:06.320]  我們感謝神可以在年初二的時候
[00:00:06.320 --> 00:00:08.820]  我們弟兄姊妹一起聚集在神的家中
[00:00:08.820 --> 00:00:12.320]  一起來敬拜 一起去感謝祂
[00:00:12.320 --> 00:00:17.200]  我們常常都提及上帝賜下豐富的恩典
[00:00:17.200 --> 00:00:19.840]  在新年的時候 我們常常都會祝福大家
[00:00:19.840 --> 00:00:22.880]  恩福滿滿 恩典常在
[00:00:22.880 --> 00:00:26.080]  而今天你見到在周刊上有一句說話
[00:00:26.080 --> 00:00:32.960]  在封面 叫做「主恩常在」
[00:00:32.960 --> 00:00:36.160]  最好的福氣是有主的恩惠
[00:00:36.160 --> 00:00:38.880]  主恩典常在我們生命中
[00:00:38.880 --> 00:00:41.600]  所以我都會想大家在開始的時候
[00:00:41.600 --> 00:00:44.240]  你都用這句說話去給一次祝福
[00:00:44.240 --> 00:00:47.640]  或者你覺得主恩常在太普遍
[00:00:47.640 --> 00:00:49.400]  你可以改一改它
[00:00:49.400 --> 00:00:55.640]  主恩滿在 主恩常伴隨
[00:00:55.640 --> 00:00:59.040]  主恩同在 大家給一次祝福
[00:00:59.040 --> 00:01:17.240]  在詩篇23篇 我們大家常常讀的詩篇
[00:01:17.240 --> 00:01:19.520]  大家都會記得 開始的時候就提到
[00:01:19.520 --> 00:01:24.560]  「耶和華是我的目者 我必不至於缺乏」
[00:01:24.560 --> 00:01:27.120]  去到第六節的時候就提到
[00:01:27.120 --> 00:01:32.600]  「我一生一世 必有恩惠慈愛隨著我」
[00:01:32.600 --> 00:01:38.600]  「我且要住在耶和華的殿中 直到永遠」
[00:01:38.600 --> 00:01:41.720]  今天我們在思想在神的殿中
[00:01:41.720 --> 00:01:44.720]  怎樣來與神同在
[00:01:44.720 --> 00:01:50.480]  剛剛前幾天 有弟兄送給我一張一份的對聯
[00:01:50.480 --> 00:01:52.480]  給大家看看
[00:01:54.560 --> 00:02:08.400]  「一生一世主殿中 恩惠慈愛永相隨」
[00:02:08.400 --> 00:02:12.000]  正正在說23篇裡面所提及的
[00:02:12.000 --> 00:02:16.240]  人能夠在神的裡面領受神
[00:02:16.240 --> 00:02:19.720]  永遠不改變的恩惠慈愛
[00:02:19.720 --> 00:02:21.040]  大家讀一次
[00:02:21.040 --> 00:02:27.400]  「一生一世主殿中 恩惠慈愛永相隨」
[00:02:27.400 --> 00:02:29.400]  願主賜福大家
[00:02:51.040 --> 00:02:52.080]  我們要敬拜
