
[00:00:00.000 --> 00:00:03.000]  這次大會給我一個題目就是
[00:00:03.000 --> 00:00:06.520]  信耶穌還有沒有自由可以用呢?
[00:00:06.520 --> 00:00:08.840]  不是我頂的,是你們頂的
[00:00:08.840 --> 00:00:10.680]  但是我覺得很好
[00:00:10.680 --> 00:00:12.600]  講這篇訊息的時候
[00:00:12.600 --> 00:00:14.200]  第一,我相信
[00:00:14.200 --> 00:00:17.200]  有哪些人是你在現在讀大學
[00:00:17.200 --> 00:00:20.340]  但是你的父母現在不是在英國
[00:00:20.340 --> 00:00:21.260]  我請你舉手
[00:00:21.260 --> 00:00:23.640]  好自由啊
[00:00:23.640 --> 00:00:25.080]  好了
[00:00:25.080 --> 00:00:29.040]  大部分都是住 campus 或者在附近
[00:00:29.040 --> 00:00:30.920]  就是跟父母住
[00:00:30.920 --> 00:00:33.440]  你想想,如果你讀中學的時候
[00:00:33.440 --> 00:00:36.240]  如果還在香港或者在不同的地方
[00:00:36.240 --> 00:00:37.800]  父母跟你住的時候
[00:00:37.800 --> 00:00:40.880]  那種監管性是嚴很多的
[00:00:40.880 --> 00:00:42.760]  我們是需要自由的
[00:00:42.760 --> 00:00:44.640]  我特別深感受
[00:00:44.640 --> 00:00:46.040]  因為為什麼呢?
[00:00:46.040 --> 00:00:50.320]  我是一個被家人很重視的人
[00:00:50.320 --> 00:00:52.280]  我試過拍桌子罵我媽媽
[00:00:52.280 --> 00:00:55.920]  你很不公平啊
[00:00:55.920 --> 00:00:57.200]  這麼偏心的
[00:00:57.200 --> 00:00:58.920]  只寫一個
[00:00:58.920 --> 00:01:00.720]  我幾個六兄弟姐妹
[00:01:00.720 --> 00:01:01.480]  我媽媽說不是
[00:01:01.480 --> 00:01:02.240]  我個個都寫
[00:01:02.240 --> 00:01:02.920]  我說不是啊
[00:01:02.920 --> 00:01:03.880]  你只是寫我
[00:01:03.880 --> 00:01:04.880]  太過分了
[00:01:04.880 --> 00:01:05.920]  這樣的時候
[00:01:05.920 --> 00:01:07.560]  因為我是大兒子
[00:01:07.560 --> 00:01:08.920]  是真的
[00:01:08.920 --> 00:01:12.000]  我讀書的時候
[00:01:12.000 --> 00:01:13.720]  是小學六年級
[00:01:13.720 --> 00:01:15.600]  仍然要大間學
[00:01:15.600 --> 00:01:17.280]  秋放學的
[00:01:17.280 --> 00:01:19.000]  那很痛苦的了
[00:01:19.000 --> 00:01:20.800]  不僅是這樣
[00:01:20.800 --> 00:01:22.720]  還有就是什麼呢?
[00:01:22.720 --> 00:01:23.880]  小息的時候
[00:01:23.880 --> 00:01:25.680]  譬如小學有兩個小息
[00:01:25.680 --> 00:01:27.680]  我現在第二個小息是長一點的
[00:01:27.680 --> 00:01:28.960]  那個小息
[00:01:28.960 --> 00:01:30.520]  我媽媽還會帶東西給我吃
[00:01:30.520 --> 00:01:31.480]  怕我肚子餓
[00:01:31.480 --> 00:01:33.560]  但是已經不讓我進去的了
[00:01:33.560 --> 00:01:35.280]  她就會在門口
[00:01:35.280 --> 00:01:36.480]  就是那些燒烤的
