
[00:00:00.000 --> 00:00:04.040]  讓我們在聆聽神的話語之前再次同心祈禱
[00:00:04.040 --> 00:00:10.200]  再次多謝你
[00:00:10.200 --> 00:00:14.920]  因為你向世人的要求
[00:00:14.920 --> 00:00:18.880]  特別是向一群熟悉你的人的要求
[00:00:18.880 --> 00:00:22.520]  你很清楚地讓我們知道毫無的隱藏
[00:00:22.520 --> 00:00:24.200]  透過你的話語
[00:00:24.200 --> 00:00:26.600]  時常地在我們的心裡面
[00:00:27.080 --> 00:00:30.160]  更加成為了我們的指示和力量
[00:00:30.160 --> 00:00:33.440]  讓我們所行所作來榮耀你
[00:00:33.440 --> 00:00:35.240]  也是見證你的能力
[00:00:35.240 --> 00:00:37.560]  也願僕人口中的言語
[00:00:37.560 --> 00:00:39.680]  領姊妹的心思意念
[00:00:39.680 --> 00:00:41.320]  蒙聖靈的啟迪
[00:00:41.320 --> 00:00:42.320]  蒙主的悅立
[00:00:42.320 --> 00:00:44.880]  禱告藉主耶穌基督的聖名而求
[00:00:44.880 --> 00:00:45.920]  阿門
[00:00:45.920 --> 00:00:53.920]  其中有一句話
[00:00:54.680 --> 00:00:58.640]  我們很容易在不同的場合聽到
[00:00:58.640 --> 00:01:00.000]  就是說
[00:01:00.000 --> 00:01:01.400]  今天有很多人
[00:01:01.400 --> 00:01:03.520]  是越來越不像樣
[00:01:03.520 --> 00:01:07.360]  譬如我們看看
[00:01:07.360 --> 00:01:12.720]  今天有很多人能夠進入讀大專
[00:01:12.720 --> 00:01:16.200]  但是到了大專的時候
[00:01:16.200 --> 00:01:19.760]  他們不一定很認真地讀書
[00:01:19.760 --> 00:01:22.080]  可能有很多同學
[00:01:22.080 --> 00:01:23.880]  就要去找兼職
[00:01:24.680 --> 00:01:27.200]  因為要換手機
[00:01:27.200 --> 00:01:28.800]  手機這麼貴
[00:01:28.800 --> 00:01:30.600]  所以他們就要兼職
[00:01:30.600 --> 00:01:32.960]  有些同學
[00:01:32.960 --> 00:01:36.520]  向政府來貸款交學費
[00:01:36.520 --> 00:01:38.320]  但是貸款之後
[00:01:38.320 --> 00:01:40.160]  又未必一定是交學費
[00:01:40.160 --> 00:01:43.400]  可能早一段時間
[00:01:43.400 --> 00:01:45.640]  就是用來炒股票
[00:01:45.640 --> 00:01:47.360]  炒股票之後
[00:01:47.360 --> 00:01:49.880]  成功不僅可以交學費
[00:01:49.880 --> 00:01:52.240]  還可以賺到很多的花費
[00:01:53.160 --> 00:01:55.400]  也有很多可能是
[00:01:55.400 --> 00:01:58.000]  他的兼職
[00:01:58.000 --> 00:01:59.560]  就是大專生
[00:01:59.560 --> 00:02:03.760]  他自己本來是兼職的工作
[00:02:03.760 --> 00:02:05.120]  就變成正職
[00:02:05.120 --> 00:02:06.720]  所以有些人就說
[00:02:06.720 --> 00:02:08.240]  現在的大專生
[00:02:08.240 --> 00:02:09.320]  大學生
[00:02:09.320 --> 00:02:10.640]  越來越不像樣了
