
[00:00:00.000 --> 00:00:02.000]  幸福快樂的人生
[00:00:02.000 --> 00:00:04.000]  是每個人都很嚮往
[00:00:04.000 --> 00:00:09.000]  但我們窮一生的力去追求
[00:00:09.000 --> 00:00:13.000]  不容易擁有
[00:00:13.000 --> 00:00:18.000]  擁有之後也不容易持續擁有
[00:00:18.000 --> 00:00:21.000]  甚至一個最基本問題就是
[00:00:21.000 --> 00:00:23.000]  什麼叫做幸福
[00:00:23.000 --> 00:00:26.000]  什麼叫做快樂呢
[00:00:26.000 --> 00:00:29.000]  這個經濟學人雜誌
[00:00:29.000 --> 00:00:33.000]  在幾年前做了一個很特別的封面專題
[00:00:33.000 --> 00:00:37.000]  什麼叫做U型曲線人生
[00:00:37.000 --> 00:00:44.000]  它就是透過英國的一些學術的研究數據的分析
[00:00:44.000 --> 00:00:48.000]  分析英國人的人生快樂
[00:00:48.000 --> 00:00:52.000]  是循著U型的曲線走勢
[00:00:52.000 --> 00:00:54.000]  一出生就很開心
[00:00:54.000 --> 00:00:56.000]  嬰兒期很開心
[00:00:56.000 --> 00:00:57.000]  小朋友開心
[00:00:57.000 --> 00:01:00.000]  但是你的快樂指數一直沉
[00:01:00.000 --> 00:01:01.000]  沉到谷底
[00:01:01.000 --> 00:01:03.000]  人到中年
[00:01:03.000 --> 00:01:05.000]  一直沉到谷底
[00:01:05.000 --> 00:01:07.000]  老了又會快一點
[00:01:07.000 --> 00:01:09.000]  老了又沒那麼多憂慮
[00:01:09.000 --> 00:01:12.000]  加上英國有很好的退休保障
[00:01:12.000 --> 00:01:14.000]  所以又會升高
[00:01:14.000 --> 00:01:18.000]  當我看這個封面專題的時候
[00:01:18.000 --> 00:01:20.000]  我就馬上去印證一下
[00:01:20.000 --> 00:01:24.000]  這條U型曲線在香港通不通呢
[00:01:24.000 --> 00:01:26.000]  我發覺不通
[00:01:26.000 --> 00:01:28.000]  香港人呢
[00:01:28.000 --> 00:01:31.000]  我們很小的時候
[00:01:31.000 --> 00:01:34.000]  我們入小學已經有很多壓力
[00:01:34.000 --> 00:01:37.000]  我們在小學生也有很多不開心
[00:01:37.000 --> 00:01:41.000]  升中一是自殺的高危期
[00:01:41.000 --> 00:01:43.000]  一直長大一直不開心
[00:01:43.000 --> 00:01:45.000]  比較相似的是
[00:01:45.000 --> 00:01:48.000]  人生的不快樂谷底真的人到中年
[00:01:48.000 --> 00:01:50.000]  如果根據英國調查
[00:01:50.000 --> 00:01:53.000]  當人去到四十六七歲
[00:01:53.000 --> 00:01:56.000]  肯定有些中啊
[00:01:56.000 --> 00:01:58.000]  是最不開心的
[00:01:58.000 --> 00:01:59.000]  為什麼
[00:01:59.000 --> 00:02:03.000]  因為有時子女開始進入青春反叛期
[00:02:03.000 --> 00:02:05.000]  入大學
[00:02:05.000 --> 00:02:07.000]  很多事跟你意見不合
[00:02:07.000 --> 00:02:08.000]  有些會離開你
[00:02:08.000 --> 00:02:10.000]  有些很多問題
[00:02:10.000 --> 00:02:13.000]  人到中年也看到自己的事業
[00:02:13.000 --> 00:02:16.000]  如果退到四十六七歲
[00:02:16.000 --> 00:02:19.000]  你都沒什麼得出的成就
[00:02:19.000 --> 00:02:21.000]  人生沒什麼突圍
[00:02:21.000 --> 00:02:24.000]  你知道你一生都差不多了
[00:02:24.000 --> 00:02:25.000]  差不多了
[00:02:25.000 --> 00:02:29.000]  於是很多事自己會抑壓住
[00:02:29.000 --> 00:02:30.000]  特別男人
[00:02:30.000 --> 00:02:33.000]  男人不開心就找個山洞躲起來
[00:02:33.000 --> 00:02:35.000]  於是我們這些動員的男人
[00:02:35.000 --> 00:02:40.000]  其實很多不開心的抑鬱就藏在心裡
[00:02:40.000 --> 00:02:42.000]  老了又如何
[00:02:42.000 --> 00:02:45.000]  英國有相當好的退休保障
[00:02:45.000 --> 00:02:47.000]  香港怎樣
[00:02:47.000 --> 00:02:49.000]  現在還在爭論全民退保
[00:02:49.000 --> 00:02:51.000]  出現很多事
[00:02:51.000 --> 00:02:56.000]  但可以看到香港真正安享晚年的
[00:02:56.000 --> 00:02:58.000]  其實都是少數
[00:02:58.000 --> 00:03:02.000]  很多老人家是獨居在劏房
[00:03:02.000 --> 00:03:05.000]  靠幾百元幾千元的綜援
[00:03:05.000 --> 00:03:07.000]  看定他開飯
[00:03:07.000 --> 00:03:11.000]  一個人孤孤單單就過一世
[00:03:11.000 --> 00:03:14.000]  人生是哪條U型曲線呢
[00:03:14.000 --> 00:03:17.000]  如果今天我派給大家一張白紙
[00:03:17.000 --> 00:03:18.000]  你可以回去畫
[00:03:18.000 --> 00:03:22.000]  你可能先畫一條平行線或直線
[00:03:22.000 --> 00:03:24.000]  然後在你的回憶當中想想
[00:03:24.000 --> 00:03:27.000]  你人生當中有多少高低起跌
[00:03:27.000 --> 00:03:29.000]  有多少悲歡離合
[00:03:29.000 --> 00:03:31.000]  有多少得失
[00:03:31.000 --> 00:03:34.000]  你畫一條線一路來看
[00:03:34.000 --> 00:03:36.000]  我相信一條不是U型的線
[00:03:36.000 --> 00:03:40.000]  會是一條較多高低起跌的線
[00:03:40.000 --> 00:03:43.000]  但我相信較多人
[00:03:43.000 --> 00:03:45.000]  現實來說
[00:03:45.000 --> 00:03:48.000]  是較多在平均線之下
[00:03:48.000 --> 00:03:49.000]  你不開心
[00:03:49.000 --> 00:03:50.000]  你覺得失意
[00:03:50.000 --> 00:03:53.000]  人生在世不稱意的時間
[00:03:53.000 --> 00:03:55.000]  是多於在上面
[00:03:55.000 --> 00:03:59.000]  這就是香港幾典型的曲線
[00:03:59.000 --> 00:04:03.000]  不過對基圖我會多個挑戰
[00:04:03.000 --> 00:04:05.000]  你嘗試畫多一條線
[00:04:05.000 --> 00:04:07.000]  你屬靈的走勢
[00:04:07.000 --> 00:04:09.000]  你屬靈的生命
