
[00:00:00.000 --> 00:00:13.000]  在馬來西亞進行了二十多年,不知道你們聽得懂我講的道理有多少呢?
[00:00:13.000 --> 00:00:28.000]  在這麼多年裏面,我都嘗試去做一個功課,就是將聖經本身裏面的教導清楚地教導,將聖經裏面的教導清楚地講出來。
[00:00:28.000 --> 00:00:44.000]  亦都嘗試將聖經裏面很多我們誤解的經文去嘗試去澄清,想和我們弄清楚真理是什麼。
[00:00:44.000 --> 00:00:57.000]  但是這個世界裏面,我的確不斷受到這個挑戰,因為當我們去對一些聖經的認識的時候,很多時候都順我們自己個人的意見去了解。
[00:00:57.000 --> 00:01:01.000]  當我們去看聖經的時候,經常可能按照自己的意思去理解。
[00:01:01.000 --> 00:01:04.000]  沒有透過聖經本身要告訴我們什麼?
[00:01:04.000 --> 00:01:08.000]  沒有,透過聖經本身要講我們知道什麼。
[00:01:08.000 --> 00:01:16.000]  基礎不幹的其中一句聖經,最基本的,有一句聖經,就在約翰福音三章十六節。
[00:01:16.000 --> 00:01:17.000]  三章十六節。
[00:01:17.000 --> 00:01:18.000]  有沒有人懂得背?
[00:01:18.000 --> 00:01:19.000]  你懂得背嗎?
[00:01:19.000 --> 00:01:21.000]  懂得背,我們一起背,好不好?
[00:01:21.000 --> 00:01:22.000]  我們一同來背好不好?
[00:01:22.000 --> 00:01:23.000]  我們一同來背。
[00:01:23.000 --> 00:01:36.000]  神愛西人,甚至將他的獨生子賜給他,叫一切信他的,不知滅亡,凡得永生。
[00:01:36.000 --> 00:01:39.000]  我想做基督沒有一個人不懂得這句聖經。
[00:01:39.000 --> 00:01:42.000]  最多可能沒有人不懂得這句聖經。
[00:01:42.000 --> 00:01:44.000]  你不懂得講的話,你都一定聽過。
[00:01:44.000 --> 00:01:48.000]  你其實不知道怎麼講,你聽說過。
[00:01:48.000 --> 00:01:53.000]  不過,很多時候我們對一些那麼史熟能詳的經文,我們是很容易有偏差的。
[00:01:53.000 --> 00:01:56.000]  教會的經文可能都會產生偏差。
[00:01:56.000 --> 00:02:05.000]  通常我們讀一段聖經,可以說每一個信耶穌的人,都了解到神愛西人。
[00:02:05.000 --> 00:02:07.000]  都了解到神愛西人。
[00:02:07.000 --> 00:02:10.000]  於是將他的獨生子賜給我們。
[00:02:10.000 --> 00:02:12.000]  於是將他的獨生子賜給我們。
[00:02:12.000 --> 00:02:14.000]  因為我們每個人都知道。
[00:02:14.000 --> 00:02:15.000]  這個每個人都知道。
[00:02:15.000 --> 00:02:18.000]  但卻是在一個那麼簡單的經文裏面。
[00:02:18.000 --> 00:02:20.000]  在這麼簡單的經文裏面。
[00:02:20.000 --> 00:02:26.000]  卻是發展出很多不同類而非聖經原意的教義產生出來。
[00:02:26.000 --> 00:02:32.000]  就產生很多非聖經原意的教義出來。
[00:02:32.000 --> 00:02:33.000]  就在這段聖經裏面。
[00:02:33.000 --> 00:02:38.000]  很多時候我們對神愛西人這句話,已經有一些誤解在當中。
[00:02:38.000 --> 00:02:43.000]  神愛西人這句話就有很多誤解產生。
[00:02:43.000 --> 00:02:47.000]  很多時候我們認為神愛我們愛得很深。
[00:02:47.000 --> 00:02:51.000]  愛到一個地步是什麼呢?
[00:02:51.000 --> 00:02:52.000]  愛到一個地步是什麼呢?
[00:02:52.000 --> 00:02:55.000]  就算我們怎樣不忠不義都好。
[00:02:55.000 --> 00:03:00.000]  上帝都不能夠不愛我們。
[00:03:00.000 --> 00:03:02.000]  上帝都不能夠不愛我們。
[00:03:02.000 --> 00:03:04.000]  於是怎麼樣呢?
[00:03:04.000 --> 00:03:07.000]  就算我們怎樣拒絕神都好。
[00:03:07.000 --> 00:03:09.000]  反叛神都好。
[00:03:09.000 --> 00:03:13.000]  神都對我們是很有愛的。
[00:03:13.000 --> 00:03:15.000]  祂不救我們,祂不行啊,上帝。
[00:03:15.000 --> 00:03:17.000]  祂不救我們,祂就不行。
[00:03:17.000 --> 00:03:21.000]  甚至有人反映出,上帝的屬性是愛我們愛到一個地步。
[00:03:21.000 --> 00:03:24.000]  如果我們不備受愛呢,上帝是過不到日子的。
[00:03:24.000 --> 00:03:34.000]  就是說,甚至到這種程度,如果說上帝不愛我們,祂就沒法過日子。
[00:03:34.000 --> 00:03:37.000]  上帝是不是癡了線呢?
[00:03:37.000 --> 00:03:39.000]  上帝是不是發神經呢?
[00:03:39.000 --> 00:03:41.000]  祂是不是單戀狂呢?
[00:03:41.000 --> 00:03:43.000]  是不是單戀狂呢?
[00:03:43.000 --> 00:03:47.000]  祂是不是真的要愛我們,我們不讓祂愛我們,
[00:03:47.000 --> 00:03:49.000]  祂都要繼續這樣愛我們。
[00:03:49.000 --> 00:03:52.000]  祂愛我們,我們不要祂愛,祂還愛我們。
[00:03:52.000 --> 00:03:55.000]  所以就愛到連耶穌都死在十字架上面了。
[00:03:55.000 --> 00:03:58.000]  是不是愛到連耶穌都要死在十字架上面了?
[00:03:58.000 --> 00:04:03.000]  耶穌好像那些痴戀的怨男怨女。
[00:04:03.000 --> 00:04:07.000]  耶穌好像那些痴戀的怨男怨女。
[00:04:07.000 --> 00:04:10.000]  非君不嫁。
[00:04:10.000 --> 00:04:12.000]  非君不嫁。
[00:04:12.000 --> 00:04:14.000]  非恥女子不娶。
[00:04:14.000 --> 00:04:16.000]  非恥女不娶。
[00:04:16.000 --> 00:04:18.000]  是不是要到這樣的地步呢?
[00:04:18.000 --> 00:04:23.000]  娶不到的,嫁不到的,上帝就要自殺。
[00:04:23.000 --> 00:04:25.000]  上帝就要自殺了。
