
[00:00:00.000 --> 00:00:04.100]  弟兄姊妹平安 今日是社關主日
[00:00:04.100 --> 00:00:07.600]  所以要講社關的訊息
[00:00:07.600 --> 00:00:10.100]  一段是大家很熟悉的經文
[00:00:10.100 --> 00:00:12.500]  但我盼望透過這段經文
[00:00:12.500 --> 00:00:22.800]  我們一起思想關於教會如何參與在社區關懷的工作當中
[00:00:22.800 --> 00:00:25.700]  弟兄姊妹 我們無法避免一件事
[00:00:25.700 --> 00:00:30.000]  就是教會自身在社區裏面
[00:00:30.000 --> 00:00:35.400]  無論我們教會從以前在土瓜人道到高山道的龍華閣
[00:00:35.400 --> 00:00:37.800]  再到現在在榮光街
[00:00:37.800 --> 00:00:40.900]  我們都自身在社區裏面
[00:00:40.900 --> 00:00:44.500]  所以我們無法避免去回應
[00:00:44.500 --> 00:00:49.400]  甚至我們拒絕去回應這個社區裏面的需要
[00:00:49.400 --> 00:00:52.100]  特別是現在的社會
[00:00:52.100 --> 00:00:55.600]  雖然物質好像比以前豐富了
[00:00:55.600 --> 00:01:00.000]  但人與人之間卻越來越疏離
[00:01:00.000 --> 00:01:03.800]  我們回到教會 旁邊的人坐得近一點
[00:01:03.800 --> 00:01:09.500]  我們都覺得好像要給自己一些空位
[00:01:09.500 --> 00:01:13.900]  總之保持一點距離會舒服一點
[00:01:13.900 --> 00:01:17.700]  那邊可能很有感覺 因為他們保持了距離
[00:01:17.700 --> 00:01:19.800]  所以我們人與人之間越來越疏離
[00:01:19.800 --> 00:01:23.300]  特別是我們每天擦肩而過
[00:01:23.300 --> 00:01:25.900]  但我們也不太知道身邊的人
[00:01:25.900 --> 00:01:29.300]  可能他們只是承受著很多的困難
[00:01:29.300 --> 00:01:36.000]  可能他們承受著患病 失業 家庭破裂
[00:01:36.000 --> 00:01:38.800]  情緒的困擾 或者是獨居
[00:01:38.800 --> 00:01:45.000]  他們很孤單 甚至他們對人生都已經失去了盼望
[00:01:45.000 --> 00:01:48.800]  所以就算現在的世代
[00:01:48.800 --> 00:01:51.000]  我們現在的資訊很發達
[00:01:51.000 --> 00:01:54.400]  我們能夠很方便去聯絡
[00:01:54.400 --> 00:02:01.200]  但我們卻面對著人與人之間越來越疏離的狀況
[00:02:01.200 --> 00:02:04.700]  而教會的存在 我們不只是為了聚會
[00:02:04.700 --> 00:02:06.500]  可能很多頂尖會回來教會
[00:02:06.500 --> 00:02:12.000]  我們想著我們有個很好的地方 很舒服的一起去崇拜
[00:02:12.000 --> 00:02:14.800]  我們去敬拜 我們有團契
[00:02:14.800 --> 00:02:18.500]  我們有空可以去查經 有些聚會
[00:02:18.500 --> 00:02:22.500]  我們覺得這樣的教會就已經很足夠
[00:02:22.500 --> 00:02:26.500]  但今天教會的存在 我們不只是為了這些聚會
[00:02:26.500 --> 00:02:29.800]  我們更加是為了去見證基督
[00:02:29.800 --> 00:02:35.200]  而且社區關懷也不只是在教會的眾多事工裏
[00:02:35.200 --> 00:02:39.000]  去加多一項事工 或者加多一項活動
[00:02:39.000 --> 00:02:42.000]  而頂尖會當我們說我們要做社區關懷的時候
[00:02:42.000 --> 00:02:44.400]  我們是回應主耶穌的呼召
[00:02:44.400 --> 00:02:47.000]  我們要活出一個福音的生命
[00:02:47.000 --> 00:02:52.000]  我們真的讓這個社區 他們能夠明白什麼是福音
[00:02:52.000 --> 00:02:57.500]  他們感受到神的愛 也都經歷到神的憐憫
[00:02:57.500 --> 00:02:59.500]  頂尖會不知道過去一年
[00:02:59.500 --> 00:03:04.000]  你知不知道我們的社區發生了什麼事
[00:03:04.000 --> 00:03:09.000]  原來過去的這一年 連續兩年的6月11日
[00:03:09.000 --> 00:03:11.500]  在我們的社區都出現意外
[00:03:11.500 --> 00:03:17.500]  上年的6月11日 就在一個地盤裏面
[00:03:17.500 --> 00:03:21.000]  有一個男工在七米高的位置飛墮
[00:03:21.000 --> 00:03:23.500]  昏迷送院搶救
[00:03:23.500 --> 00:03:29.000]  在今年的6月11日 有的士撞到一個途人
[00:03:29.000 --> 00:03:32.500]  同樣在6月11日都有發生意外
[00:03:32.500 --> 00:03:35.500]  再早一些時間 如果你有印象
[00:03:35.500 --> 00:03:37.500]  我們在海參公園的時候
[00:03:37.500 --> 00:03:41.500]  我們很近的公園 裏面有人持刀傷人
[00:03:41.500 --> 00:03:44.500]  兩個男子血流滿地
[00:03:44.500 --> 00:03:47.500]  兇徒棄刀落海潛逃
[00:03:47.500 --> 00:03:51.500]  再在早一兩個星期
[00:03:51.500 --> 00:03:54.500]  我們附近有一間學校
[00:03:54.500 --> 00:03:57.500]  一個十歲的男學生
[00:03:57.500 --> 00:04:03.500]  他涉嫌用手襲擊了學校裏面四個教職員
[00:04:03.500 --> 00:04:09.500]  打電話聯絡他媽媽到場來處理他兒子
[00:04:09.500 --> 00:04:13.500]  可能要去看看他兒子的狀況
[00:04:13.500 --> 00:04:15.500]  誰知他媽媽來到他到場的時候
[00:04:15.500 --> 00:04:19.500]  他都很激動 結果他用腳踢自己的兒子
[00:04:19.500 --> 00:04:22.500]  結果兩母子都一起被捕
[00:04:22.500 --> 00:04:26.500]  然後再近一些 在早幾天
[00:04:26.500 --> 00:04:34.500]  隔了兩天 一個在土瓜灣益豐大廈
[00:04:34.500 --> 00:04:39.500]  有男子遺留遺書之後墮樓
[00:04:39.500 --> 00:04:42.500]  倒閉在街頭
