
[00:00:00.000 --> 00:00:05.920]  相信剛才透過之前我們一起在崇拜裡面唱的詩歌
[00:00:05.920 --> 00:00:07.440]  詩班的獻唱
[00:00:07.440 --> 00:00:12.240]  我們都能夠感受到聖誕的喜樂和歡欣
[00:00:12.240 --> 00:00:14.960]  今天的題目是
[00:00:14.960 --> 00:00:17.120]  「最美的禮物」
[00:00:17.120 --> 00:00:19.440]  聖誕節又到了
[00:00:19.440 --> 00:00:22.480]  是一個普天同慶的日子
[00:00:22.480 --> 00:00:24.800]  所以很多人都會選擇
[00:00:24.800 --> 00:00:29.080]  我要送一份聖誕禮物給自己重視的人
[00:00:29.080 --> 00:00:31.080]  包括自己
[00:00:31.080 --> 00:00:34.400]  我也買了一份禮物送給自己
[00:00:34.400 --> 00:00:36.520]  說起禮物
[00:00:36.520 --> 00:00:42.000]  很想和大家分享一條有關於禮物的短片
[00:00:42.000 --> 00:00:44.120]  這條短片的名字
[00:00:44.120 --> 00:00:46.120]  正正就是「禮物」
[00:00:46.120 --> 00:00:47.120]  The Present
[00:00:47.120 --> 00:00:50.720]  大家看到拿了很多獎
[00:00:50.720 --> 00:00:51.920]  2014年
[00:00:51.920 --> 00:00:54.320]  大家先看看這個片段
[00:00:54.320 --> 00:00:55.560]  謝謝
[00:00:59.080 --> 00:01:04.720]  (音樂)
[00:01:29.080 --> 00:01:37.880]  (電話鈴聲)
[00:01:37.880 --> 00:01:39.880]  (電話鈴聲)
[00:01:39.880 --> 00:01:42.880]  (電話鈴聲)
[00:01:42.880 --> 00:01:44.880]  (電話鈴聲)
[00:01:44.880 --> 00:01:46.880]  (電話鈴聲)
[00:01:46.880 --> 00:01:48.880]  (電話鈴聲)
[00:01:48.880 --> 00:01:50.880]  哇
[00:01:50.880 --> 00:01:52.880]  酷
[00:01:52.880 --> 00:01:59.880]  (狗叫聲)
[00:01:59.880 --> 00:02:01.880]  啊
[00:02:01.880 --> 00:02:03.880]  You got to be kidding me
[00:02:03.880 --> 00:02:05.880]  (電話鈴聲)
[00:02:05.880 --> 00:02:07.880]  (電話鈴聲)
[00:02:07.880 --> 00:02:09.880]  (狗叫聲)
[00:02:09.880 --> 00:02:11.880]  (狗叫聲)
[00:02:11.880 --> 00:02:13.880]  (狗叫聲)
[00:02:13.880 --> 00:02:15.880]  好 先到這裏
[00:02:15.880 --> 00:02:17.880]  我們暫時先看到這裏
[00:02:17.880 --> 00:02:19.880]  媽媽送一份禮物給兒子
[00:02:19.880 --> 00:02:21.880]  一定是在想
[00:02:21.880 --> 00:02:23.880]  收到這份禮物之後
[00:02:23.880 --> 00:02:25.880]  兒子一定會很開心
[00:02:25.880 --> 00:02:27.880]  他才會買 才會送
[00:02:27.880 --> 00:02:29.880]  本來收禮物
[00:02:29.880 --> 00:02:31.880]  應該是很開心的
[00:02:31.880 --> 00:02:33.880]  不過看來他的兒子
[00:02:33.880 --> 00:02:35.880]  似乎不太接受
[00:02:35.880 --> 00:02:37.880]  這份禮物
[00:02:37.880 --> 00:02:39.880]  這就是送禮物的難度
[00:02:39.880 --> 00:02:41.880]  因為
[00:02:41.880 --> 00:02:43.880]  你心目中認為
