
[00:00:00.000 --> 00:00:04.000]  頂尖妹,在聖經裏面很強調說了讓我們知道一樣東西
[00:00:04.000 --> 00:00:06.800]  就是聖經很強調講了讓我們知道就是
[00:00:06.800 --> 00:00:08.400]  世人都犯了罪
[00:00:08.400 --> 00:00:10.000]  世人都犯了罪
[00:00:10.000 --> 00:00:12.000]  每個人都一定有做過錯事的
[00:00:12.000 --> 00:00:13.600]  每個人都有做過錯事的
[00:00:13.600 --> 00:00:14.200]  罪
[00:00:14.200 --> 00:00:14.800]  罪
[00:00:14.800 --> 00:00:15.800]  和錯誤
[00:00:15.800 --> 00:00:16.600]  和錯誤
[00:00:16.600 --> 00:00:18.400]  可以是一個同義詞
[00:00:18.400 --> 00:00:20.000]  可以說是一個同義詞
[00:00:20.000 --> 00:00:21.400]  而這個標準
[00:00:21.400 --> 00:00:22.200]  這個標準
[00:00:22.200 --> 00:00:23.600]  不是你和我去定
[00:00:23.600 --> 00:00:24.600]  不是由你和我去定
[00:00:24.600 --> 00:00:26.600]  而是上主去定
[00:00:26.600 --> 00:00:27.600]  就是由上主去定
[00:00:27.600 --> 00:00:29.800]  當我們看到這一點的時候
[00:00:29.800 --> 00:00:31.000]  當我們看到這一點的時候
[00:00:31.000 --> 00:00:34.200]  你肯承認這個是神的主權的話
[00:00:34.200 --> 00:00:36.200]  承認這個是神的主權的時候
[00:00:36.200 --> 00:00:39.400]  那你才開始看到自己有什麼錯
[00:00:39.400 --> 00:00:41.000]  才看到自己有什麼錯
[00:00:41.000 --> 00:00:42.600]  而自己有什麼罪
[00:00:42.600 --> 00:00:44.200]  自己有什麼罪
[00:00:44.200 --> 00:00:46.000]  而當你看到自己有罪的時候
[00:00:46.000 --> 00:00:47.800]  當你看到自己有罪的時候
[00:00:47.800 --> 00:00:49.000]  怎麼解決好呢
[00:00:49.000 --> 00:00:51.200]  怎麼解決好呢
[00:00:51.200 --> 00:00:52.600]  感謝主
[00:00:52.600 --> 00:00:54.400]  為聖經裏面的神
[00:00:54.400 --> 00:00:56.200]  提供解決方法
[00:00:56.200 --> 00:00:57.800]  我們聖經的神
[00:00:57.800 --> 00:00:59.400]  提供了解決方法
[00:00:59.400 --> 00:01:00.600]  在舊約的時間
[00:01:00.600 --> 00:01:01.600]  在舊約的時間
[00:01:01.600 --> 00:01:03.000]  最嚴重的罪
[00:01:03.000 --> 00:01:04.000]  最嚴重的罪
[00:01:04.000 --> 00:01:05.000]  是殺人的罪
[00:01:05.000 --> 00:01:06.200]  那是殺人的罪
[00:01:06.200 --> 00:01:06.800]  當然了
[00:01:06.800 --> 00:01:08.600]  你說阿穆斯除了殺人之外
[00:01:08.600 --> 00:01:09.800]  還有沒有其他罪
[00:01:09.800 --> 00:01:11.200]  更重要的
[00:01:11.200 --> 00:01:11.800]  有
[00:01:11.800 --> 00:01:13.200]  你違背反逆
[00:01:13.200 --> 00:01:13.800]  背逆神
[00:01:13.800 --> 00:01:14.800]  都是一個很重要的罪
[00:01:14.800 --> 00:01:15.600]  就是說
[00:01:15.600 --> 00:01:17.000]  阿穆斯有沒有說
[00:01:17.000 --> 00:01:17.800]  除了殺人以外
[00:01:17.800 --> 00:01:19.200]  還有沒有更嚴重的罪
[00:01:19.200 --> 00:01:20.200]  在聖經裏面
[00:01:20.200 --> 00:01:20.800]  有
[00:01:20.800 --> 00:01:22.400]  當你背離聖經的時候
[00:01:22.400 --> 00:01:23.800]  但是在這個世界裏面
[00:01:23.800 --> 00:01:25.800]  殺人是最嚴重的罪
[00:01:25.800 --> 00:01:26.800]  在這個世界裏面
[00:01:26.800 --> 00:01:28.400]  殺人是最嚴重的罪
[00:01:28.400 --> 00:01:29.400]  是不是殺了人
[00:01:29.400 --> 00:01:30.200]  就殺無赦
[00:01:30.200 --> 00:01:31.400]  一定要去他還
[00:01:31.400 --> 00:01:32.400]  填命呢
[00:01:32.400 --> 00:01:33.400]  就殺了人
[00:01:33.400 --> 00:01:34.800]  是不是一定要殺無赦
