
[00:00:00.000 --> 00:00:02.000]  福守書第五章
[00:00:02.000 --> 00:00:04.000]  21到27節
[00:00:04.000 --> 00:00:06.000]  我讀請各位跟著看
[00:00:06.000 --> 00:00:08.000]  又當純敬畏基督的心
[00:00:08.000 --> 00:00:10.000]  彼此順服
[00:00:10.000 --> 00:00:12.000]  你們做妻子的 當順服自己的丈夫
[00:00:12.000 --> 00:00:14.000]  如同順服主
[00:00:14.000 --> 00:00:16.000]  因為丈夫是妻子的頭 如同基督是教會的頭
[00:00:16.000 --> 00:00:18.000]  他又是教會全體的救主
[00:00:18.000 --> 00:00:20.000]  教會怎樣順服基督
[00:00:20.000 --> 00:00:22.000]  妻子也要怎樣凡事順服丈夫
[00:00:22.000 --> 00:00:24.000]  你們做丈夫的
[00:00:24.000 --> 00:00:26.000]  要愛你們的妻子
[00:00:26.000 --> 00:00:28.000]  正如基督愛教會 為教會捨己
[00:00:28.000 --> 00:00:30.000]  要用水借著道 把教會洗淨成為聖潔
[00:00:30.000 --> 00:00:32.000]  可以獻給自己
[00:00:32.000 --> 00:00:34.000]  做個榮耀的教會
[00:00:34.000 --> 00:00:36.000]  毫無玷污 皺紋等類的病
[00:00:36.000 --> 00:00:38.000]  乃是聖潔 沒有瑕疵的
[00:00:38.000 --> 00:00:40.000]  那
[00:00:40.000 --> 00:00:42.000]  我們就暫時讀到這一段
[00:00:42.000 --> 00:00:44.000]  我想這段聖經
[00:00:44.000 --> 00:00:46.000]  大家也都很熟
[00:00:46.000 --> 00:00:48.000]  最常講到這段聖經的時候
[00:00:48.000 --> 00:00:50.000]  大概就是正婚的時候
[00:00:50.000 --> 00:00:52.000]  因為講到夫妻的關係
[00:00:52.000 --> 00:00:54.000]  那就講到丈夫要愛妻子
[00:00:54.000 --> 00:00:56.000]  順服丈夫
[00:00:56.000 --> 00:00:58.000]  要像基督愛教會
[00:00:58.000 --> 00:01:00.000]  教會順服基督一樣
[00:01:00.000 --> 00:01:02.000]  所以這段聖經
[00:01:02.000 --> 00:01:04.000]  其實從夫妻的關係
[00:01:04.000 --> 00:01:06.000]  應該是說
[00:01:06.000 --> 00:01:08.000]  人跟人之間
[00:01:08.000 --> 00:01:10.000]  是有選擇
[00:01:10.000 --> 00:01:12.000]  而是最親密的關係
[00:01:12.000 --> 00:01:14.000]  我跟我太太結婚的時候
[00:01:14.000 --> 00:01:16.000]  我們就想到一樣事情
[00:01:16.000 --> 00:01:18.000]  我們期望會有孩子
[00:01:18.000 --> 00:01:20.000]  我們會很疼我們的孩子
[00:01:20.000 --> 00:01:22.000]  很多的夫妻
[00:01:22.000 --> 00:01:24.000]  結婚以後有了孩子
[00:01:24.000 --> 00:01:26.000]  關係就會有點微妙
[00:01:26.000 --> 00:01:28.000]  因為做媽媽的更疼兒女
[00:01:28.000 --> 00:01:30.000]  有時候好像
[00:01:30.000 --> 00:01:32.000]  對丈夫的心就分了一點
[00:01:32.000 --> 00:01:34.000]  丈夫會有點吃醋
[00:01:34.000 --> 00:01:36.000]  這個是另外一個故事
[00:01:36.000 --> 00:01:38.000]  但是從一個事實來看
[00:01:38.000 --> 00:01:40.000]  兒女跟我們在一起
[00:01:40.000 --> 00:01:42.000]  二三十年他們就成家了
[00:01:42.000 --> 00:01:44.000]  當然現在這個
[00:01:44.000 --> 00:01:46.000]  啃老竹就不好說了
[00:01:46.000 --> 00:01:48.000]  但是正常的情況
[00:01:48.000 --> 00:01:50.000]  到一個時候他們就成家了
[00:01:50.000 --> 00:01:52.000]  我們也期望他們成家
