
[00:00:00.000 --> 00:00:02.200]  各位大兄姊妹平安
[00:00:02.200 --> 00:00:06.840]  很感恩可以再次回到大堂分享訊息
[00:00:06.840 --> 00:00:09.640]  我其實有一個弟弟
[00:00:09.640 --> 00:00:13.560]  我也是一個頗疼弟弟的姐姐
[00:00:13.560 --> 00:00:17.760]  我記起以前生日買禮物給他的時候
[00:00:17.760 --> 00:00:20.600]  我會拿很大部份我的零用錢
[00:00:20.600 --> 00:00:23.240]  去買一輛很漂亮的車給我弟弟
[00:00:23.240 --> 00:00:24.840]  不是說真的那些車
[00:00:24.840 --> 00:00:26.360]  即是玩具車
[00:00:26.360 --> 00:00:30.200]  價值大概是二百五十元左右
[00:00:30.200 --> 00:00:32.280]  而大家又想不想猜一下
[00:00:32.280 --> 00:00:36.560]  我弟弟小時候又買些什麼給我呢
[00:00:36.560 --> 00:00:38.480]  其實我弟弟現在也很好
[00:00:38.480 --> 00:00:40.480]  我不是說他不好
[00:00:40.480 --> 00:00:42.520]  他就會在他的錢包裡
[00:00:42.520 --> 00:00:45.920]  拿一個五元的硬幣給我
[00:00:45.920 --> 00:00:47.040]  沒有多沒有少
[00:00:47.040 --> 00:00:51.200]  是他小時候給我的心意
[00:00:51.200 --> 00:00:55.240]  其實今天我們在看聖經的故事裡面
[00:00:55.240 --> 00:00:59.480]  我們也會看到一個姐姐和弟弟的關係
[00:00:59.480 --> 00:01:01.320]  還有哥哥
[00:01:01.320 --> 00:01:04.400]  其實姐姐和哥哥也很疼弟弟
[00:01:04.400 --> 00:01:06.280]  但是今天相信大家看到
[00:01:06.280 --> 00:01:08.160]  提到的題目的時候
[00:01:08.160 --> 00:01:12.320]  也會看到當中有一些比較和疾度
[00:01:12.320 --> 00:01:14.560]  就讓我們透過今天的經文
[00:01:14.560 --> 00:01:16.240]  文述記十二章
[00:01:16.240 --> 00:01:17.480]  這個故事裡面
[00:01:17.480 --> 00:01:20.360]  我們有一些的亮光和學習
[00:01:20.360 --> 00:01:24.600]  讓我們一起同心吐槁
[00:01:24.600 --> 00:01:26.600]  親愛的天父
[00:01:26.600 --> 00:01:29.600]  感謝你創造我們每一個
[00:01:29.600 --> 00:01:33.760]  你也讓我們能夠成為兄弟姐妹
[00:01:33.760 --> 00:01:35.520]  成為弟兄姐妹
[00:01:35.520 --> 00:01:37.480]  我們可以在這份的
[00:01:37.480 --> 00:01:40.160]  無論是有血緣或者沒有血緣的關係
[00:01:40.160 --> 00:01:43.440]  的家庭關係裡面有很多的學習
[00:01:43.440 --> 00:01:45.880]  並且可以在這個關係裡面
