
[00:00:00.000 --> 00:00:03.040]  今天要和大家分享一個題目
[00:00:03.040 --> 00:00:08.160]  「聖潔自守,遠避淫行」
[00:00:08.160 --> 00:00:11.560]  聖潔當然是一個很闊的層面
[00:00:11.560 --> 00:00:14.040]  我們很多方面都需要學習聖潔
[00:00:14.040 --> 00:00:17.560]  但今日這段經文特別是講
[00:00:17.560 --> 00:00:22.960]  有關聖方面的倫理
[00:00:22.960 --> 00:00:29.240]  在中世紀的時候有一個這樣的觀念
[00:00:29.240 --> 00:00:33.440]  我們說是七宗罪
[00:00:33.440 --> 00:00:37.200]  或者叫做七種致死的罪
[00:00:37.200 --> 00:00:40.480]  包括甚麼呢
[00:00:40.480 --> 00:00:43.920]  有驕傲、嫉妒、憤怒、懶惰
[00:00:43.920 --> 00:00:46.360]  貪欲、暴食、色慾
[00:00:46.360 --> 00:00:47.960]  可能弟兄姊妹都會問
[00:00:47.960 --> 00:00:50.040]  原來懶惰也是
[00:00:50.040 --> 00:00:51.480]  或者叫做怠惰
[00:00:51.480 --> 00:00:53.240]  我們看看色慾
[00:00:53.240 --> 00:00:54.280]  色慾是甚麼意思
[00:00:54.280 --> 00:01:05.000]  色慾是一種沉溺於肉體的情慾
[00:01:05.000 --> 00:01:08.520]  羅馬一位主教桂格里
[00:01:08.520 --> 00:01:11.640]  曾經說到這七宗罪
[00:01:11.640 --> 00:01:13.440]  之所以為基本的罪
[00:01:13.440 --> 00:01:18.560]  是因為它會有驚人的繁殖能力
[00:01:18.560 --> 00:01:21.480]  能夠生出更加嚴重的罪
[00:01:21.480 --> 00:01:23.920]  所以是重罪之首
[00:01:23.920 --> 00:01:28.920]  色慾就是對對方
[00:01:28.920 --> 00:01:32.760]  是看為一個物體來的
[00:01:32.760 --> 00:01:35.120]  一件東西來的
[00:01:35.120 --> 00:01:37.760]  而不是一個有尊嚴的人
[00:01:37.760 --> 00:01:40.160]  好色是不貞潔的罪
[00:01:40.160 --> 00:01:44.800]  是不加思索去追逐肉身器官的滿足
[00:01:44.800 --> 00:01:49.080]  好色是七宗罪當中最隱藏的
[00:01:49.080 --> 00:01:50.960]  是最沒有人知道的
[00:01:50.960 --> 00:01:55.240]  是因為它隱蔽
[00:01:55.240 --> 00:01:56.520]  即是隱藏
[00:01:56.520 --> 00:02:04.200]  導致這一種的慾念變得更加猖獗
[00:02:04.200 --> 00:02:06.840]  這個家計會每五年
[00:02:06.840 --> 00:02:11.320]  就會做一個青少年與性的研究
[00:02:11.320 --> 00:02:14.080]  2016年這個報告指出
[00:02:14.080 --> 00:02:18.480]  33%的中學女生
[00:02:18.480 --> 00:02:23.040]  和59%的男生有觀看色情物品
[00:02:23.040 --> 00:02:26.400]  更令我們憂慮的是
[00:02:26.400 --> 00:02:30.840]  其中五分一的觀看色情物品的男生
[00:02:30.840 --> 00:02:32.440]  在過去一個月裏面
[00:02:32.440 --> 00:02:35.640]  曾經觀看15次或以上
[00:02:35.640 --> 00:02:41.640]  它的次數 頻密度都是相當大的
[00:02:41.640 --> 00:02:45.120]  在整體的受訪青少年的裏面
[00:02:45.120 --> 00:02:50.800]  約莫有15%至20%的女生和約莫是30%的男生
[00:02:50.800 --> 00:02:53.960]  曾經接收手機裏面的色情訊息
[00:02:53.960 --> 00:02:55.320]  今天我們拿著手機
[00:02:55.320 --> 00:02:59.320]  無論細蚊仔去到大人
[00:02:59.320 --> 00:03:04.160]  手機裏面你想要看甚麼訊息都有
[00:03:04.160 --> 00:03:06.320]  全球的訊息
[00:03:06.320 --> 00:03:09.880]  多麼精彩的訊息都有
[00:03:09.880 --> 00:03:12.120]  這些色情的資訊
[00:03:12.120 --> 00:03:16.840]  包括文字 圖片和影片
[00:03:16.840 --> 00:03:18.880]  在我年輕的時候
[00:03:18.880 --> 00:03:21.320]  有機會在母親的抉擇
[00:03:21.320 --> 00:03:23.960]  做一個月的義工
[00:03:23.960 --> 00:03:31.160]  當然我當時住在半山區的波露道
[00:03:31.160 --> 00:03:35.920]  母親的抉擇的總辦公室
[00:03:35.920 --> 00:03:37.760]  那個地方就在波露道
[00:03:37.760 --> 00:03:40.080]  我是住在波露道的宿舍
[00:03:40.080 --> 00:03:42.760]  和一群未婚的少女
[00:03:42.760 --> 00:03:46.360]  懷孕的少女一起住
[00:03:46.360 --> 00:03:47.800]  關心他們
[00:03:47.800 --> 00:03:51.600]  細聽他們懷孕的一些故事
[00:03:51.600 --> 00:03:56.600]  另外一些時間會照顧一些被遺棄的
[00:03:56.600 --> 00:03:59.640]  色蚊仔 嬰兒
[00:03:59.640 --> 00:04:00.800]  嬰兒 嬰女
[00:04:00.800 --> 00:04:04.480]  這些嬰兒真的非常可愛
[00:04:04.480 --> 00:04:08.080]  原來在香港每一年有數以千計的少女
[00:04:08.080 --> 00:04:11.240]  是面對意外的懷孕的困境
[00:04:11.240 --> 00:04:13.600]  有上千名的新嬰仔
[00:04:13.600 --> 00:04:19.640]  是等待寄養或者是領養的家庭
[00:04:19.640 --> 00:04:21.560]  今天我們要看的一段經文是
[00:04:21.560 --> 00:04:25.880]  《瑟雷加前書》四章一至八節
[00:04:25.880 --> 00:04:29.240]  讓我們一起讀出
[00:04:29.240 --> 00:04:32.160]  弟兄們 我還有話說
[00:04:32.160 --> 00:04:35.320]  我們在主耶穌裡求你們
[00:04:35.320 --> 00:04:36.800]  勸勉你們
[00:04:36.800 --> 00:04:39.800]  你們既然接受我們的教誨
[00:04:39.800 --> 00:04:42.960]  知道應該怎樣行事為人
[00:04:42.960 --> 00:04:45.280]  怎樣討神喜歡
[00:04:45.280 --> 00:04:49.560]  正如你們現在也是這樣行事為人
[00:04:49.560 --> 00:04:53.080]  我勸你們還要更進一步
[00:04:53.080 --> 00:04:54.040]  事實上
[00:04:54.040 --> 00:04:58.160]  我們靠著主耶穌傳給你們什麼命令
[00:04:58.160 --> 00:05:00.120]  你們是知道的
[00:05:00.120 --> 00:05:03.920]  其實 神的旨意是要你們聖潔
[00:05:03.920 --> 00:05:06.160]  要你們避開淫亂
[00:05:06.160 --> 00:05:10.280]  要你們各人懂得控制自己的身體
[00:05:10.280 --> 00:05:12.960]  保持聖潔和尊貴
[00:05:12.960 --> 00:05:15.520]  不放縱邪情私欲
[00:05:15.520 --> 00:05:19.240]  像那些不認識神的外族人一樣
[00:05:19.240 --> 00:05:22.200]  人不可在這世上越軌
[00:05:22.200 --> 00:05:24.600]  佔自己弟兄便宜
[00:05:24.600 --> 00:05:28.240]  因為正如我們從前告訴過你們
[00:05:28.240 --> 00:05:31.200]  又鄭重地勸戒過你們
[00:05:31.200 --> 00:05:33.160]  凡是這等事情
[00:05:33.160 --> 00:05:35.840]  主必定施以刑罰
[00:05:35.840 --> 00:05:38.480]  再者 神呼召我們
[00:05:38.480 --> 00:05:41.280]  不是要我們顛掩污濟
[00:05:41.280 --> 00:05:43.520]  而是要我們聖潔
[00:05:43.520 --> 00:05:46.280]  所以那拒絕者命令的
[00:05:46.280 --> 00:05:47.840]  不是拒絕人
[00:05:47.840 --> 00:05:53.640]  而是拒絕那位把自己的聖靈賜給你們的神
[00:05:53.640 --> 00:05:55.480]  在第四章整段
[00:05:55.480 --> 00:06:00.800]  是以討神喜悅的生活思想開始
[00:06:00.800 --> 00:06:02.080]  怎樣討神喜悅呢?
[00:06:02.080 --> 00:06:06.080]  我相信在座每一位相信耶穌基督的人
[00:06:06.080 --> 00:06:10.880]  你都很願意來過討神喜悅的生活
[00:06:10.880 --> 00:06:15.000]  所以他就帶出了第三至八節
[00:06:15.000 --> 00:06:17.000]  「聖潔自守」
[00:06:17.000 --> 00:06:20.480]  這裏是特別講到「聖」方面
[00:06:20.480 --> 00:06:23.520]  然後第九至十二節就講到「弟兄相愛」
[00:06:23.520 --> 00:06:26.040]  下星期就會講這段經文
[00:06:26.040 --> 00:06:28.920]  作為剛剛相信耶穌的人來說
[00:06:28.920 --> 00:06:32.480]  他們是來自一個放縱邪情私慾
[00:06:32.480 --> 00:06:34.760]  不知道貞潔為何物的社會
[00:06:34.760 --> 00:06:39.440]  所以保羅首先就根據主耶穌的權柄
[00:06:39.440 --> 00:06:43.120]  來勸勉他們要「聖潔自守」
[00:06:43.120 --> 00:06:44.680]  「遠避淫行」
[00:06:44.680 --> 00:06:47.680]  特別在兩性的關係上
[00:06:47.680 --> 00:06:51.360]  我們會問「聖潔」是甚麼意思?
[00:06:51.360 --> 00:06:55.480]  「聖潔」就是分別出來屬於神
[00:06:55.480 --> 00:06:57.280]  為神所用
[00:06:57.280 --> 00:07:01.560]  今日你和我都是被神救贖
[00:07:01.560 --> 00:07:03.680]  祂分別了我們出來
[00:07:03.680 --> 00:07:06.040]  是屬於神的
[00:07:06.040 --> 00:07:09.360]  是為神所用的
[00:07:09.360 --> 00:07:11.360]  而這個也是我們基督徒
[00:07:11.360 --> 00:07:14.160]  作為一個生活的目標
[00:07:14.160 --> 00:07:18.480]  所以新約一位神學家或作者Marcel
[00:07:18.480 --> 00:07:22.320]  他這樣去詮釋第三章第十三節
[00:07:22.320 --> 00:07:23.360]  最後一節
[00:07:23.360 --> 00:07:25.280]  「好讓主堅固你們的心」
[00:07:25.280 --> 00:07:29.160]  「使你們在我們的主耶穌和眾星來臨時」
[00:07:29.160 --> 00:07:30.840]  「在我們的父神面前」
[00:07:30.840 --> 00:07:35.880]  「在聖潔中無可指責」
[00:07:35.880 --> 00:07:37.320]  當然
[00:07:37.320 --> 00:07:39.240]  這不是靠我們自己能夠做的
[00:07:39.240 --> 00:07:43.320]  我們需要神自己的工作
[00:07:43.320 --> 00:07:44.880]  在我們的生命當中
[00:07:44.880 --> 00:07:48.040]  亦需要聖靈自己的能力
[00:07:48.040 --> 00:07:49.960]  今日我和大家分享
[00:07:49.960 --> 00:07:52.440]  「聖潔自守」的內容、原因
[00:07:52.440 --> 00:07:57.000]  以及怎樣去實踐
[00:07:57.000 --> 00:07:58.600]  「聖潔自守」的內容
[00:07:58.600 --> 00:08:00.720]  是在第三節至第六節
[00:08:00.720 --> 00:08:02.320]  其實有三點
[00:08:02.320 --> 00:08:03.760]  我們看這段經文時
[00:08:03.760 --> 00:08:05.920]  我們一看就會知道
[00:08:05.920 --> 00:08:08.760]  聖的旨意是要你們聖潔
[00:08:08.760 --> 00:08:09.320]  第一點
[00:08:09.320 --> 00:08:13.240]  要你們避開淫亂
[00:08:13.240 --> 00:08:14.000]  第二點
[00:08:14.000 --> 00:08:17.240]  就是各人要懂得控制自己的身體
[00:08:17.240 --> 00:08:18.480]  第三點
[00:08:18.480 --> 00:08:23.000]  就是不可以越軌
[00:08:23.000 --> 00:08:24.600]  我們來看第一點
[00:08:24.600 --> 00:08:26.000]  避開淫亂
[00:08:26.000 --> 00:08:27.280]  甚麼是淫亂
[00:08:27.280 --> 00:08:32.200]  淫亂是一個很強烈的詞語
[00:08:32.200 --> 00:08:34.280]  一個很強烈的語氣
[00:08:34.280 --> 00:08:38.360]  要你們遠避離開淫亂
[00:08:38.360 --> 00:08:43.680]  淫亂是指賣淫、通姦、亂倫等等
[00:08:43.680 --> 00:08:45.960]  一切的淫行
[00:08:45.960 --> 00:08:47.280]  Pornography
[00:08:47.280 --> 00:08:50.240]  這個詞就是從這個詞而來
[00:08:50.240 --> 00:08:54.480]  淫褻作品、色情書刊
[00:08:54.480 --> 00:08:55.680]  我們就說
[00:08:55.680 --> 00:08:59.080]  究竟這群信徒當時
[00:08:59.080 --> 00:09:01.760]  在這個貼薩羅尼加的城市
[00:09:01.760 --> 00:09:04.800]  或者在當時的社會環境
[00:09:04.800 --> 00:09:08.600]  或者在這個異教社會的環境
[00:09:08.600 --> 00:09:11.720]  究竟是怎樣的?
[00:09:11.720 --> 00:09:13.640]  為甚麼保羅的書信
[00:09:13.640 --> 00:09:17.120]  保羅經常勸勉信徒時
[00:09:17.120 --> 00:09:20.040]  第一樣就要勸勉這些
[00:09:20.040 --> 00:09:24.000]  第一樣就要說到這些事情
[00:09:24.000 --> 00:09:30.000]  究竟當時的社會的性標準是怎樣的呢?
[00:09:30.000 --> 00:09:32.120]  在羅馬的帝國
[00:09:32.120 --> 00:09:35.640]  不論你是未婚或者已婚的男人
[00:09:35.640 --> 00:09:40.600]  毫無例外的都可以納妾的
[00:09:40.600 --> 00:09:45.640]  男人對這個妾是沒有法律義務的一個女性伴侶
[00:09:45.640 --> 00:09:48.280]  男人可以選擇跟她結婚
[00:09:48.280 --> 00:09:51.200]  又或者只是當她是一個性玩物
[00:09:51.200 --> 00:09:54.880]  消遣一會兒就踢了她
[00:09:54.880 --> 00:09:59.600]  在古希臘這個淫蕩風氣非常盛行
[00:09:59.600 --> 00:10:01.960]  對性關係極之隨便
[00:10:01.960 --> 00:10:04.480]  社交活動裏面
[00:10:04.480 --> 00:10:08.880]  嫖妓是不被認為淫亂的
[00:10:08.880 --> 00:10:10.920]  只是等閒之事
[00:10:10.920 --> 00:10:13.080]  無關痛癢
[00:10:13.080 --> 00:10:19.520]  有些做丈夫的甚至是不遮掩自己跟女僕的不當關係
[00:10:19.520 --> 00:10:23.080]  當時的文化就是這麼敗壞的
[00:10:23.080 --> 00:10:27.040]  當代一位在雅典
[00:10:27.040 --> 00:10:30.280]  一個很偉大的紅變家
[00:10:30.280 --> 00:10:35.600]  迪摩西尼有一句這樣的說話
[00:10:35.600 --> 00:10:38.480]  就代表了當時一般人的態度
[00:10:38.480 --> 00:10:42.200]  他說:我們養情婦來娛樂我們
[00:10:42.200 --> 00:10:45.920]  養妾侍來滿足我們日常身體方面的需要
[00:10:45.920 --> 00:10:50.000]  當然在一個這樣的奴隸制度下
[00:10:50.000 --> 00:10:51.760]  這個是很容易的事
[00:10:51.760 --> 00:10:54.960]  但我們有妻子為我們生合法的兒女
[00:10:54.960 --> 00:10:59.320]  並做我們家庭可靠的監護人
[00:10:59.320 --> 00:11:00.920]  你看這句話你就知道
[00:11:00.920 --> 00:11:02.920]  當時那個社會環境
[00:11:02.920 --> 00:11:06.160]  當時他們的標準是怎樣
[00:11:06.160 --> 00:11:08.360]  最後
[00:11:08.360 --> 00:11:14.480]  譬如在哥倫波或者是切薩羅尼加城裏面
[00:11:14.480 --> 00:11:16.720]  就是牽涉了一些宗教上
[00:11:16.720 --> 00:11:19.440]  涉及禮儀上的淫亂
[00:11:19.440 --> 00:11:21.680]  這些地方裏面有很多神廟
[00:11:21.680 --> 00:11:24.200]  神廟裏面有很多祭司
[00:11:24.200 --> 00:11:27.960]  而這些祭司就是所謂的廟祭
[00:11:27.960 --> 00:11:29.440]  有男的廟祭
[00:11:29.440 --> 00:11:30.720]  有女的廟祭
[00:11:30.720 --> 00:11:35.280]  趣事是與這些前來朝拜的鄉客行淫
[00:11:35.280 --> 00:11:39.080]  這些地方的道德標準非常低落
[00:11:39.080 --> 00:11:43.680]  甚至教會也受到異教社會的影響
[00:11:43.680 --> 00:11:46.680]  所以保羅在哥倫波前書第五章裏說
[00:11:46.680 --> 00:11:50.120]  「我確實聽說你們當中有淫亂的事」
[00:11:50.120 --> 00:11:54.280]  這種事即使在外族人當中也沒有
[00:11:54.280 --> 00:11:58.440]  就是有人與自己父親的妻子同居
[00:11:58.440 --> 00:12:00.080]  意思就是和合本說
[00:12:00.080 --> 00:12:01.400]  「收了他的繼母」
[00:12:01.400 --> 00:12:07.480]  或者英文的譯本是「sleeping with his step mother」
[00:12:07.480 --> 00:12:12.880]  避開淫亂
[00:12:12.880 --> 00:12:16.800]  然後第二點是控制自己的身體
[00:12:16.800 --> 00:12:19.960]  「各人懂得控制自己的身體」
[00:12:19.960 --> 00:12:21.560]  就是說要學習的
[00:12:21.560 --> 00:12:24.640]  是要培養的
[00:12:24.640 --> 00:12:26.080]  甚麼是身體
[00:12:26.080 --> 00:12:31.600]  「身體」這個詞語是「器皿」
[00:12:31.600 --> 00:12:33.480]  可以譯作「器皿」
[00:12:33.480 --> 00:12:36.080]  在《撒慕爾記》上
[00:12:36.080 --> 00:12:38.240]  當大衛逃難的途中
[00:12:38.240 --> 00:12:42.200]  去到祭司阿希米勒那裏要求食物的時候
[00:12:42.200 --> 00:12:45.720]  他說「實在若有一三日我們母親近婦人」
[00:12:45.720 --> 00:12:47.000]  「我出來的時候」
[00:12:47.000 --> 00:12:49.160]  「雖然是尋常的行路」
[00:12:49.160 --> 00:12:51.960]  「少年人的器皿還是潔淨的」
[00:12:51.960 --> 00:12:57.120]  所以在《七十事》譯本 就是舊約的希臘文的版本
[00:12:57.120 --> 00:13:01.240]  用「器皿」這個字
[00:13:01.240 --> 00:13:04.640]  其實是指生殖器的委婉的用法
[00:13:04.640 --> 00:13:07.280]  當時的通俗的希臘文
[00:13:07.280 --> 00:13:09.600]  甚至早期基督教的著作
[00:13:09.600 --> 00:13:13.680]  用法都是吻合的
[00:13:13.680 --> 00:13:17.440]  意思就是說身體是解作「器皿」
[00:13:17.440 --> 00:13:21.520]  這個「器皿」是有生殖器的意思
[00:13:21.520 --> 00:13:24.560]  而在呂鎮忠譯本怎樣譯這一句呢?
[00:13:24.560 --> 00:13:28.560]  「要你們各人曉得以聖化和至尊」
