
[00:00:00.000 --> 00:00:02.640]  在上星期我們討論的題目是
[00:00:02.640 --> 00:00:04.220]  「自我形象的建立」
[00:00:04.220 --> 00:00:08.200]  第一講,我們今天會繼續討論主題的第二講
[00:00:08.200 --> 00:00:12.660]  因為我們的時間不夠,所以我們必須要多討論一次
[00:00:12.660 --> 00:00:14.700]  以致我們能夠將聖經裏面
[00:00:14.700 --> 00:00:16.780]  從基督徒的角度
[00:00:16.780 --> 00:00:18.400]  我們不是從心理學的角度
[00:00:18.400 --> 00:00:20.940]  因為心理學的研究裏面
[00:00:20.940 --> 00:00:24.020]  有部份會幫助我們了解人
[00:00:24.020 --> 00:00:26.900]  但是我們真正了解人性的
[00:00:26.900 --> 00:00:28.040]  要包含在聖經裏面
[00:00:28.040 --> 00:00:34.040]  我們看看基督教的「自我形象的建立」的目標
[00:00:34.040 --> 00:00:37.120]  就是我們越來越像這位耶穌
[00:00:37.120 --> 00:00:38.260]  跟李嘉誼大師說一聲
[00:00:38.260 --> 00:00:39.580]  你要越來越像耶穌
[00:00:39.580 --> 00:00:43.840]  在《加拿大大書》的二章二十節
[00:00:43.840 --> 00:00:44.580]  聖經這樣說
[00:00:44.580 --> 00:00:47.200]  「我已經與基督同釘十字架」
[00:00:47.200 --> 00:00:48.960]  「現在活著的不再是我」
[00:00:48.960 --> 00:00:51.880]  「乃是基督在我裏面活著」
[00:00:51.880 --> 00:00:54.580]  「並且我如今在肉身活著」
[00:00:54.580 --> 00:00:56.760]  「是因信上帝的兒子而活」
[00:00:56.760 --> 00:01:00.340]  「他是愛我,為我捨己」
[00:01:00.340 --> 00:01:02.440]  這段經文有些基督徒
[00:01:02.440 --> 00:01:05.200]  是回到教會一段時間的時候
[00:01:05.200 --> 00:01:06.500]  可能非常熟悉
[00:01:06.500 --> 00:01:08.200]  給個提示給各位組員
[00:01:08.200 --> 00:01:09.620]  今個星期的小組
[00:01:09.620 --> 00:01:12.080]  你是要背這段經文的
[00:01:12.080 --> 00:01:14.460]  這段經文裏面為甚麼要背
[00:01:14.460 --> 00:01:16.300]  因為它有一個很重要的
[00:01:16.300 --> 00:01:19.700]  如果你是逐節逐節去看的時候
[00:01:19.700 --> 00:01:22.460]  整段經文是附加的意義
[00:01:22.460 --> 00:01:23.380]  是非常重要的
[00:01:23.380 --> 00:01:27.160]  它說「我已經與基督同釘十字架」
[00:01:27.160 --> 00:01:30.660]  「現在活著的不再是我」
[00:01:30.660 --> 00:01:33.700]  「我已經不再是我」
[00:01:33.700 --> 00:01:36.420]  「舊人已經脫去了,穿上了新人」
[00:01:36.420 --> 00:01:38.380]  「我活著就是基督」
[00:01:38.380 --> 00:01:40.540]  在《肥勒比書》第一章二十節裏面
[00:01:40.540 --> 00:01:43.960]  保羅說「我活著就是基督」
[00:01:43.960 --> 00:01:45.700]  為甚麼?因為基督在我裏面活著
[00:01:45.700 --> 00:01:47.380]  整個邏輯就是這樣的
[00:01:47.380 --> 00:01:50.200]  當基督在我裏面活著的時候
[00:01:50.200 --> 00:01:52.120]  我是為基督而活的話
[00:01:52.120 --> 00:01:55.040]  「我活著就是基督」
[00:01:55.040 --> 00:02:00.460]  現在很多的教會或者神學教導
[00:02:00.460 --> 00:02:02.740]  我們忽略了一件很重要的事情
[00:02:02.740 --> 00:02:04.880]  我們經常以人為本
[00:02:04.880 --> 00:02:06.840]  我們在看人怎樣發展我們自己
[00:02:06.840 --> 00:02:09.300]  但忽略了基督徒不是以人為本
[00:02:09.300 --> 00:02:13.660]  基督徒是必須要活出神與人同在
[00:02:13.660 --> 00:02:15.120]  就是聖靈居在我們心中
[00:02:15.120 --> 00:02:17.000]  我們怎樣活出基督
[00:02:17.000 --> 00:02:19.660]  就是在我們生命裏面彰顯出來
[00:02:19.660 --> 00:02:21.660]  所以這段經文裏面所說的
[00:02:21.660 --> 00:02:24.420]  「我現在活著的不再是我」
[00:02:24.420 --> 00:02:25.420]  如果不是我的話
[00:02:25.420 --> 00:02:28.080]  我是在說舊我已經脫去
[00:02:28.080 --> 00:02:29.840]  新人已經穿上
[00:02:29.840 --> 00:02:31.880]  「我活著就是基督」
[00:02:31.880 --> 00:02:34.340]  他說「乃是基督在我裏面活著」
[00:02:34.340 --> 00:02:35.380]  基督在我裏面活著
[00:02:35.380 --> 00:02:37.260]  因為我活著就是基督這個肥牛比書
[00:02:37.260 --> 00:02:39.960]  第一章裏面很清楚交代的經文
[00:02:39.960 --> 00:02:40.760]  如果這樣的時候
[00:02:40.760 --> 00:02:42.120]  第一章就很不一樣
[00:02:42.120 --> 00:02:43.840]  想像清楚
[00:02:43.840 --> 00:02:45.220]  跟你旁邊的第一章說一聲
[00:02:45.220 --> 00:02:48.340]  你要越來越像耶穌
[00:02:48.340 --> 00:02:49.460]  因為耶穌在我們裏面
[00:02:49.460 --> 00:02:53.760]  我們活著的就是基督的樣式要彰顯出來
[00:02:53.760 --> 00:02:58.340]  他說「我如今是在肉身裏面活著」
[00:02:58.340 --> 00:02:59.920]  保羅為何這樣說
[00:02:59.920 --> 00:03:03.340]  由保羅時代的2000年前的教會
[00:03:03.340 --> 00:03:05.580]  面對一種學說到現在
[00:03:05.580 --> 00:03:07.340]  都一樣我們要面對的
[00:03:07.340 --> 00:03:10.120]  有人太強調了屬靈的生命
[00:03:10.120 --> 00:03:11.380]  甚至異義分化
[00:03:11.380 --> 00:03:12.920]  就是屬靈的
[00:03:12.920 --> 00:03:14.040]  與肉體的無關
[00:03:14.040 --> 00:03:14.740]  肉體
[00:03:14.740 --> 00:03:15.540]  你知道我突然之間
[00:03:15.540 --> 00:03:18.540]  往往人類歷史裏面最難處理的
[00:03:18.540 --> 00:03:19.880]  不是靈界的問題
[00:03:19.880 --> 00:03:20.960]  不是屬靈的問題
[00:03:20.960 --> 00:03:23.080]  不是屬靈生命操練的問題
[00:03:23.080 --> 00:03:24.960]  是我們這個身體
[00:03:24.960 --> 00:03:26.840]  很奇怪
[00:03:26.840 --> 00:03:29.380]  在2000年的教會歷史裏面
[00:03:29.380 --> 00:03:32.180]  從來不是處理屬靈的問題
[00:03:32.180 --> 00:03:33.840]  或者我們靈性的問題
[00:03:33.840 --> 00:03:36.500]  是這個身體的問題才是最難處理的
[00:03:36.500 --> 00:03:38.840]  我們往往將身體
[00:03:38.840 --> 00:03:43.840]  要麼就是苦行去虐待
[00:03:43.840 --> 00:03:45.640]  或者自虐這個身體
