
[00:00:00.000 --> 00:00:07.000]  今日和大家分享的題目是「以家為本的門徒群體」
[00:00:07.000 --> 00:00:10.000]  回顧上世紀六七十年代
[00:00:10.000 --> 00:00:14.000]  香港成為一個向中國傳福音的基地
[00:00:14.000 --> 00:00:18.000]  福音廣播運送聖經和屬靈的書籍
[00:00:18.000 --> 00:00:22.000]  直到八九十年代中港教會的交流日漸頻繁
[00:00:22.000 --> 00:00:27.000]  其中有一個著名的家庭教會是在廣州的大馬站
[00:00:27.000 --> 00:00:31.000]  人稱林伯的林獻高先生 後來我們叫牧師
[00:00:31.000 --> 00:00:34.000]  記得當年一九八八年的時候
[00:00:34.000 --> 00:00:38.000]  葛培里訪問中國的時候 亦都到訪林伯
[00:00:38.000 --> 00:00:41.000]  我記得二十多年前初出茅廬的時候
[00:00:41.000 --> 00:00:43.000]  亦都有機會去廣州探望他
[00:00:43.000 --> 00:00:47.000]  亦都讀了很多他所編著的靈音小蟲
[00:00:47.000 --> 00:00:51.000]  在左手邊那幅圖後面「愛」字旁邊有個書架
[00:00:51.000 --> 00:00:54.000]  書架上面有很多書仔
[00:00:54.000 --> 00:00:56.000]  這些書仔是影印本
[00:00:56.000 --> 00:00:59.000]  我都拿了很多本回家
[00:00:59.000 --> 00:01:03.000]  後來我看到福音書室亦都將他這些靈音小蟲
[00:01:03.000 --> 00:01:06.000]  再用一些小冊子的模式去登出來
[00:01:06.000 --> 00:01:11.000]  我不知道大家有沒有機會見過這一本靈音小蟲
[00:01:11.000 --> 00:01:14.000]  裏面有很多的 有解經的 有神學的
[00:01:14.000 --> 00:01:18.000]  甚至是有一些當時的異端
[00:01:18.000 --> 00:01:22.000]  我看林伯那些東西都不過時
[00:01:22.000 --> 00:01:29.000]  教會的潮流各方面的課題他都有涉獵
[00:01:29.000 --> 00:01:33.000]  當然我們知道中國的家庭教會
[00:01:33.000 --> 00:01:37.000]  其實很多時候都受政府公安的騷擾
