
[00:00:00.000 --> 00:00:02.800]  我的題目是「不完全的完全人」
[00:00:02.800 --> 00:00:04.960]  先看一段經文
[00:00:04.960 --> 00:00:07.480]  《菲律賓書》三章十二到十六節
[00:00:07.480 --> 00:00:10.920]  「這不是算我已經得著了,已經完全了
[00:00:10.920 --> 00:00:12.280]  我乃是竭力追求
[00:00:12.280 --> 00:00:14.600]  或者可以得著基督耶穌,所以得著我的
[00:00:14.600 --> 00:00:16.760]  但英門,我不是以為自己已經得著了
[00:00:16.760 --> 00:00:19.200]  我只是一件事,就算忘記了保佑我面前的
[00:00:19.200 --> 00:00:20.840]  向著標竿直跑
[00:00:20.840 --> 00:00:24.320]  要得上帝在基督耶穌裡從上面照我來得的獎賞
[00:00:24.320 --> 00:00:26.360]  所以我們中間凡是完全人
[00:00:26.360 --> 00:00:27.600]  總要存在於我的心
[00:00:27.600 --> 00:00:29.680]  若做甚麼事上,存別於我的心
[00:00:29.800 --> 00:00:31.880]  上帝必以此指示你們
[00:00:31.880 --> 00:00:33.880]  然而我們到了甚麼地步
[00:00:33.880 --> 00:00:37.000]  就當照著甚麼地步行」
[00:00:37.000 --> 00:00:41.040]  我這一年多時間
[00:00:41.040 --> 00:00:45.320]  幫自己的教會查考《哥林多後書》
[00:00:45.320 --> 00:00:50.920]  今天編導刺激我思考的
[00:00:50.920 --> 00:00:56.000]  就是我看到《哥林多後書》十三章的一段說話
[00:00:56.720 --> 00:01:00.440]  在臨後的末段
[00:01:00.440 --> 00:01:03.080]  保羅陳述他對信徒的期望
[00:01:03.080 --> 00:01:04.000]  他這樣說
[00:01:04.000 --> 00:01:07.200]  「並且我們所求的就是你們作完全人
[00:01:07.200 --> 00:01:09.080]  所以我不在你們那裡的時候
[00:01:09.080 --> 00:01:10.400]  不致說捨給你們
[00:01:10.400 --> 00:01:12.040]  好叫我見你們的時候
[00:01:12.040 --> 00:01:14.280]  不用照主所給我的權柄
[00:01:14.280 --> 00:01:15.880]  嚴厲地待你們
[00:01:15.880 --> 00:01:18.440]  這權柄原是為造就人
[00:01:18.440 --> 00:01:20.680]  並不是為敗壞人」
[00:01:21.200 --> 00:01:27.360]  保羅說他期望「哥林多信徒作完全人」
[00:01:27.360 --> 00:01:29.720]  這句說話令我摸不著頭腦
[00:01:29.720 --> 00:01:30.960]  令我摸不著頭腦
[00:01:30.960 --> 00:01:34.000]  跟大家說說背景
[00:01:34.000 --> 00:01:38.240]  保羅與哥林多教會有很複雜的恩怨情仇關係
[00:01:38.240 --> 00:01:39.040]  你們知道的
[00:01:39.040 --> 00:01:40.800]  他是教會的創立者
[00:01:40.800 --> 00:01:42.200]  即是屬靈生父
[00:01:42.200 --> 00:01:46.520]  但他卻不受教會裡面最少部分信徒所歡迎
[00:01:46.520 --> 00:01:49.080]  他們嫌保羅賣相不好
[00:01:49.080 --> 00:01:50.200]  言語粗鄙
[00:01:50.200 --> 00:01:51.240]  沒有貴氣
[00:01:51.240 --> 00:01:53.320]  你們知道在希臘半島
[00:01:53.320 --> 00:01:55.640]  這個追求知識的城市
[00:01:55.640 --> 00:01:59.400]  保羅的外貌確實是不討好的
[00:01:59.400 --> 00:02:00.760]  不過
[00:02:00.760 --> 00:02:03.600]  保羅不僅僅是因為他真的出身不好
[00:02:03.600 --> 00:02:04.520]  沒有受過教育
[00:02:04.520 --> 00:02:06.160]  所以搞成這樣
[00:02:06.160 --> 00:02:08.240]  他搞成這樣
[00:02:08.240 --> 00:02:11.760]  是出於他對基督信仰的了解
[00:02:11.760 --> 00:02:14.400]  他認定十字架的道理
[00:02:14.400 --> 00:02:17.000]  是要廢棄人的智慧和能力
[00:02:17.720 --> 00:02:22.520]  所以他決定主動放棄人間的聰明才智
[00:02:22.520 --> 00:02:25.720]  以一個無知、無能的面貌出現
[00:02:25.720 --> 00:02:27.320]  因為上帝的大能
[00:02:27.320 --> 00:02:30.400]  要在人的軟弱上才顯得完全
[00:02:30.400 --> 00:02:33.120]  所以他喜歡誇
[00:02:33.120 --> 00:02:36.520]  喜歡表現自己的軟弱
[00:02:36.520 --> 00:02:37.840]  自己的無能
[00:02:37.840 --> 00:02:39.240]  不過
[00:02:39.240 --> 00:02:41.640]  保羅這個這麼奇怪的想法
[00:02:41.640 --> 00:02:45.320]  不被當時多數信徒所接受
[00:02:45.960 --> 00:02:49.480]  他們認為你扮什麼
[00:02:49.480 --> 00:02:50.640]  你是就是
[00:02:50.640 --> 00:02:52.360]  你是無能就是無能
[00:02:52.360 --> 00:02:56.040]  所以他認為保羅是不合格的傳道者
[00:02:56.040 --> 00:02:59.000]  甚至有人質疑他的仕途身份
[00:02:59.000 --> 00:03:01.160]  質疑他所說的信息的正確性
[00:03:01.160 --> 00:03:02.920]  他們轉移
[00:03:02.920 --> 00:03:04.640]  另投名主
