
[00:00:00.000 --> 00:00:03.260]  求告耶和華的名
[00:00:03.260 --> 00:00:07.300]  《悅爾書二章三十二節》
[00:00:07.300 --> 00:00:09.000]  到那時候
[00:00:09.000 --> 00:00:14.300]  凡求告耶和華的名就必得救
[00:00:14.300 --> 00:00:17.300]  這是我們上一次
[00:00:17.300 --> 00:00:23.300]  我們開講了求告耶和華的名之一
[00:00:23.300 --> 00:00:26.300]  我們講說求告耶和華的名
[00:00:26.300 --> 00:00:29.300]  是指暗神不同的名字
[00:00:29.300 --> 00:00:32.300]  向祂呼求
[00:00:32.300 --> 00:00:37.300]  耶和華Jahovah是祂的名字
[00:00:37.300 --> 00:00:45.300]  以利El大能力量至高是祂的名字
[00:00:45.300 --> 00:00:54.300]  以羅興Elohim創造大能和力量是祂的名字
[00:00:54.300 --> 00:01:02.300]  以利沙袋El Shaddai兩個的大能者是祂的名字
[00:01:02.300 --> 00:01:06.300]  雅威是祂的名字
[00:01:06.300 --> 00:01:10.300]  Jahovah是祂的名字
[00:01:10.300 --> 00:01:16.300]  阿多奈取能的神是祂的名字
[00:01:16.300 --> 00:01:20.300]  今天我們要進入這第二章
[00:01:20.300 --> 00:01:24.300]  《耶和華以勒Jahovah以羅》
[00:01:24.300 --> 00:01:27.300]  《耶和華第一輩》
[00:01:27.300 --> 00:01:31.300]  《創世紀二十二章十四節》
[00:01:31.300 --> 00:01:34.300]  事情是這樣的
[00:01:34.300 --> 00:01:37.300]  亞伯拉罕在一百歲的時候
[00:01:37.300 --> 00:01:39.300]  上帝賜給他一個兒子
[00:01:39.300 --> 00:01:43.300]  沙Isaac
[00:01:43.300 --> 00:01:45.300]  在以沙漸漸長大之後
[00:01:45.300 --> 00:01:47.300]  有一天
[00:01:47.300 --> 00:01:51.300]  上帝要亞伯拉罕把他的獨生兒子以沙
[00:01:51.300 --> 00:01:58.300]  帶到摩利亞山上去獻為繁祭
[00:01:58.300 --> 00:02:02.300]  亞伯拉罕問也不問就照做了
[00:02:02.300 --> 00:02:05.300]  正在要動刀的那一刻
[00:02:05.300 --> 00:02:09.300]  耶和華的使者擲止了亞伯拉罕
[00:02:09.300 --> 00:02:13.300]  並且用上帝為他所預備的一隻公羊
[00:02:13.300 --> 00:02:17.300]  作為繁祭取代以沙
[00:02:17.300 --> 00:02:20.300]  亞伯拉罕便將那義取名為
[00:02:20.300 --> 00:02:25.300]  耶和華以勒Jahovah Ira
[00:02:25.300 --> 00:02:31.300]  是有預備及贖回的意思
[00:02:31.300 --> 00:02:38.300]  所以Jahovah Ira是說神是預備及贖回的神
[00:02:38.300 --> 00:02:43.300]  創世紀二十二章九至十四節
[00:02:43.300 --> 00:02:46.300]  他們到了神所指示的地方
[00:02:46.300 --> 00:02:49.300]  亞伯拉罕在那裡燭壇
[00:02:49.300 --> 00:02:51.300]  把柴擺好
[00:02:51.300 --> 00:02:54.300]  捆綁他的兒子以沙
[00:02:54.300 --> 00:02:57.300]  辦在壇的柴上
[00:02:57.300 --> 00:03:02.300]  亞伯拉罕就伸手拿刀要殺他的兒子
[00:03:02.300 --> 00:03:06.300]  耶和華的使者從天上呼叫他說
[00:03:06.300 --> 00:03:08.300]  亞伯拉罕亞伯拉罕
[00:03:08.300 --> 00:03:10.300]  他說我在這裡
[00:03:10.300 --> 00:03:15.300]  天使說你不可在那童子身上下手
[00:03:15.300 --> 00:03:17.300]  一點不可害他
[00:03:17.300 --> 00:03:21.300]  現在我知道你是敬畏神的人了
[00:03:21.300 --> 00:03:24.300]  因為你沒有將你的兒子
[00:03:24.300 --> 00:03:29.300]  就是你獨生的兒子留下不給我
[00:03:29.300 --> 00:03:32.300]  亞伯拉罕舉目觀看
[00:03:32.300 --> 00:03:38.300]  不料有一隻公羊兩腳扣在愁膩的小樹中
[00:03:38.300 --> 00:03:42.300]  亞伯拉罕就取了那隻公羊來
[00:03:42.300 --> 00:03:46.300]  獻為繁祭代替他的兒子
[00:03:46.300 --> 00:03:51.300]  亞伯拉罕給那地方取名叫耶和華以勒
[00:03:51.300 --> 00:03:54.300]  直到今日仍還說
[00:03:54.300 --> 00:03:59.300]  在耶和華的山上必有預備
[00:03:59.300 --> 00:04:01.300]  順便一提
[00:04:01.300 --> 00:04:05.300]  神呼叫他說亞伯拉罕亞伯拉罕
[00:04:05.300 --> 00:04:09.300]  被稱為雙重呼召
[00:04:09.300 --> 00:04:11.300]  除了神呼召亞伯拉罕外
[00:04:11.300 --> 00:04:17.300]  還有神呼召雅各摩西沙漠馬大等
[00:04:17.300 --> 00:04:20.300]  都是用這雙重呼召
[00:04:20.300 --> 00:04:23.300]  而他們的回答都是我在這裡
[00:04:23.300 --> 00:04:26.300]  你能力
[00:04:26.300 --> 00:04:29.300]  當神要求亞伯拉罕將他獨生的兒子
[00:04:29.300 --> 00:04:33.300]  以他獻上為繁祭時
[00:04:33.300 --> 00:04:38.300]  亞伯拉罕沒有質疑也沒有反抗
[00:04:38.300 --> 00:04:42.300]  他默默順服地就去做了
[00:04:42.300 --> 00:04:49.300]  因為他對神有很深的認識和相信
[00:04:49.300 --> 00:04:53.300]  殺神所賜的兒子獻上為祭
