
[00:00:00.000 --> 00:00:02.120]  宋代的詩人陸游
[00:00:02.120 --> 00:00:05.880]  有一天他在西山遊覽
[00:00:05.880 --> 00:00:09.840]  他走過一座山頭又一座山頭
[00:00:09.840 --> 00:00:11.840]  已經走了幾個小時了
[00:00:11.840 --> 00:00:16.080]  眼見那些山一個個重重疊疊
[00:00:16.080 --> 00:00:18.280]  那些河流彎彎曲曲
[00:00:18.280 --> 00:00:21.160]  走着走着好像沒有路可走
[00:00:21.160 --> 00:00:22.920]  但他堅持繼續下去
[00:00:22.920 --> 00:00:25.800]  撥開那些柳樹和很多的叢林
[00:00:25.800 --> 00:00:28.280]  竟然在柳樹的背後
[00:00:28.280 --> 00:00:30.960]  有一條很漂亮的小村莊
[00:00:30.960 --> 00:00:32.840]  於是他就寫了一首詩
[00:00:32.840 --> 00:00:38.720]  叫《山窮水浮而無路,柳暗花明又一寸》
[00:00:38.720 --> 00:00:42.760]  後來人們將它變成一些諺語
[00:00:42.760 --> 00:00:48.480]  叫《山窮水盡而無路,柳暗花明又一寸》
[00:00:48.480 --> 00:00:49.680]  意思是說
[00:00:49.680 --> 00:00:52.640]  前面困難重重
[00:00:52.640 --> 00:00:54.640]  但當人勇往直前
[00:00:54.640 --> 00:00:57.640]  最終他會找到出路
[00:00:57.640 --> 00:00:59.320]  有一個人因爲趕路
[00:00:59.320 --> 00:01:00.640]  他不走大路
[00:01:00.640 --> 00:01:01.840]  經過一些叢林
[00:01:01.840 --> 00:01:03.520]  竟然遇見老虎
[00:01:03.520 --> 00:01:04.680]  老虎想喫了他
[00:01:04.680 --> 00:01:06.040]  於是一路追他
[00:01:06.040 --> 00:01:07.880]  他一路逃走
[00:01:07.880 --> 00:01:10.040]  走到園崖邊
[00:01:10.040 --> 00:01:11.520]  老虎一路追來
[00:01:11.520 --> 00:01:13.560]  前無去路
[00:01:13.560 --> 00:01:14.920]  後有老虎
[00:01:14.920 --> 00:01:16.240]  後有追兵
[00:01:16.240 --> 00:01:17.440]  他怎麼辦呢
[00:01:17.440 --> 00:01:18.160]  他想着
[00:01:18.160 --> 00:01:20.640]  還又死,跳下去又跌死
[00:01:20.640 --> 00:01:22.000]  比老虎還慘
[00:01:22.000 --> 00:01:24.480]  被分屍喫了咬死
[00:01:24.480 --> 00:01:25.920]  死得更慘
[00:01:25.920 --> 00:01:28.440]  於是他說還死又慘
