
[00:00:00.000 --> 00:00:03.000]  今日嘅陳慧少說話係好特別
[00:00:03.000 --> 00:00:06.000]  因為過去一路講緊撒姆爾記上下
[00:00:06.000 --> 00:00:10.000]  除咗撒姆爾大衛
[00:00:10.000 --> 00:00:13.000]  我哋見到都好跟隨神嘅人
[00:00:13.000 --> 00:00:20.000]  但去到今日撒姆爾記下第十一章開始
[00:00:20.000 --> 00:00:23.000]  好似一個好大嘅轉變
[00:00:23.000 --> 00:00:25.000]  一個好大嘅逆轉
[00:00:25.000 --> 00:00:33.000]  就係大衛喺佢嘅生命中發生一件生命裏面最大嘅污點
[00:00:33.000 --> 00:00:38.000]  呢個污點睇下我哋從中學到乜嘢
[00:00:38.000 --> 00:00:40.000]  有啲嘅隱形先
[00:00:40.000 --> 00:00:43.000]  香港我哋知道都好難出去旅遊
[00:00:43.000 --> 00:00:46.000]  因為返到香港都要隔離
[00:00:46.000 --> 00:00:48.000]  咁唔容易嘅
[00:00:48.000 --> 00:00:52.000]  所以好多唔同嘅資訊話邊個有得好玩邊個有得好食
[00:00:52.000 --> 00:00:58.000]  例如Trip.com喺7月更新咗2022年嘅好去處
[00:00:58.000 --> 00:01:00.000]  咁就唔知大家有冇去過
[00:01:00.000 --> 00:01:03.000]  例如荔枝窩一日遊
[00:01:03.000 --> 00:01:07.000]  例如西貢沙頭角一日遊
[00:01:07.000 --> 00:01:09.000]  我真係我都已經未去過
[00:01:09.000 --> 00:01:13.000]  維港灣點咁我諗大家都好大人去過
[00:01:13.000 --> 00:01:16.000]  滾軸溜冰
[00:01:16.000 --> 00:01:20.000]  我諗我40年前就得嘅而家應該都唔得㗎啦
[00:01:20.000 --> 00:01:22.000]  仲有山頂好去處
[00:01:22.000 --> 00:01:26.000]  有食 行山 景點 交通等等
[00:01:26.000 --> 00:01:30.000]  我哋中間有冇弟兄姊妹去過其中一度
[00:01:30.000 --> 00:01:32.000]  舉下手啦
[00:01:32.000 --> 00:01:34.000]  都有好多
[00:01:34.000 --> 00:01:35.000]  都幾好玩㗎
[00:01:35.000 --> 00:01:36.000]  唔單止呢度
[00:01:36.000 --> 00:01:40.000]  仲有介紹到香港匯展展覽
[00:01:40.000 --> 00:01:43.000]  咁就知道過去啱啱有書展
[00:01:43.000 --> 00:01:45.000]  又有個動漫節
[00:01:45.000 --> 00:01:46.000]  好多嘢睇
[00:01:46.000 --> 00:01:49.000]  教你點樣去 邊個攤位 點樣行法
[00:01:49.000 --> 00:01:52.000]  又有文青打卡
[00:01:52.000 --> 00:01:54.000]  我太太帶過我去
[00:01:54.000 --> 00:01:56.000]  西九Empress
[00:01:56.000 --> 00:01:58.000]  有冇人去過Empress 舉下手
[00:01:58.000 --> 00:02:01.000]  都有呀
[00:02:01.000 --> 00:02:02.000]  唔少呀
[00:02:02.000 --> 00:02:03.000]  沙田石門
[00:02:03.000 --> 00:02:04.000]  我哋個小朋友都去啦
[00:02:04.000 --> 00:02:06.000]  不過呢 臨尾呢個比較特別啲
[00:02:06.000 --> 00:02:09.000]  就係機場維修區
[00:02:09.000 --> 00:02:10.000]  喺度睇咩呢
[00:02:10.000 --> 00:02:12.000]  睇日落
[00:02:12.000 --> 00:02:14.000]  呢幾個地方又有冇人去過呢
[00:02:14.000 --> 00:02:15.000]  我睇下先
[00:02:15.000 --> 00:02:17.000]  舉下手睇下呢
[00:02:17.000 --> 00:02:19.000]  都唔少呀
[00:02:19.000 --> 00:02:21.000]  咁呀 當然好多好去處呢
[00:02:21.000 --> 00:02:24.000]  我哋都可以隨便去旅遊
[00:02:24.000 --> 00:02:25.000]  去玩 去睇
[00:02:25.000 --> 00:02:26.000]  不過呢
[00:02:26.000 --> 00:02:27.000]  我哋休閒嘅時候
[00:02:27.000 --> 00:02:30.000]  有啲地方係唔能夠去㗎
[00:02:30.000 --> 00:02:31.000]  因為嗰啲地方呢
[00:02:31.000 --> 00:02:33.000]  實在危險嘅地帶
[00:02:33.000 --> 00:02:34.000]  咁呀 另一個網站呢
[00:02:34.000 --> 00:02:36.000]  有咁樣提法
[00:02:36.000 --> 00:02:38.000]  佢話呢 例如行山
[00:02:38.000 --> 00:02:41.000]  飛鵝山係自殺崖
[00:02:41.000 --> 00:02:43.000]  獅子山呢 好多意外
[00:02:43.000 --> 00:02:46.000]  大霧山呢 有危險高
[00:02:46.000 --> 00:02:48.000]  呢個狗牙嶺
[00:02:48.000 --> 00:02:50.000]  亦都好危險㗎
[00:02:50.000 --> 00:02:51.000]  不過好得意呀
[00:02:51.000 --> 00:02:52.000]  我哋教會呢
[00:02:52.000 --> 00:02:53.000]  有個弟兄叫郭勝呢
[00:02:53.000 --> 00:02:54.000]  佢呢唔怕喎
[00:02:54.000 --> 00:02:56.000]  真係去咗呢啲地方
[00:02:56.000 --> 00:02:57.000]  仲影咗幅相
[00:02:57.000 --> 00:02:58.000]  犀利呀
[00:02:58.000 --> 00:02:59.000]  犀利
[00:02:59.000 --> 00:03:00.000]  犀利呀
[00:03:00.000 --> 00:03:01.000]  仲睇咗本書
[00:03:01.000 --> 00:03:03.000]  大家知唔知睇邊本書呀
[00:03:03.000 --> 00:03:08.000]  不過佢真係影咗呀
[00:03:08.000 --> 00:03:09.000]  佢幅相呢
[00:03:09.000 --> 00:03:11.000]  哇 真係識貨呀
[00:03:11.000 --> 00:03:13.000]  真係話 睇得好呀
[00:03:13.000 --> 00:03:14.000]  咁我唔知呢
[00:03:14.000 --> 00:03:17.000]  我去咗呢咁危險嘅地方行山
[00:03:17.000 --> 00:03:18.000]  不過呢如果你真係
[00:03:18.000 --> 00:03:20.000]  好細心嘅訓練
[00:03:20.000 --> 00:03:22.000]  好小心去行
[00:03:22.000 --> 00:03:23.000]  咁我諗好多人呢
[00:03:23.000 --> 00:03:26.000]  可能都可以駕馭到
[00:03:26.000 --> 00:03:28.000]  不過我哋今日講
[00:03:28.000 --> 00:03:32.000]  撒姆爾記下去十一章開始
[00:03:32.000 --> 00:03:35.000]  大衛就進入咗一個
[00:03:35.000 --> 00:03:37.000]  人生嘅危險地帶
[00:03:37.000 --> 00:03:39.000]  呢個危險地帶
[00:03:39.000 --> 00:03:40.000]  無論有幾多個訓練
[00:03:40.000 --> 00:03:43.000]  都不能進入
[00:03:43.000 --> 00:03:44.000]  幾多個訓練
[00:03:44.000 --> 00:03:46.000]  都會帶嚟危險
[00:03:46.000 --> 00:03:49.000]  都會後悔莫及
[00:03:49.000 --> 00:03:50.000]  我哋知道
[00:03:50.000 --> 00:03:52.000]  大衛人生最大嘅污點
[00:03:52.000 --> 00:03:54.000]  係乜嘢事呢
[00:03:54.000 --> 00:03:56.000]  佢同邊個相遇呢
[00:03:56.000 --> 00:03:57.000]  又殺咗邊個呢
[00:03:57.000 --> 00:03:58.000]  大家知唔知邊個呀
[00:03:58.000 --> 00:04:00.000]  講下個名出嚟
[00:04:00.000 --> 00:04:05.000]  係喇 聽到喇
[00:04:05.000 --> 00:04:06.000]  佛士巴
[00:04:06.000 --> 00:04:08.000]  聽到呢 烏尼亞
[00:04:08.000 --> 00:04:09.000]  我哋畀啲掌聲
[00:04:09.000 --> 00:04:10.000]  我哋係SV TEAM啦
[00:04:10.000 --> 00:04:11.000]  畀啲掌聲嚟呀
[00:04:11.000 --> 00:04:14.000]  平常我都聽到大家講嘢
[00:04:14.000 --> 00:04:16.000]  真係好感恩
[00:04:16.000 --> 00:04:17.000]  好喇
[00:04:17.000 --> 00:04:18.000]  咁我哋睇一睇
