
[00:00:00.000 --> 00:00:03.600]  這個是繼續我們講希伯來書
[00:00:03.600 --> 00:00:06.320]  這個港獨系列的
[00:00:06.320 --> 00:00:07.400]  這就上
[00:00:07.400 --> 00:00:10.240]  下集應該是兩個星期後再講
[00:00:10.240 --> 00:00:11.840]  應該是十五號
[00:00:11.840 --> 00:00:13.560]  OK
[00:00:13.560 --> 00:00:14.720]  好
[00:00:14.720 --> 00:00:17.840]  大家有沒有聽過
[00:00:17.840 --> 00:00:19.680]  眼見為真
[00:00:19.680 --> 00:00:20.840]  有沒有聽過這句話
[00:00:20.840 --> 00:00:23.160]  眼見到才是真的
[00:00:23.160 --> 00:00:24.240]  我想問問大家
[00:00:24.240 --> 00:00:26.800]  有多少人你真的這麼相信
[00:00:26.800 --> 00:00:29.400]  我見到的才是真的
[00:00:29.400 --> 00:00:30.480]  OK
[00:00:30.480 --> 00:00:31.960]  不見到那些
[00:00:31.960 --> 00:00:33.480]  那些我們就保留
[00:00:33.480 --> 00:00:34.280]  有沒有這樣的人
[00:00:34.280 --> 00:00:35.760]  因為口講無憑
[00:00:35.760 --> 00:00:37.120]  眼見才是真的
[00:00:37.120 --> 00:00:38.640]  有沒有這樣相信
[00:00:38.640 --> 00:00:41.280]  眼見為真
[00:00:41.280 --> 00:00:43.400]  竟然沒有人相信
[00:00:43.400 --> 00:00:45.320]  那是不是全部都不相信
[00:00:45.320 --> 00:00:48.080]  眼見為真這句話呢
[00:00:48.080 --> 00:00:49.880]  你不相信眼見為真的這句話
[00:00:49.880 --> 00:00:51.800]  請舉手
[00:00:51.800 --> 00:00:54.040]  喂 有沒有搞錯
[00:00:54.040 --> 00:00:56.800]  有沒有人
[00:00:56.800 --> 00:00:58.320]  我問你們信不信
[00:00:58.320 --> 00:00:59.480]  你信的又
[00:00:59.480 --> 00:01:00.200]  又沒有人舉手
[00:01:00.200 --> 00:01:00.920]  不信的
[00:01:00.920 --> 00:01:01.400]  只有你
[00:01:01.400 --> 00:01:04.880]  張阿里牧師舉手
[00:01:04.880 --> 00:01:06.640]  我說究竟在想什麼呢
[00:01:06.640 --> 00:01:11.440]  到底你怎樣去看這句話呢
[00:01:11.440 --> 00:01:15.440]  我有找到一些照片
[00:01:15.440 --> 00:01:17.840]  跟大家去看看
[00:01:17.840 --> 00:01:19.520]  好看嗎
[00:01:19.520 --> 00:01:20.640]  OK
[00:01:20.640 --> 00:01:22.640]  我每張三秒鐘
[00:01:22.640 --> 00:01:24.760]  你看看這些就是
[00:01:24.760 --> 00:01:26.400]  全部都是動物
[00:01:26.400 --> 00:01:27.320]  有在地上的
[00:01:27.320 --> 00:01:29.680]  這是一個蟲
[00:01:29.680 --> 00:01:31.400]  有水裡面的動物
