
[00:00:00.000 --> 00:00:04.700]  我哋好多時關心自己身體嘅健康
[00:00:04.700 --> 00:00:09.000]  但係屬靈嘅健康又忘記咗
[00:00:09.000 --> 00:00:12.800]  咁記得前日我去報道醫院打預防針
[00:00:12.800 --> 00:00:17.200]  咁我打一隻叫做肺炎鏈球菌針
[00:00:17.200 --> 00:00:19.700]  咁個醫生話你打咗咩針呀
[00:00:19.700 --> 00:00:22.600]  我打咗三個新冠疫情嘅針
[00:00:22.600 --> 00:00:27.700]  又打咗呢個流感針
[00:00:27.700 --> 00:00:30.500]  佢話好多人就怕打針
[00:00:30.500 --> 00:00:32.600]  你又搵針嚟打咁咪奇人嚟喎
[00:00:32.600 --> 00:00:35.300]  咁樣我哋好著重自己嘅健康
[00:00:35.300 --> 00:00:37.100]  咁但係今日我要同大家講呢
[00:00:37.100 --> 00:00:39.100]  就作一個健康嘅基督徒
[00:00:39.100 --> 00:00:41.600]  照我多年嘅觀察呢
[00:00:41.600 --> 00:00:43.500]  基督徒就有分三種
[00:00:43.500 --> 00:00:45.900]  三種都係信耶穌嘅
[00:00:45.900 --> 00:00:48.400]  不過有唔同嘅情況
[00:00:48.400 --> 00:00:51.300]  咁我哋一齊嚟睇下你係屬於邊一種
[00:00:51.300 --> 00:00:53.100]  咁第一種呢
[00:00:53.100 --> 00:00:55.900]  我叫佢做混淆嘅基督徒
[00:00:55.900 --> 00:01:02.800]  咁呢一種基督徒係真心信主
[00:01:02.800 --> 00:01:05.700]  而且參加教會聚會
[00:01:05.700 --> 00:01:08.200]  同埋有米侍奉嘅
[00:01:08.200 --> 00:01:11.800]  但係佢一世人都係烏鴉烏鴉咁樣
[00:01:11.800 --> 00:01:14.200]  混混惡惡
[00:01:14.200 --> 00:01:17.800]  咁而且是非曲直又唔分得好清楚
[00:01:17.800 --> 00:01:21.000]  未信嘅人見到佢就唔係好想信耶穌
[00:01:21.000 --> 00:01:22.800]  就覺得耶穌唔係好吸引
[00:01:22.800 --> 00:01:25.000]  咁呢種混淆嘅基督徒
[00:01:25.000 --> 00:01:26.400]  咁或者你話啦
[00:01:26.400 --> 00:01:28.400]  牧師你梗係話我啦咁樣
[00:01:28.400 --> 00:01:30.700]  唔好咁快就對號入座
[00:01:30.700 --> 00:01:32.300]  聽埋第二種
[00:01:32.300 --> 00:01:34.600]  第二種呢仲差過第一種嘅
[00:01:34.600 --> 00:01:36.400]  咁第二種係咩呢
[00:01:36.400 --> 00:01:38.400]  就係一種世俗嘅基督徒
[00:01:38.400 --> 00:01:39.700]  咁呢種人呢
[00:01:39.700 --> 00:01:41.300]  係好精靈㗎喎
[00:01:41.300 --> 00:01:42.500]  醒目
[00:01:42.500 --> 00:01:44.700]  但係對教會呢就唔委身
[00:01:44.700 --> 00:01:48.100]  信仰呢只係生命嗰個裝飾嘅啫
[00:01:48.100 --> 00:01:51.000]  佢有困難呢就搵牧師搵上帝
[00:01:51.000 --> 00:01:54.100]  冇困難呢就無事不登三寶殿
[00:01:54.100 --> 00:01:55.900]  咁佢嘅價值觀呢
[00:01:55.900 --> 00:01:57.700]  係同未遂嘅人差唔多嘅
[00:01:57.700 --> 00:02:00.500]  咁未遂嘅人講粗口佢又講粗口
[00:02:00.500 --> 00:02:02.500]  未遂嘅人上網睇啲唔好嘅嘢
[00:02:02.500 --> 00:02:03.700]  佢又睇啲唔好嘅嘢
[00:02:03.700 --> 00:02:06.200]  咁呢種係世俗嘅基督徒
[00:02:06.200 --> 00:02:08.200]  咁第三種呢
[00:02:08.200 --> 00:02:10.000]  就可能係你呀我希望
[00:02:10.000 --> 00:02:11.900]  就係一種健康嘅基督徒
[00:02:11.900 --> 00:02:15.000]  咁今日呢段經文呢就教導我哋
[00:02:15.000 --> 00:02:17.000]  要做一個健康嘅基督徒
[00:02:17.000 --> 00:02:18.100]  你使唔使
[00:02:18.100 --> 00:02:20.700]  你使唔使做一個健康嘅基督徒呀
[00:02:20.700 --> 00:02:23.000]  唔使打針都可以做到嘅話
[00:02:23.000 --> 00:02:24.700]  咁我哋一齊睇下
[00:02:24.700 --> 00:02:26.500]  呢段經文點樣教導我哋
[00:02:26.500 --> 00:02:28.300]  要實際嘅生活裏面
[00:02:28.300 --> 00:02:29.900]  做一個健康嘅基督徒
[00:02:29.900 --> 00:02:31.300]  人哋行起上嚟
[00:02:31.300 --> 00:02:33.200]  嘩嗰個啟照基督徒
[00:02:33.200 --> 00:02:35.700]  我都要上嚟掃去睇下佢咁點咁樣
[00:02:35.700 --> 00:02:37.100]  即係要咁樣嘅
[00:02:37.100 --> 00:02:40.400]  咁我哋今日可能對你好有幫助
[00:02:40.400 --> 00:02:45.000]  咁呢度十幾節經文可以分開三
[00:02:45.000 --> 00:02:47.600]  可以分開三方面
[00:02:47.600 --> 00:02:49.800]  十二到十三節呢
[00:02:49.800 --> 00:02:54.300]  係我哋點樣同教會嘅領袖相處
[00:02:54.300 --> 00:02:57.400]  牧師傳道執事就教會嘅領袖
