
[00:00:00.000 --> 00:00:02.940]  今日經文主要講的內容
[00:00:02.940 --> 00:00:11.200]  其實是講神和以色列人正式立了這個約
[00:00:11.200 --> 00:00:13.800]  這個就是所謂西賴山之約
[00:00:13.800 --> 00:00:19.140]  這個西賴山的約就是用之前頒布的十誡
[00:00:19.140 --> 00:00:23.800]  以及之後第21到23章
[00:00:23.800 --> 00:00:28.500]  其實今日我們所看的經文其實是很多的
[00:00:28.500 --> 00:00:29.840]  是幾章的經文
[00:00:29.840 --> 00:00:36.900]  因為21到23章裡面講到很多神的律例和典章
[00:00:36.900 --> 00:00:40.200]  成為他們立約的基礎
[00:00:40.200 --> 00:00:46.300]  並且記載了接受約書的整個過程和儀式的內容
[00:00:46.300 --> 00:00:48.840]  以及摩西和長老上山
[00:00:48.840 --> 00:00:51.100]  到西賴山去見神
[00:00:51.100 --> 00:00:54.100]  然後宣讀約書
[00:00:54.100 --> 00:00:58.200]  以及你剛才讀經也要留意他們有灑血
[00:00:58.200 --> 00:01:04.000]  用灑血禮成為一個立約的憑據
[00:01:04.000 --> 00:01:09.400]  這個是摩西其實是第一次用口去頒布這個律法
[00:01:09.400 --> 00:01:10.600]  是用口頒布的
[00:01:10.600 --> 00:01:17.700]  之後摩西才自己再上山領受這個十誡的石板
[00:01:17.700 --> 00:01:23.000]  在山上停留了四十晝夜
[00:01:23.000 --> 00:01:28.300]  講完了只是講今天的大綱而已
[00:01:28.300 --> 00:01:33.400]  剛才讀的經文的內容大概就是這樣
[00:01:33.400 --> 00:01:38.400]  我們先做一個祈禱好嗎
[00:01:38.400 --> 00:01:40.900]  聖靈懇求你的臨在
[00:01:40.900 --> 00:01:43.200]  讓我們去明白
[00:01:43.200 --> 00:01:45.900]  能夠明白幾千年前的歷史
[00:01:45.900 --> 00:01:49.400]  和我們今天的生活有什麼關係
[00:01:49.400 --> 00:01:50.900]  以致我們能夠在你面前
[00:01:50.900 --> 00:01:54.700]  我們今天讓你自己的提醒感動
[00:01:54.700 --> 00:01:58.500]  讓我們能夠再在你面前再一次的去立志
[00:01:58.500 --> 00:02:01.700]  能夠再一次更新我們的內心
[00:02:01.700 --> 00:02:02.800]  我們感謝你
[00:02:02.800 --> 00:02:04.300]  要你的同在
[00:02:04.300 --> 00:02:06.200]  奉主耶穌基督的名求
[00:02:06.200 --> 00:02:07.400]  Amen
[00:02:07.400 --> 00:02:09.500]  首先我想問大家一個問題
[00:02:09.500 --> 00:02:12.300]  這個問題只是一個反思問題
[00:02:12.300 --> 00:02:14.000]  大家不用回答我
[00:02:14.000 --> 00:02:16.500]  你在你的生活裡面
[00:02:16.500 --> 00:02:19.400]  有哪一個人的吩咐
[00:02:19.400 --> 00:02:22.600]  你是一定會聽的
[00:02:22.600 --> 00:02:25.800]  你一定會聽他的吩咐
[00:02:25.800 --> 00:02:28.200]  可能是你老闆
[00:02:28.200 --> 00:02:29.700]  老婆
[00:02:29.700 --> 00:02:31.200]  老公
[00:02:31.200 --> 00:02:32.900]  老爸
