
[00:00:00.000 --> 00:00:02.960]  各位弟兄姊妹 各位朋友 平安
[00:00:02.960 --> 00:00:05.320]  今日可以講復活節快樂
[00:00:05.320 --> 00:00:08.560]  因為如果是說星期五受苦節就不講快樂
[00:00:08.560 --> 00:00:11.400]  今天復活節可以講復活節快樂
[00:00:11.400 --> 00:00:14.920]  我們也跟身邊的弟兄姊妹朋友說一聲復活節快樂
[00:00:14.920 --> 00:00:25.280]  有人說其實有時基督徒是否人格分裂
[00:00:25.280 --> 00:00:27.760]  星期五受苦節的時候
[00:00:27.760 --> 00:00:30.120]  我們不知道是否要很愁眉苦臉
[00:00:30.120 --> 00:00:33.280]  隔了兩天復活節就要很開心
[00:00:33.280 --> 00:00:37.520]  的確是經歷了一種轉變
[00:00:37.520 --> 00:00:40.560]  我們有昨天星期六的沉澱
[00:00:40.560 --> 00:00:42.280]  昨天星期六的沉澱
[00:00:42.280 --> 00:00:45.760]  也代表著耶穌基督的死亡 埋葬
[00:00:45.760 --> 00:00:49.600]  今天星期日 七天的頭一天復活
[00:00:49.600 --> 00:00:51.880]  昨晚大家夠不夠睡
[00:00:51.880 --> 00:00:54.240]  我見今日好像有些人也在打鼾
[00:00:54.240 --> 00:00:57.080]  話說回來 我們少了一個小時睡覺
[00:00:57.080 --> 00:00:59.480]  我不知道有沒有這麼巧
[00:00:59.480 --> 00:01:01.200]  真的試過復活節
[00:01:01.200 --> 00:01:03.080]  復活節一定是星期日
[00:01:03.080 --> 00:01:05.440]  轉Summer Time也一定是星期日
[00:01:05.440 --> 00:01:10.080]  但我估計他也一定試過復活節轉Summer Time
[00:01:10.080 --> 00:01:12.440]  我估計可能幾年一次
[00:01:12.440 --> 00:01:14.440]  因為較快了一個小時
[00:01:14.440 --> 00:01:15.960]  所以大家少睡一個小時
[00:01:15.960 --> 00:01:19.880]  我希望稍後這半小時大家不要睡著
[00:01:19.880 --> 00:01:22.920]  其實較快一個小時象徵著
[00:01:22.920 --> 00:01:26.200]  我們的日照時間又多了
[00:01:26.200 --> 00:01:28.440]  因為就算較快了一個小時
[00:01:28.440 --> 00:01:31.080]  今早如果你們早起床
[00:01:31.080 --> 00:01:33.680]  你會發現六點多已經天亮了
[00:01:33.680 --> 00:01:37.240]  對 你知不知道今晚會幾點天黑
[00:01:37.240 --> 00:01:41.200]  醫療辦公室說今晚會七點半天黑
[00:01:41.200 --> 00:01:43.280]  對 因為較快了
[00:01:43.280 --> 00:01:45.800]  昨天六點半 今天七點半
[00:01:45.800 --> 00:01:49.080]  隨著Summer Time
[00:01:49.080 --> 00:01:50.800]  其實隨著春天的來臨
[00:01:50.800 --> 00:01:53.320]  其實都是象徵著春天的來臨
[00:01:53.320 --> 00:01:55.480]  我們日照的時間長了
[00:01:55.480 --> 00:01:57.080]  大家都會很開心
[00:01:57.080 --> 00:01:58.760]  有一個盼望
[00:01:58.760 --> 00:02:00.360]  剛才和大軒談的時候
