
[00:00:00.000 --> 00:00:05.120]  等您展會平安 讓我們一起同心有禱告
[00:00:05.120 --> 00:00:09.620]  天父上帝 多謝您以您的名去招聚我們
[00:00:09.620 --> 00:00:13.280]  來到您的當中 我們一起去敬拜您
[00:00:13.280 --> 00:00:17.120]  也多謝您賜給我們很寶貴的華語
[00:00:17.120 --> 00:00:19.540]  願祢祝福 讓我們無論聽是講的
[00:00:19.540 --> 00:00:23.060]  同樣被祢自己的華語造就得幫助
[00:00:23.060 --> 00:00:25.160]  多謝祢說聽我們同心祈禱
[00:00:25.160 --> 00:00:29.360]  奉耶穌基督的名禱 阿們
[00:00:29.360 --> 00:00:32.560]  想問一下 過往這個星期
[00:00:32.560 --> 00:00:39.200]  大家對一些什麼新聞是最有深刻的印象
[00:00:39.200 --> 00:00:43.520]  這個星期其實都很多不同的消息和新聞
[00:00:43.520 --> 00:00:48.880]  我們其實每一天都是活在一個這麼複雜的時代
[00:00:48.880 --> 00:00:52.960]  看到很多事情發生 很多的資訊和消息
[00:00:52.960 --> 00:00:56.160]  不知道大家會有什麼感受
[00:00:56.160 --> 00:01:01.360]  我自己其實好像這張紙一樣
[00:01:01.360 --> 00:01:04.640]  其實覺得很悶 很多
[00:01:04.640 --> 00:01:07.680]  特別去到九月的時間
[00:01:07.680 --> 00:01:10.080]  一個新學季的開始
[00:01:10.080 --> 00:01:13.040]  經歷了很多改變 變遷的暑假
[00:01:13.040 --> 00:01:16.360]  身邊很多 可能是同學 可能是同事
[00:01:16.360 --> 00:01:18.960]  或者學生 老師
[00:01:18.960 --> 00:01:22.080]  一些朋友或者親人都離開了香港
[00:01:22.080 --> 00:01:26.320]  很多事情的處理方式都改變了
[00:01:26.320 --> 00:01:30.880]  我想不單單是老師 學生 家長和教育工作者
[00:01:30.880 --> 00:01:36.600]  其實是現在每一個身處在世界上的人
[00:01:36.600 --> 00:01:38.480]  每一位的香港人
[00:01:38.480 --> 00:01:42.120]  都同樣經歷了很多事情的發生
[00:01:42.120 --> 00:01:45.920]  可能都令到我們覺得很擠壓
[00:01:45.920 --> 00:01:48.920]  甚至覺得有壓力
[00:01:48.920 --> 00:01:51.760]  特別面對著過往很多累積下來
[00:01:51.760 --> 00:01:55.440]  沒有空間去沉澱整理的感受
[00:01:55.440 --> 00:01:57.760]  加上生活當中很多大大小小
[00:01:57.760 --> 00:02:00.320]  排山倒海的轉變
[00:02:00.320 --> 00:02:02.560]  很緊張的生活節奏步伐
[00:02:02.560 --> 00:02:04.680]  令到我們好像都沒有辦法
[00:02:04.680 --> 00:02:06.480]  可以停下來
[00:02:06.480 --> 00:02:10.240]  以致我們有時候可能都會覺得很累
[00:02:10.240 --> 00:02:12.640]  心裏面很累
[00:02:12.640 --> 00:02:14.960]  這份心情或者和我們今天
[00:02:14.960 --> 00:02:18.520]  經文裏面描述的「先知以利亞」都有些相似
[00:02:18.520 --> 00:02:25.160]  今日經文是剛剛主席幫我們讀出這網上的19章1至18節
[00:02:25.160 --> 00:02:27.440]  經文的背景是接續著
[00:02:27.440 --> 00:02:32.840]  先知以利亞在加密山上大敗了450位巴黎先知
[00:02:32.840 --> 00:02:35.920]  引起了一個群眾的起義
[00:02:35.920 --> 00:02:38.560]  他們將這些巴黎的先知殺了
[00:02:38.560 --> 00:02:42.120]  如果在一個政治的角度層面看
[00:02:42.120 --> 00:02:44.080]  以利亞當時真的有能力
[00:02:44.080 --> 00:02:47.960]  可以推翻阿哈和耶西別的政權
[00:02:47.960 --> 00:02:51.280]  阿哈是當時北角以色列的國王
[00:02:51.280 --> 00:02:54.800]  他妻子就是西頓的公主耶西別
[00:02:54.800 --> 00:02:57.520]  他教唆阿哈供奉巴黎
[00:02:57.520 --> 00:03:02.960]  甚至在都薩瑪利亞建立了巴黎的廟
[00:03:02.960 --> 00:03:07.080]  在廟裏面築了巴黎的祭壇
[00:03:07.080 --> 00:03:08.400]  以利亞就是這樣
[00:03:08.400 --> 00:03:11.920]  他生活在一個不公的世界
[00:03:11.920 --> 00:03:19.240]  會在一個由一個很敗壞、邪惡的王所管治的世界上
[00:03:19.240 --> 00:03:21.440]  他的同伴同樣是先知
[00:03:21.440 --> 00:03:23.720]  同樣是耶和華的代言人
[00:03:23.720 --> 00:03:26.960]  他是慘遭被殺害、被逮捕
[00:03:26.960 --> 00:03:29.240]  雖然當時的王是阿哈
[00:03:29.240 --> 00:03:34.000]  但是背後真正主事的其實就是皇后耶西別
[00:03:34.000 --> 00:03:35.000]  他非常風光
[00:03:35.000 --> 00:03:39.800]  他將以邦拜賈神的風氣帶入以色列當中
[00:03:39.800 --> 00:03:42.040]  而且在以色列全國
[00:03:42.040 --> 00:03:45.360]  供奉了四百多位巴黎的先知
[00:03:45.360 --> 00:03:49.240]  殺害那些決定堅信獨一真神耶和華
[00:03:49.240 --> 00:03:51.520]  反對耶西別的先知
[00:03:51.520 --> 00:03:55.040]  甚至以利亞曾經一度以為
[00:03:55.040 --> 00:04:02.240]  在當時真正信奉耶和華的先知只剩下他自己一個
[00:04:02.240 --> 00:04:06.200]  而耶西別還要去追殺他
[00:04:06.200 --> 00:04:09.160]  經歷了旱災荒延的成真
[00:04:09.160 --> 00:04:11.680]  耶和華藉烏鴉的供養
[00:04:11.680 --> 00:04:16.480]  甚至在寡婦企裏經歷重不間斷的供應
[00:04:16.480 --> 00:04:21.200]  和後期將寡婦的兒子復活這些神蹟
[00:04:21.200 --> 00:04:23.680]  去到旱災的第三年
[00:04:23.680 --> 00:04:28.760]  原本以為在加密山上這麼大的勝利
[00:04:28.760 --> 00:04:33.160]  會令到阿哈可以回心轉意痛改前非
[00:04:33.160 --> 00:04:36.800]  以色列的宗教復興終於都要來了
[00:04:36.800 --> 00:04:44.280]  不過耶西別卻是在聽到一眾巴力先知被殺之後
[00:04:44.280 --> 00:04:47.080]  發誓要殺以利亞
[00:04:47.080 --> 00:04:51.960]  以利亞作為一位公然對抗先知的領袖
[00:04:51.960 --> 00:04:56.080]  成為了耶西別追殺的對象
[00:04:56.080 --> 00:05:00.400]  以利亞他戰勝的其實不是巴力的先知
[00:05:00.400 --> 00:05:01.600]  也不是巴力
[00:05:01.600 --> 00:05:02.960]  巴力只是一個假的神
[00:05:02.960 --> 00:05:04.280]  本身沒有力量
[00:05:04.280 --> 00:05:07.560]  巴力先知也不過是借助一些邪惡的力量
[00:05:07.560 --> 00:05:09.800]  被邪惡的力量所支配
[00:05:09.800 --> 00:05:15.000]  以利亞靠著耶和華真正顛覆的是罪惡的權勢
