
[00:00:00.000 --> 00:00:02.000]  各位兄弟姊妹,主內平安
[00:00:02.000 --> 00:00:04.000]  我們感謝神的恩典
[00:00:04.000 --> 00:00:06.000]  讓我們同心圖共
[00:00:06.000 --> 00:00:11.000]  慈愛天父,我們何等感謝,讚美你的心恩
[00:00:11.000 --> 00:00:16.000]  昔日你猜你獨生是愛子耶穌基督降生為人
[00:00:16.000 --> 00:00:20.000]  為了我們罪,釘身在十字架上
[00:00:20.000 --> 00:00:23.000]  為我們而死,除去我們的罪
[00:00:23.000 --> 00:00:25.000]  我們相信你,接受你
[00:00:25.000 --> 00:00:27.000]  就成為你的兒女,天國的子民
[00:00:27.000 --> 00:00:30.000]  我們何等感謝,讚美你的心恩
[00:00:30.000 --> 00:00:33.000]  我們今日從聖經裡面看到
[00:00:33.000 --> 00:00:37.000]  父母的愛,能夠更加彰顯到神的大愛
[00:00:37.000 --> 00:00:40.000]  能夠愛神,愛人,愛弟兄姊妹
[00:00:40.000 --> 00:00:42.000]  聽我們的禱告
[00:00:42.000 --> 00:00:45.000]  奉主耶穌基督,聖名祈求,阿們
[00:00:45.000 --> 00:00:48.000]  今日母親節
[00:00:48.000 --> 00:00:53.000]  相信大家心裡面都很感謝我們的母親養育
[00:00:53.000 --> 00:00:56.000]  教導我們成材成人
[00:00:57.000 --> 00:00:59.000]  在今天早上
[00:00:59.000 --> 00:01:02.000]  適逢其會看到這個新聞
[00:01:02.000 --> 00:01:04.000]  都很感動我自己
[00:01:04.000 --> 00:01:07.000]  原來在二零一六年
[00:01:07.000 --> 00:01:10.000]  這位母親懷孕
[00:01:10.000 --> 00:01:14.000]  誰不知驗出她的女嬰孩
[00:01:14.000 --> 00:01:16.000]  原來在肚子裡已經有一種叫
[00:01:16.000 --> 00:01:20.000]  先天性的橫隔膜,缺陷
[00:01:20.000 --> 00:01:23.000]  掉了進去,即是黏不住
[00:01:24.000 --> 00:01:28.000]  到她還未成人
[00:01:28.000 --> 00:01:30.000]  即是三十幾個禮拜提早
[00:01:30.000 --> 00:01:33.000]  就要做一個很大的手術
[00:01:33.000 --> 00:01:37.000]  幸運救回來
[00:01:37.000 --> 00:01:40.000]  但是生出來的女嬰
[00:01:40.000 --> 00:01:43.000]  只有兩公斤,即是四磅四
[00:01:43.000 --> 00:01:45.000]  很難養得大
[00:01:45.000 --> 00:01:47.000]  誰不知真是窩不單行
[00:01:47.000 --> 00:01:50.000]  一出生又驗出另一種病
[00:01:50.000 --> 00:01:53.000]  又說不能醫治,更嚴重
[00:01:53.000 --> 00:01:57.000]  原來她是先天性的膽管閉塞
