
[00:00:00.000 --> 00:00:04.000]  領子妹們平安,我們先一起祈禱
[00:00:04.000 --> 00:00:06.000]  我們感謝你自己的恩典
[00:00:06.000 --> 00:00:10.000]  給我們在主耶穌的精神可以來到這裡敬拜你
[00:00:10.000 --> 00:00:13.000]  讚美你,並且聆聽你的話語
[00:00:13.000 --> 00:00:18.000]  我們求聖靈幫助我們一起學習你的話語的時候
[00:00:18.000 --> 00:00:22.000]  都預備好我們的心去遵行你的話
[00:00:22.000 --> 00:00:25.000]  奉耶穌基督的名祈禱,阿們
[00:00:26.000 --> 00:00:30.000]  在前一個星期,當我開始講彼得前書的時候
[00:00:30.000 --> 00:00:32.000]  就已經提過
[00:00:32.000 --> 00:00:35.000]  這封信的收信人
[00:00:35.000 --> 00:00:38.000]  是經歷過不同的苦難
[00:00:38.000 --> 00:00:42.000]  彼得故意不用「苦難」這個字眼
[00:00:42.000 --> 00:00:46.000]  而把它叫做「試煉」
[00:00:46.000 --> 00:00:48.000]  根據專家的推測
[00:00:48.000 --> 00:00:50.000]  那些受信人
[00:00:50.000 --> 00:00:54.000]  很有可能是經歷了離鄉別井的苦
[00:00:54.000 --> 00:00:56.000]  異等公民的苦
[00:00:56.000 --> 00:01:00.000]  以及被人誤會、譏諷的苦
[00:01:00.000 --> 00:01:03.000]  面對人生的苦難
[00:01:03.000 --> 00:01:05.000]  彼得教導他們
[00:01:05.000 --> 00:01:08.000]  要明白自己的身份
[00:01:08.000 --> 00:01:10.000]  在這個世界上
[00:01:10.000 --> 00:01:14.000]  我們會被世人看為是異鄉客
[00:01:14.000 --> 00:01:16.000]  受人歧視
[00:01:16.000 --> 00:01:20.000]  但是,如果我們明白自己的身份
[00:01:20.000 --> 00:01:23.000]  是上帝所揀選的
[00:01:23.000 --> 00:01:27.000]  我們就可以把苦難
[00:01:27.000 --> 00:01:30.000]  看成為是試煉
[00:01:30.000 --> 00:01:33.000]  帶著活的盼望
[00:01:33.000 --> 00:01:36.000]  將來在上帝、千萬天使
[00:01:36.000 --> 00:01:39.000]  以及所有天國子民面前
[00:01:39.000 --> 00:01:43.000]  得到稱讚、榮耀、尊貴
[00:01:43.000 --> 00:01:47.000]  上個星期,張傳道帶領我們思想
[00:01:47.000 --> 00:01:50.000]  一章十三節到二章三節
[00:01:50.000 --> 00:01:55.000]  提到我們既然有了聖潔的身份
[00:01:55.000 --> 00:01:59.000]  就要活出聖潔的生活
[00:01:59.000 --> 00:02:02.000]  如果我們的信仰
[00:02:02.000 --> 00:02:05.000]  沒有影響我們的行為
[00:02:05.000 --> 00:02:09.000]  那信仰就變成了裝飾品
[00:02:09.000 --> 00:02:11.000]  有美麗的外表
[00:02:11.000 --> 00:02:13.000]  給人家看看
[00:02:13.000 --> 00:02:17.000]  而未能真正享受到信仰
[00:02:17.000 --> 00:02:21.000]  帶給我們面對困難的力量
[00:02:21.000 --> 00:02:24.000]  那其實不是真正的信仰
