
[00:00:00.000 --> 00:00:02.000]  我哋一齊祈禱下
[00:00:02.000 --> 00:00:05.120]  多謝你恩典讓我哋起住一個清晨
[00:00:05.120 --> 00:00:07.440]  可以嚟到呢度聚集敬拜你
[00:00:07.440 --> 00:00:09.200]  學習你嘅話語
[00:00:09.200 --> 00:00:10.760]  求聖靈幫助我哋
[00:00:10.760 --> 00:00:11.840]  堅固我哋嘅心
[00:00:11.840 --> 00:00:14.440]  使我哋可以全心全意跟隨主
[00:00:14.440 --> 00:00:16.160]  奉耶穌基督的名祈禱
[00:00:16.160 --> 00:00:17.160]  阿門
[00:00:17.160 --> 00:00:21.200]  猶太人有一段嘅祈禱文呢
[00:00:21.200 --> 00:00:23.760]  係嗰啲虔誠嘅猶太教徒
[00:00:23.760 --> 00:00:26.440]  每日都會背三次嘅
[00:00:26.440 --> 00:00:30.800]  就係呢喺《新命紀》六章四至九節
[00:00:30.800 --> 00:00:32.360]  喺四至五節呢
[00:00:32.360 --> 00:00:33.800]  係一開始嗰度就話
[00:00:33.800 --> 00:00:35.560]  以色列你要聽
[00:00:35.560 --> 00:00:37.360]  耶和華我們的上帝
[00:00:37.360 --> 00:00:39.400]  是獨一的主
[00:00:39.400 --> 00:00:41.920]  你要盡心盡性盡力
[00:00:41.920 --> 00:00:46.000]  愛耶和華你的上帝
[00:00:46.000 --> 00:00:50.080]  當時耶穌被一位律法師問到佢
[00:00:50.080 --> 00:00:53.520]  解明宗最大嘅係邊條呢
[00:00:53.520 --> 00:00:56.400]  或者話最重要係邊一條呢
[00:00:56.400 --> 00:00:58.240]  主耶穌亦都回答話
[00:00:58.240 --> 00:01:00.240]  你要盡心盡性盡力
[00:01:00.240 --> 00:01:03.600]  盡意愛主你的上帝
[00:01:03.600 --> 00:01:06.800]  猶要愛倫如己
[00:01:06.800 --> 00:01:09.040]  咁簡單嚟講呢
[00:01:09.040 --> 00:01:15.920]  就係要人全心全意咁去愛上帝
[00:01:15.920 --> 00:01:21.200]  呢個係上帝對佢子民嘅期望
[00:01:21.200 --> 00:01:25.960]  今年我哋教嘅主題就係「全心全意」
[00:01:25.960 --> 00:01:30.520]  我哋對好多事物都可能會全情投入
[00:01:30.520 --> 00:01:35.320]  包括我哋嘅婚姻、家庭、工作或者事業
[00:01:35.320 --> 00:01:37.640]  有時我哋不自覺之間
[00:01:37.640 --> 00:01:43.240]  就會忽略咗對上帝嘅全心全意
[00:01:43.240 --> 00:01:45.960]  喺主耶穌好多教導當中
[00:01:45.960 --> 00:01:50.840]  其實都提到全心全意嘅重要
