
[00:00:00.000 --> 00:00:04.000]  大概當你開始認識神的時候
[00:00:04.000 --> 00:00:05.680]  如果你對神有疑惑
[00:00:05.680 --> 00:00:07.680]  祂是否真的存在 是否真的
[00:00:07.680 --> 00:00:09.680]  我們的結論是
[00:00:09.680 --> 00:00:11.680]  大概有兩條路可以走的
[00:00:11.680 --> 00:00:14.680]  第一條是可以走學術界的路
[00:00:14.680 --> 00:00:16.680]  CS Lewis那條路
[00:00:16.680 --> 00:00:19.680]  大家知道CS Lewis是基督教家庭長大的
[00:00:19.680 --> 00:00:22.680]  因為他後來媽媽得了癌症
[00:00:22.680 --> 00:00:24.680]  他拼命祈禱神醫治他
[00:00:24.680 --> 00:00:25.680]  後來神沒有醫治
[00:00:25.680 --> 00:00:26.680]  媽媽被神接走
[00:00:26.680 --> 00:00:28.680]  他因此很憎神
[00:00:28.680 --> 00:00:31.680]  所以他從感情上離開了神
[00:00:31.680 --> 00:00:32.680]  他從此離開基督教
[00:00:32.680 --> 00:00:35.680]  因為他是一個極度理性的人
[00:00:35.680 --> 00:00:38.680]  後來他透過各自的研究基督教
[00:00:38.680 --> 00:00:40.680]  他不得不承認這位神是真的
[00:00:40.680 --> 00:00:45.680]  所以他自己說他由情感上離開了神
[00:00:45.680 --> 00:00:47.680]  然後由理性上又回來
[00:00:47.680 --> 00:00:51.680]  這是其中一個可以解決疑惑的方法
[00:00:51.680 --> 00:00:54.680]  但是世上大部分的人
[00:00:54.680 --> 00:00:57.680]  99.9%的人都不會用這種方法
[00:00:57.680 --> 00:00:58.680]  為什麼呢?
[00:00:58.680 --> 00:01:00.680]  因為我們不是學術界的人
[00:01:00.680 --> 00:01:02.680]  很少人有這樣的理性
[00:01:02.680 --> 00:01:05.680]  就好像Elise Jobo或George McDowell那些人
[00:01:05.680 --> 00:01:07.680]  全程去耶路撒冷
[00:01:07.680 --> 00:01:10.680]  去倫敦的圖書館
[00:01:10.680 --> 00:01:11.680]  全部找尋資料
[00:01:11.680 --> 00:01:15.680]  最後發現原來聖經所說的都很真
[00:01:15.680 --> 00:01:17.680]  當然神興起一些好的學者
[00:01:17.680 --> 00:01:21.680]  讓我們知道這些資料實在太寶貴了
[00:01:21.680 --> 00:01:23.680]  大部分我們這些平民百姓
[00:01:23.680 --> 00:01:28.680]  哪有這樣的時間和錢去探索學術世界
[00:01:28.680 --> 00:01:30.680]  還有沒有一些簡單的方法呢?
[00:01:30.680 --> 00:01:33.680]  有的,其實有一個很簡單的方法
[00:01:33.680 --> 00:01:35.680]  是適合所有的平民百姓
[00:01:35.680 --> 00:01:38.680]  即使還沒讀過書的人都可以用的
[00:01:38.680 --> 00:01:39.680]  就是祈禱
[00:01:39.680 --> 00:01:41.680]  就是你自己來到神面前
[00:01:41.680 --> 00:01:44.680]  將你的疑惑直接帶到神面前
[00:01:44.680 --> 00:01:46.680]  如果你真的是一位神
[00:01:46.680 --> 00:01:47.680]  如果你是真的
[00:01:47.680 --> 00:01:49.680]  你聽到我說話的
[00:01:49.680 --> 00:01:51.680]  可不可以讓我經歷到你呢?
[00:01:51.680 --> 00:01:52.680]  Touch my heart
[00:01:52.680 --> 00:01:53.680]  我就open
[00:01:53.680 --> 00:01:54.680]  我現在還不知道我有疑惑
[00:01:54.680 --> 00:01:56.680]  我就很honest
[00:01:56.680 --> 00:02:00.680]  將我的疑惑帶到你的面前
[00:02:00.680 --> 00:02:03.680]  很多人都試過
[00:02:03.680 --> 00:02:04.680]  我都鼓勵很多人去試
[00:02:04.680 --> 00:02:06.680]  甚至未信主的人
[00:02:06.680 --> 00:02:09.680]  很多人就是每次試都靈的
[00:02:09.680 --> 00:02:10.680]  好像以前有一個學生
[00:02:10.680 --> 00:02:14.680]  來了一年都未信主
[00:02:14.680 --> 00:02:16.680]  我說你不如試試吧
[00:02:16.680 --> 00:02:17.680]  我知道你有疑惑
[00:02:17.680 --> 00:02:19.680]  有時我都未必可以convince到你
[00:02:19.680 --> 00:02:20.680]  不如你祈禱吧
[00:02:20.680 --> 00:02:23.680]  將你的疑惑直接帶到神面前
[00:02:23.680 --> 00:02:24.680]  如果你是真的
[00:02:24.680 --> 00:02:26.680]  你讓我有機會認識你
[00:02:26.680 --> 00:02:28.680]  接著他就做祈禱
[00:02:28.680 --> 00:02:29.680]  有一天他駕車
[00:02:29.680 --> 00:02:30.680]  突然有感動
[00:02:30.680 --> 00:02:31.680]  做了祈禱
[00:02:31.680 --> 00:02:34.680]  如果那天突然有彩虹顯現在我面前
[00:02:34.680 --> 00:02:35.680]  我就相信了
[00:02:35.680 --> 00:02:36.680]  突然祈禱
[00:02:36.680 --> 00:02:38.680]  然後真的有彩虹在他面前
[00:02:38.680 --> 00:02:39.680]  接著他就很感動
[00:02:39.680 --> 00:02:41.680]  馬上pull the car aside
[00:02:41.680 --> 00:02:43.680]  接著他就馬上打電話
[00:02:43.680 --> 00:02:45.680]  我現在馬上要決志
[00:02:45.680 --> 00:02:47.680]  因為神聽我祈禱了
[00:02:47.680 --> 00:02:50.680]  這種方式是最簡單最單純
