
[00:00:00.000 --> 00:00:05.000]  聖經講到 以樂與主同行三百年
[00:00:05.000 --> 00:00:08.000]  今日我們會藉著以樂的生命
[00:00:08.000 --> 00:00:12.000]  去看到一個很重要人生的真理
[00:00:12.000 --> 00:00:15.000]  就是我們怎樣可以堅持到底
[00:00:15.000 --> 00:00:18.000]  可以人生去到最終
[00:00:18.000 --> 00:00:22.000]  我們能夠完成我們人生的使命
[00:00:22.000 --> 00:00:25.000]  回到主的懷抱裏面
[00:00:25.000 --> 00:00:30.000]  沒有失腳 究竟有什麼秘訣我們可以得到呢
[00:00:30.000 --> 00:00:33.000]  讓我們在神面前再一次同心禱告
[00:00:33.000 --> 00:00:36.000]  求主藉著他仆人以樂的生命
[00:00:36.000 --> 00:00:40.000]  去啟發我們 我們一起禱告
[00:00:40.000 --> 00:00:44.000]  親愛的基督上帝 再一次在你面前我們安靜
[00:00:44.000 --> 00:00:48.000]  求你帶領我們 引領我們的心
[00:00:48.000 --> 00:00:50.000]  在這個紛亂的世間
[00:00:50.000 --> 00:00:53.000]  給我們很多紛亂的訊息
[00:00:53.000 --> 00:00:55.000]  我們的思想亦都很紛亂
[00:00:55.000 --> 00:00:59.000]  但求你的話語潔淨我們
[00:00:59.000 --> 00:01:02.000]  求你的真理潔淨我們
[00:01:02.000 --> 00:01:04.000]  洗淨我們的心靈
[00:01:04.000 --> 00:01:09.000]  叫我們完全可以得著你的指教
[00:01:09.000 --> 00:01:12.000]  叫我們學會怎樣真是與神同行
[00:01:12.000 --> 00:01:15.000]  怎樣去仰望主你的在來
[00:01:15.000 --> 00:01:17.000]  求主你指教我們
[00:01:17.000 --> 00:01:20.000]  聽你同心祈禱 奉耶穌基督的聖名
[00:01:20.000 --> 00:01:25.000]  阿門 講到怎樣可以堅持到底
[00:01:25.000 --> 00:01:28.000]  即是我們俗語所講 不要衰修尾
[00:01:28.000 --> 00:01:29.000]  怎樣可以呢
[00:01:29.000 --> 00:01:32.000]  或者我們從一些失敗的例子
[00:01:32.000 --> 00:01:37.000]  或者成功的例子去有一些參考
[00:01:37.000 --> 00:01:42.000]  話說在外國有一個很出名的長途泳手
[00:01:42.000 --> 00:01:45.000]  知道甚麼是長途泳手嗎
[00:01:45.000 --> 00:01:48.000]  即是由很遠距離 不是一百米二百米
[00:01:48.000 --> 00:01:50.000]  是由幾公里
[00:01:50.000 --> 00:01:53.000]  由很遠的長途泳手
[00:01:53.000 --> 00:01:55.000]  他們有一個創舉
[00:01:55.000 --> 00:01:58.000]  就在海 其中一個海島
[00:01:58.000 --> 00:02:01.000]  就游回去他的國家的海岸
[00:02:01.000 --> 00:02:03.000]  很遠的
[00:02:03.000 --> 00:02:06.000]  很多人知道他很有實力
[00:02:06.000 --> 00:02:10.000]  知道他這樣 他就安排了
[00:02:10.000 --> 00:02:12.000]  有記者去訪問他
[00:02:12.000 --> 00:02:14.000]  他就事先張揚
[00:02:14.000 --> 00:02:16.000]  他就宣告
[00:02:16.000 --> 00:02:18.000]  他要由這個創舉
[00:02:18.000 --> 00:02:23.000]  由這個海島游回去他自己國家的海灣
[00:02:23.000 --> 00:02:27.000]  所以很多人都知道他有訓練 有準備
[00:02:27.000 --> 00:02:32.000]  到突然想去創這個紀錄的時候
[00:02:32.000 --> 00:02:35.000]  那天他很有信心
[00:02:35.000 --> 00:02:37.000]  他開始游泳
[00:02:37.000 --> 00:02:40.000]  在水裏面 在前面有一個渡航的艇
[00:02:40.000 --> 00:02:43.000]  在左近去游 保護著他
[00:02:43.000 --> 00:02:45.000]  他就一路游 一路游
[00:02:45.000 --> 00:02:50.000]  游到中間 游到差不多很疲倦
[00:02:50.000 --> 00:02:52.000]  差不多快要結束的時候
[00:02:52.000 --> 00:02:57.000]  他看到前面很模糊
[00:02:57.000 --> 00:02:58.000]  他游到很疲倦
[00:02:58.000 --> 00:03:00.000]  他手腳都很沒力了
[00:03:00.000 --> 00:03:02.000]  他又很辛苦
[00:03:02.000 --> 00:03:06.000]  他一向前望 又望不到岸邊
[00:03:06.000 --> 00:03:10.000]  他一路都覺得很困難
[00:03:10.000 --> 00:03:13.000]  到最後他放棄了
[00:03:13.000 --> 00:03:15.000]  因為那天很大霧
[00:03:15.000 --> 00:03:19.000]  那個季節適合游的時候很大霧
[00:03:19.000 --> 00:03:21.000]  誰知他放棄了伸手
[00:03:21.000 --> 00:03:25.000]  船就帶了他上 上了艇
[00:03:25.000 --> 00:03:27.000]  船走了一段時間
[00:03:27.000 --> 00:03:29.000]  他就靠近岸邊
[00:03:29.000 --> 00:03:31.000]  那些人去訪問他
[00:03:31.000 --> 00:03:33.000]  他就沒什麼聲音
[00:03:33.000 --> 00:03:35.000]  他不成功
[00:03:35.000 --> 00:03:37.000]  他就先前上後
[00:03:37.000 --> 00:03:39.000]  他就走去這個沙灘
[00:03:39.000 --> 00:03:41.000]  本來想著上岸這個終點
[00:03:41.000 --> 00:03:45.000]  在那裡坐了一天
[00:03:45.000 --> 00:03:47.000]  而且他又很不甘心
[00:03:47.000 --> 00:03:49.000]  他覺得他這個計劃
[00:03:49.000 --> 00:03:52.000]  按他的估計
[00:03:52.000 --> 00:03:54.000]  他自己的能力是應該做得到的
[00:03:54.000 --> 00:03:57.000]  所以他再操練一段日子
[00:03:57.000 --> 00:03:59.000]  他又捲土重來
[00:03:59.000 --> 00:04:01.000]  他又再來一次
[00:04:01.000 --> 00:04:02.000]  這次他就低調一點
[00:04:02.000 --> 00:04:03.000]  他沒什麼張揚
[00:04:03.000 --> 00:04:05.000]  但也都被人知道了
[00:04:05.000 --> 00:04:07.000]  這次又跳下水
[00:04:07.000 --> 00:04:10.000]  又向前很努力地游
[00:04:10.000 --> 00:04:12.000]  一樣去到差不多的距離
[00:04:12.000 --> 00:04:15.000]  他又是游得很筋疲力盡
[00:04:15.000 --> 00:04:17.000]  很吃力
[00:04:17.000 --> 00:04:21.000]  他向前看一樣看不到那個終點
[00:04:21.000 --> 00:04:25.000]  但到最後他竟然堅持到底
[00:04:25.000 --> 00:04:27.000]  游到去上岸
[00:04:27.000 --> 00:04:30.000]  一上岸有些記者訪問他
[00:04:30.000 --> 00:04:32.000]  他回了氣坐下
[00:04:32.000 --> 00:04:33.000]  那些記者就問
[00:04:33.000 --> 00:04:35.000]  這次和上次有什麼不同
[00:04:35.000 --> 00:04:38.000]  你是不是有些特別的訓練
[00:04:38.000 --> 00:04:41.000]  有什麼特別的這次狀態好一點
[00:04:41.000 --> 00:04:42.000]  是不是天氣不同
[00:04:42.000 --> 00:04:44.000]  天氣很配合
[00:04:44.000 --> 00:04:45.000]  海水怎麼樣
[00:04:45.000 --> 00:04:47.000]  水流的問題
[00:04:47.000 --> 00:04:48.000]  他說都不是
[00:04:48.000 --> 00:04:50.000]  這次和上次一樣困難
[00:04:50.000 --> 00:04:53.000]  這次和上次的準備一樣充足
[00:04:53.000 --> 00:04:55.000]  但一樣去到那個距離
[00:04:55.000 --> 00:04:58.000]  游到差不多很近終點的時候
[00:04:58.000 --> 00:05:02.000]  一樣很大霧
[00:05:02.000 --> 00:05:04.000]  這次為什麼會成功呢
[00:05:04.000 --> 00:05:07.000]  就是當他幾乎想放棄的時候
[00:05:07.000 --> 00:05:09.000]  他向前看
