
[00:00:00.000 --> 00:00:05.000]  大家好,我們今天會來到一個新的廣東系列
[00:00:05.000 --> 00:00:07.000]  就是講到喜樂的殺手
[00:00:07.000 --> 00:00:11.000]  就是我們都喜歡過一些很喜樂的生活
[00:00:11.000 --> 00:00:14.000]  但是在喜樂當中,在人生當中
[00:00:14.000 --> 00:00:17.000]  會有一些殺手會扼殺我們的喜樂
[00:00:17.000 --> 00:00:21.000]  所以喜樂就是一樣我們都很想要的東西
[00:00:21.000 --> 00:00:25.000]  我們年輕的時候比較容易喜樂
[00:00:25.000 --> 00:00:27.000]  但是你發覺年紀越大
[00:00:27.000 --> 00:00:30.000]  我們喜樂的事就會越來越少
[00:00:30.000 --> 00:00:32.000]  當然這個weekend很開心
[00:00:32.000 --> 00:00:34.000]  有些很喜樂的事發生
[00:00:34.000 --> 00:00:36.000]  就是星期五參加一個畢業典禮
[00:00:36.000 --> 00:00:39.000]  星期六上了一個畢業典禮
[00:00:39.000 --> 00:00:41.000]  下了一個婚禮,買了一個fairwell
[00:00:41.000 --> 00:00:43.000]  非常喜樂
[00:00:43.000 --> 00:00:47.000]  但是我們今天會看看有形的物質
[00:00:47.000 --> 00:00:51.000]  先講講有形的物質怎樣影響我們的喜樂
[00:00:51.000 --> 00:00:53.000]  再講一些無形的物質
[00:00:53.000 --> 00:00:57.000]  有形的物質有時會影響我們的喜樂
[00:00:57.000 --> 00:01:00.000]  我上年的年底就搬屋
[00:01:00.000 --> 00:01:03.000]  搬到新的社區就發覺
[00:01:03.000 --> 00:01:08.000]  新的社區的人喜歡把車停在開車道上
[00:01:08.000 --> 00:01:10.000]  不喜歡停在車廂裡面
[00:01:10.000 --> 00:01:12.000]  後來我都覺得奇怪
[00:01:12.000 --> 00:01:15.000]  為什麼人們喜歡把車停在開車道上呢
[00:01:15.000 --> 00:01:18.000]  有機會看到他們開開車道的時候
[00:01:18.000 --> 00:01:20.000]  那個開車道門的時候發覺
[00:01:20.000 --> 00:01:24.000]  那個開車道裡面是裝滿了物件
[00:01:24.000 --> 00:01:28.000]  終於明白原來大家都把開車道當成倉庫
[00:01:28.000 --> 00:01:30.000]  然後開車道就用來停車
