
[00:00:00.000 --> 00:00:06.800]  第一個就是耶穌基督再回來的預兆
[00:00:06.800 --> 00:00:09.120]  預兆英文就叫sign
[00:00:09.120 --> 00:00:10.000]  一個sign
[00:00:10.000 --> 00:00:14.000]  一個sign就好似譬如你去到一間鋪頭
[00:00:14.000 --> 00:00:17.120]  你會看看這個鋪頭叫什麼名字
[00:00:17.120 --> 00:00:20.120]  叫做豪基士多
[00:00:20.120 --> 00:00:22.080]  知道是士多了
[00:00:22.080 --> 00:00:24.200]  你不會去士多裡面問他
[00:00:24.200 --> 00:00:26.560]  先生有沒有鐵扇賣
[00:00:26.560 --> 00:00:30.640]  或者有沒有冷氣機賣 士多不賣這些東西
[00:00:30.640 --> 00:00:34.640]  所以sign的意思就是告訴你裡面是做什麼的
[00:00:34.640 --> 00:00:36.960]  所以主耶穌基督回來的時候
[00:00:36.960 --> 00:00:38.440]  是有一些不同的
[00:00:38.440 --> 00:00:39.960]  我們中文叫做預兆
[00:00:39.960 --> 00:00:41.240]  這個譯法也是對的
[00:00:41.240 --> 00:00:44.040]  但是這個原意其實是一個sign
[00:00:44.040 --> 00:00:45.040]  一個sign
[00:00:45.040 --> 00:00:45.760]  OK
[00:00:45.760 --> 00:00:47.640]  第一件事就是說
[00:00:47.640 --> 00:00:49.840]  福音要傳遍天下
[00:00:49.840 --> 00:00:52.640]  萬族萬國不聞救恩
[00:00:52.640 --> 00:00:55.840]  其實我寫到1、2、3、4
[00:00:55.840 --> 00:00:59.640]  有些不是因為一個時間的次序
[00:00:59.640 --> 00:01:01.240]  chronological order
[00:01:01.240 --> 00:01:02.640]  什麼叫時間次序
[00:01:02.640 --> 00:01:04.640]  譬如我這樣我剛才回來要怎樣
[00:01:04.640 --> 00:01:08.040]  首先我要在家裡走去停車場那裡
[00:01:08.040 --> 00:01:09.240]  然後拿一輛車
[00:01:09.240 --> 00:01:12.440]  然後就開車下去公路
[00:01:12.440 --> 00:01:14.640]  然後就回到石門
[00:01:14.640 --> 00:01:16.640]  這裡的停車場停下來我要走上來
[00:01:16.640 --> 00:01:18.440]  我是不是有個時間工序的
[00:01:18.440 --> 00:01:22.640]  我不可能我第一件事就在港台站著
[00:01:22.640 --> 00:01:24.240]  我不用開車嗎
[00:01:24.240 --> 00:01:25.440]  我怎樣回來呢
[00:01:25.440 --> 00:01:27.640]  所以有一個chronological order
[00:01:27.640 --> 00:01:29.240]  一個一個的時間工序
