
[00:00:00.000 --> 00:00:02.400]  開始的時候我都想用回
[00:00:02.400 --> 00:00:06.640]  世界末日來給大家去思考一下
[00:00:06.640 --> 00:00:09.200]  在世界末日大家有些什麼聯想
[00:00:09.200 --> 00:00:11.040]  在世界末日的時候
[00:00:11.040 --> 00:00:13.240]  大家做過些什麼
[00:00:13.240 --> 00:00:16.200]  或者你有沒有為世界末日做些什麼準備
[00:00:16.200 --> 00:00:17.400]  如果你看很多新聞
[00:00:17.400 --> 00:00:18.400]  你還記得十日前
[00:00:18.400 --> 00:00:19.640]  就是世界末日之前
[00:00:19.640 --> 00:00:22.200]  有人真的做方舟
[00:00:22.200 --> 00:00:27.840]  又有人買一些末日的救世包裹
[00:00:27.840 --> 00:00:30.680]  一個不知道十元多少錢
[00:00:30.680 --> 00:00:32.680]  賣了都賺了不少錢
[00:00:32.680 --> 00:00:34.040]  大家末日的時候
[00:00:34.040 --> 00:00:35.240]  有沒有曾經想過
[00:00:35.240 --> 00:00:36.480]  你打算做些什麼
[00:00:36.480 --> 00:00:39.000]  在世界末日之前
[00:00:39.000 --> 00:00:40.160]  沒有人想過
[00:00:40.160 --> 00:00:41.240]  有人想過
[00:00:41.240 --> 00:00:42.520]  我覺得有新聞頗有趣
[00:00:42.520 --> 00:00:44.400]  他都是末日之後寫的
[00:00:44.400 --> 00:00:45.480]  12月21日之後寫的
[00:00:45.480 --> 00:00:47.480]  他說世界末日應該
[00:00:47.480 --> 00:00:50.240]  做一個叫做最後的晚餐
[00:00:50.240 --> 00:00:52.680]  世界末日應該吃的最後的晚餐
[00:00:52.680 --> 00:00:53.720]  Last Supper
[00:00:53.720 --> 00:00:58.160]  他就列了一些最後的晚餐應該吃的
[00:00:58.160 --> 00:00:59.320]  我們又沒有想過
[00:00:59.320 --> 00:01:00.920]  這個人想得很快
[00:01:00.920 --> 00:01:02.680]  我們只知道聖經告訴我們
[00:01:02.680 --> 00:01:05.000]  耶穌和叛徒吃了最後的晚餐
[00:01:05.000 --> 00:01:06.200]  他就想到原來世界末日
[00:01:06.200 --> 00:01:09.200]  都可以想到吃最後的晚餐
[00:01:09.200 --> 00:01:10.440]  大家知不知道世界末日
[00:01:10.440 --> 00:01:14.600]  有些人都頗期望世界末日做一件事
[00:01:14.600 --> 00:01:16.600]  大家知不知道
[00:01:16.600 --> 00:01:17.120]  不知道吧
[00:01:17.120 --> 00:01:18.520]  大家還記不記得上次
[00:01:18.520 --> 00:01:22.560]  約翰爾十章的訊息說什麼
[00:01:22.560 --> 00:01:26.000]  官司一定記得是吧
[00:01:26.000 --> 00:01:26.880]  你都不記得
[00:01:26.880 --> 00:01:28.320]  真慘
[00:01:28.320 --> 00:01:29.440]  我估計他一定記得
[00:01:29.440 --> 00:01:30.440]  但他不好意思說
[00:01:30.440 --> 00:01:34.320]  上次令亮徐徒跟我們說
[00:01:34.320 --> 00:01:37.320]  二十章說什麼
[00:01:37.320 --> 00:01:39.400]  信什麼
[00:01:39.400 --> 00:01:41.720]  信耶穌
[00:01:41.720 --> 00:01:42.720]  大家知不知道
[00:01:42.720 --> 00:01:43.560]  其中一個人
[00:01:43.560 --> 00:01:46.440]  有些人我們前兩大信仰班的時候
[00:01:46.440 --> 00:01:47.480]  有人問一個問題
[00:01:47.480 --> 00:01:50.160]  他說牧師信耶穌其實是好的
[00:01:50.160 --> 00:01:52.760]  不過那麼早信是很慘的
[00:01:52.760 --> 00:01:54.160]  大家那麼早信了耶穌
[00:01:54.160 --> 00:01:55.240]  就要回來教會
[00:01:55.240 --> 00:01:57.840]  然後今天早上九點你都要走回來
[00:01:57.840 --> 00:02:00.040]  好像有一點點不回來崇拜
[00:02:00.040 --> 00:02:00.960]  不好意思
[00:02:00.960 --> 00:02:04.000]  所以有些人就說牧師不如讓我玩夠
[00:02:04.000 --> 00:02:07.400]  最後 last minute 才來信耶穌
[00:02:07.400 --> 00:02:08.720]  好不好
[00:02:08.720 --> 00:02:09.320]  挺好的
[00:02:09.320 --> 00:02:10.720]  又可以一起上天堂
[00:02:10.720 --> 00:02:12.360]  大家天堂見
[00:02:12.360 --> 00:02:13.680]  等到 last day
[00:02:13.680 --> 00:02:15.720]  就是 last minute 才信是最好的
[00:02:15.720 --> 00:02:16.920]  所以世界末日
[00:02:16.920 --> 00:02:19.400]  原來有些人一早想著
[00:02:19.400 --> 00:02:20.520]  信耶穌
[00:02:20.520 --> 00:02:22.400]  讓我最後一刻才信
[00:02:22.400 --> 00:02:23.920]  牧師耶穌真是好的
[00:02:23.920 --> 00:02:26.480]  尤其有時我們跟老人家有傳福音也是的
[00:02:26.480 --> 00:02:28.240]  無論年紀大還是年輕
[00:02:28.240 --> 00:02:30.200]  他說牧師信耶穌也好
[00:02:30.200 --> 00:02:31.800]  不過讓我最後才信
[00:02:31.800 --> 00:02:33.480]  現在這麼多事情要做
[00:02:33.480 --> 00:02:36.640]  我要處理家裡很多神主牌等等
[00:02:36.640 --> 00:02:39.080]  有些人真的很有觀念
[00:02:39.080 --> 00:02:40.600]  等到世界末日
[00:02:40.600 --> 00:02:43.800]  讓我最後一分鐘才來信耶穌
[00:02:43.800 --> 00:02:46.600]  大家覺得好不好
[00:02:46.600 --> 00:02:49.920]  這個就是我們經常要回答的問題
[00:02:49.920 --> 00:02:51.520]  我經常問
[00:02:51.520 --> 00:02:55.560]  誰是最後一個世界末日
[00:02:55.560 --> 00:02:58.480]  哪一秒鐘、哪一分鐘才是 last minute
[00:02:58.480 --> 00:03:00.680]  有誰知道
[00:03:00.680 --> 00:03:02.160]  沒有人知道
[00:03:02.160 --> 00:03:04.160]  所以當你聽到世界末日
[00:03:04.160 --> 00:03:06.360]  讓我最後一分鐘來信耶穌
[00:03:06.360 --> 00:03:10.120]  其實沒有人知道何時是你的末日
[00:03:10.120 --> 00:03:14.280]  何時是你人生的最後一刻
[00:03:14.280 --> 00:03:16.800]  所以是逐一一句說話
[00:03:16.800 --> 00:03:18.000]  很特別
[00:03:18.000 --> 00:03:20.560]  我不知道現代人有沒有聽過
[00:03:20.560 --> 00:03:21.920]  有一句話叫什麼
[00:03:21.920 --> 00:03:24.800]  「有早知」是什麼
[00:03:24.800 --> 00:03:25.960]  沒有什麼人懂
[00:03:25.960 --> 00:03:27.560]  太年輕可能不懂
[00:03:27.560 --> 00:03:29.120]  可能鄧執事他也懂
[00:03:29.120 --> 00:03:30.480]  黎執事他也懂
