
[00:00:00.000 --> 00:00:04.000]  請姐妹讓我們聽上帝的悼意,讓我們先同心禱告
[00:00:04.000 --> 00:00:09.000]  親愛的天父,多謝祢讓我們能夠再次回到祢的說話裏面,一同學習
[00:00:09.000 --> 00:00:14.000]  天父,我求祢與我們同在,特別在加拿大這個地方
[00:00:14.000 --> 00:00:19.000]  我們有時上花教會,也因著天氣的緣故,我們不能夠回來
[00:00:19.000 --> 00:00:24.000]  但感謝祢讓我們在這個時代能夠有科技,讓我們能夠透過網絡
[00:00:24.000 --> 00:00:26.000]  我們能夠聽姐妹得到鬼樣
[00:00:26.000 --> 00:00:28.000]  我們求祢繼續與我們同在
[00:00:28.000 --> 00:00:33.000]  讓我們今天整個教會,雖然弟兄姐妹未能夠回來教會當中
[00:00:33.000 --> 00:00:37.000]  一同聚會仰望,但仍然主祢的道是不會被止息
[00:00:37.000 --> 00:00:42.000]  求祢幫助我們,透過聖靈的引導,讓我們更明白上帝的心
[00:00:42.000 --> 00:00:48.000]  我們同心禱告感謝,奉靠主耶穌基督,得聖靈治瘤,阿們
[00:00:48.000 --> 00:00:52.000]  有一個俗語叫做「養兒方知父母心」
[00:00:52.000 --> 00:01:01.000]  似乎真是在這個世界裏面,我們對人越關心,很容易我們反而成為在感情上受到傷害的那一個
[00:01:01.000 --> 00:01:07.000]  為什麼我這樣說呢?因為在我們正在看的《仕途行傳》第十三章裏面
[00:01:07.000 --> 00:01:15.000]  我們已經探討聖靈怎樣引導門徒,他們一直關心著上帝認識的人
[00:01:15.000 --> 00:01:19.000]  於是乎他們到不同的地方去將主的道傳開
[00:01:19.000 --> 00:01:23.000]  但是當我們去看見他們去傳開主道的時候
[00:01:23.000 --> 00:01:29.000]  反而往往被攻擊的是一班猶太人,是門徒他們自己的同族的人
[00:01:29.000 --> 00:01:34.000]  他們越關心,似乎亦都使得他們雖然一方面很緊張他們靈命的發展
[00:01:34.000 --> 00:01:37.000]  但同時亦都是最受傷害
[00:01:37.000 --> 00:01:44.000]  其實在這個時候亦都讓我們看一下,真正最傷害神的群體,是否真是一些不信主的人呢?
[00:01:44.000 --> 00:01:51.000]  反而我們在聖經裏面,甚至在我們今天的教會當中,我們見到原來最傷上帝的心的人
[00:01:51.000 --> 00:01:54.000]  正正就是一班我們稱之為基督徒
[00:01:54.000 --> 00:01:58.000]  今天我們會再次回來去看《仕途行傳》第十三章
[00:01:58.000 --> 00:02:01.000]  我們會從第十三節看到第四十三節
[00:02:01.000 --> 00:02:04.000]  看完經文當中,讓我們更加去明白到
[00:02:04.000 --> 00:02:10.000]  神怎樣真是為著我們的好處去花盡心思
[00:02:10.000 --> 00:02:15.000]  甚至祂有時是因著我們對祂的拒絕,受到祂的冤屈
[00:02:15.000 --> 00:02:21.000]  而祂仍然不捨不棄我們,希望我們能夠重新回到上帝的面前
[00:02:21.000 --> 00:02:27.000]  我也希望透過今天這段經文,能夠與弟兄姊妹一起更加去體貼上帝祂的心腸
[00:02:27.000 --> 00:02:31.000]  讓我們先看一下先前第十三章第一至第十二節
[00:02:31.000 --> 00:02:36.000]  我們在先前已經看過了,是當聖靈與人同宮的時候
[00:02:36.000 --> 00:02:42.000]  即是說保羅和巴拿巴面對著龐大的一批地方勢力
[00:02:42.000 --> 00:02:44.000]  我們稱之為地頭蟲的人
[00:02:44.000 --> 00:02:50.000]  他們與當地的官商去勾結,但是他們卻是一班猶太人來的
[00:02:50.000 --> 00:02:54.000]  我們看來保羅他們的傳道好像都沒有什麼希望
[00:02:54.000 --> 00:02:58.000]  但是正當我們人以為沒有希望的時候
[00:02:58.000 --> 00:03:01.000]  聖靈又這麼輕而易舉地去創造出一個突破
[00:03:01.000 --> 00:03:05.000]  所以讓我們看見,聖靈只要與我們一起同宮
[00:03:05.000 --> 00:03:09.000]  或者我們甘心願意在聖靈的引導之下
[00:03:09.000 --> 00:03:12.000]  我們所做的,只要上帝的工作
[00:03:12.000 --> 00:03:16.000]  上帝藉著聖靈與我們的同宮就一定可以達成
[00:03:16.000 --> 00:03:22.000]  因為我們知道有一樣東西是聖靈做得到而我們做不到的
[00:03:22.000 --> 00:03:26.000]  就是聖靈能夠預備和感召相信主的人
[00:03:26.000 --> 00:03:28.000]  能夠回到神的面前
[00:03:28.000 --> 00:03:35.000]  不斷地去追求、認識甚至緊貼上帝的說話去做成主的工作
[00:03:35.000 --> 00:03:37.000]  所以今天我們作為基督徒
[00:03:37.000 --> 00:03:40.000]  我們同樣要成為聖靈的同宮
[00:03:40.000 --> 00:03:42.000]  我們必須做到一件事
[00:03:42.000 --> 00:03:45.000]  就是要忠心將上帝的說話
[00:03:45.000 --> 00:03:47.000]  沒有加添沒有減少
[00:03:47.000 --> 00:03:50.000]  準確地去傳遞開給不同的人
[00:03:50.000 --> 00:03:53.000]  當道、神的道一傳開
[00:03:53.000 --> 00:03:55.000]  人聽見神的道的時候
[00:03:55.000 --> 00:04:00.000]  聖靈就會預備這些已經被感召、預備好去接受主道的人
[00:04:00.000 --> 00:04:03.000]  就會來承接上帝的說話
[00:04:03.000 --> 00:04:05.000]  並且作出積極的回應
[00:04:05.000 --> 00:04:10.000]  在今天我們所看的第十三章的第十三節至第四十三節
[00:04:10.000 --> 00:04:13.000]  我們會從這段聖經裡面
[00:04:13.000 --> 00:04:17.000]  看看保羅和巴拿巴他們在侍奉的時候
[00:04:17.000 --> 00:04:20.000]  他們其實去經歷一個什麼樣的突破呢?
[00:04:20.000 --> 00:04:25.000]  就是他們體會到上帝原來他恩著愛我們
[00:04:25.000 --> 00:04:27.000]  他受過很多的冤屈
[00:04:27.000 --> 00:04:30.000]  怎樣我們才能夠體貼到這件事
[00:04:30.000 --> 00:04:33.000]  從而讓我們突破到在侍奉上面
[00:04:33.000 --> 00:04:36.000]  只是維繫在祈求結果
[00:04:36.000 --> 00:04:41.000]  而沒有他真的體會到上帝的心腸這個遺憾呢?
[00:04:41.000 --> 00:04:44.000]  希望我們能夠透過這段經文去一起看看
[00:04:44.000 --> 00:04:46.000]  今天我們去看的這段經文
[00:04:46.000 --> 00:04:48.000]  是總共有三十一節
[00:04:48.000 --> 00:04:50.000]  其中有二十五節
