
[00:00:00.000 --> 00:00:05.040]  回到今天我們的訊息
[00:00:05.040 --> 00:00:11.840]  我最後一份工作是在觀塘基督教聯合醫院工作
[00:00:11.840 --> 00:00:26.400]  介紹我進去是當時醫院的總護士長介紹我進去的
[00:00:26.400 --> 00:00:30.880]  早一陣子他約了我喝茶
[00:00:30.880 --> 00:00:35.280]  他知道我現在當了牧師
[00:00:35.280 --> 00:00:38.360]  又知道我喜歡看書
[00:00:38.360 --> 00:00:41.200]  他送了一本書給我
[00:00:41.200 --> 00:00:45.800]  那本書的名字很奇怪很得意
[00:00:45.800 --> 00:00:50.080]  叫做馬鈴薯湯教會
[00:00:50.080 --> 00:00:57.200]  是介紹韓國一間教會本來叫做首爾光嚴教會
[00:00:57.200 --> 00:00:59.040]  是介紹韓國一間教會
[00:00:59.040 --> 00:01:03.040]  它本身的名字是首爾光嚴教會
[00:01:03.040 --> 00:01:08.800]  有機會我一定要請黎明的太太信我帶我參觀這間教會
[00:01:08.800 --> 00:01:13.400]  有機會我一定要請黎明的太太信愛帶我去參觀這間教會
[00:01:13.400 --> 00:01:14.720]  黎明今天不在
[00:01:14.720 --> 00:01:15.960]  黎明今天好像不在
[00:01:15.960 --> 00:01:21.840]  這間教會原來是開在馬鈴薯湯店的樓上
[00:01:21.840 --> 00:01:26.400]  這間教會是開在馬鈴薯湯店的上面
[00:01:26.400 --> 00:01:33.760]  教會的招牌就被馬鈴薯湯的招牌遮蓋了
[00:01:33.760 --> 00:01:38.080]  教會的招牌就被馬鈴薯湯店的招牌遮蓋了
[00:01:38.080 --> 00:01:42.080]  會有些人去找這間教會的時候就看到馬鈴薯湯的招牌
[00:01:42.080 --> 00:01:47.200]  會有些人去找這間教會的時候就看到馬鈴薯湯的招牌
[00:01:47.200 --> 00:01:49.600]  慢慢地就不叫它做光嚴教會
[00:01:49.600 --> 00:01:51.600]  就叫它做馬鈴薯湯教會
[00:01:51.600 --> 00:01:54.840]  所以慢慢地人民就不叫這個叫光嚴教會
[00:01:54.840 --> 00:01:57.000]  反而叫做馬鈴薯湯教會
[00:01:57.000 --> 00:01:58.720]  這間教會有九百人
[00:01:58.720 --> 00:02:00.000]  這間教會有九百人
[00:02:00.000 --> 00:02:02.040]  大家如果在韓國九百人
[00:02:02.040 --> 00:02:05.720]  就是一些很寒酸的教會
[00:02:05.720 --> 00:02:06.960]  如果在韓國來說
[00:02:06.960 --> 00:02:09.320]  這個是很寒酸的一個教會
[00:02:09.320 --> 00:02:12.360]  大家都知道趙鴻基的教會是超過70萬人
[00:02:12.360 --> 00:02:16.000]  大家都知道趙鴻基的教會是超過70萬人
[00:02:16.000 --> 00:02:19.280]  所以九百人在韓國是一些非常小的教會
[00:02:19.280 --> 00:02:22.520]  所以九百人是在韓國一個非常小的教會
[00:02:22.520 --> 00:02:25.200]  他們沒有自己的永久的堂址
[00:02:25.200 --> 00:02:27.280]  只是租一個地方十幾年
[00:02:27.280 --> 00:02:28.720]  他們沒有自己的堂址
[00:02:28.720 --> 00:02:31.320]  只是租一個小地方去聚會
[00:02:31.320 --> 00:02:34.120]  他們每個星期是有八堂崇拜
[00:02:34.120 --> 00:02:36.200]  他們每個星期有八堂崇拜
[00:02:36.200 --> 00:02:37.440]  早上五堂
[00:02:37.440 --> 00:02:40.920]  晚上三堂
[00:02:40.920 --> 00:02:46.600]  你可以想像每一堂崇拜的容量是大概百多人
[00:02:46.600 --> 00:02:50.920]  你可以想像每一堂崇拜的容量是大概百多人
[00:02:50.920 --> 00:02:54.600]  差不多是一堂接一堂
[00:02:54.600 --> 00:02:57.560]  差不多是一堂接一堂的聚會
[00:02:57.560 --> 00:03:00.840]  如果牧師用一篇信息講八次的話同一天
[00:03:00.840 --> 00:03:04.080]  如果牧師用一篇信息講八次的話同一天
[00:03:04.080 --> 00:03:07.200]  我最高紀錄是一篇信息一天講四次
[00:03:07.200 --> 00:03:09.800]  我最高紀錄是一篇信息一天講四次
[00:03:09.800 --> 00:03:13.640]  但如果講到第五次我想開始會作嘔
[00:03:13.640 --> 00:03:18.000]  如果講到第五次可能我想吐
[00:03:18.000 --> 00:03:23.960]  但這間教會卻是發揮一個非常龐大的屬靈力量
[00:03:23.960 --> 00:03:27.560]  但這間教會卻是發揮一個非常龐大的屬靈力量
[00:03:27.560 --> 00:03:30.960]  韓國的電視台爭相報導這間教會
[00:03:30.960 --> 00:03:33.480]  韓國的電視台爭相報導這間教會
[00:03:33.480 --> 00:03:37.680]  創會的牧師叫做趙顯山牧師
[00:03:37.680 --> 00:03:41.320]  創會的牧師叫做趙顯山牧師
[00:03:41.320 --> 00:03:45.360]  他設立這間教會的時候定了十大意象
[00:03:45.360 --> 00:03:48.200]  他設立這間教會的時候定了十大意象
[00:03:48.200 --> 00:03:51.240]  我們看看這間教會定的意象
[00:03:51.240 --> 00:03:54.640]  和我們所理解教會的意象有什麼分別
[00:03:54.640 --> 00:03:56.280]  我們看看他所定的意象
[00:03:56.280 --> 00:03:59.400]  和我們所理解的教會的意象有什麼分別
[00:03:59.400 --> 00:04:00.800]  他的意象是
[00:04:00.800 --> 00:04:05.200]  第一要成為世界上奉獻最多宣教經費的教會
[00:04:05.200 --> 00:04:10.080]  他的意象第一就是成為世界上奉獻最多宣教經費的教會
[00:04:10.080 --> 00:04:17.720]  第二個意象是在韓國的國內和國外設立一百間以上的教會
[00:04:17.720 --> 00:04:23.840]  第二個意象是在韓國國內和國外設立一百間以上的教會
[00:04:23.840 --> 00:04:27.040]  第三是支持一百位以上的宣教士
[00:04:27.040 --> 00:04:30.240]  第三是支持一百位以上的宣教士
[00:04:30.240 --> 00:04:33.720]  第四是發出一千萬張以上的福音丹章
[00:04:33.720 --> 00:04:36.480]  第四是發出一千萬張以上的福音丹章
[00:04:36.480 --> 00:04:41.280]  第五是對國內奉獻最多救濟經費的教會
