
[00:00:00.000 --> 00:00:04.200]  請姐妹們平安,讓我們一同祈禱
[00:00:04.200 --> 00:00:11.200]  感謝妳的恩典,讓我們在祝一的清晨可以聚集,來敬拜妳
[00:00:11.200 --> 00:00:15.400]  希望我們思想這個話語的時候,求聖靈幫助我們
[00:00:15.400 --> 00:00:19.100]  明白妳自己的說話,並且可以謹守進行
[00:00:19.100 --> 00:00:23.800]  奉耶穌基督的名祈禱,阿們
[00:00:23.800 --> 00:00:28.100]  最近我們都在看《老家福音》四到八章
[00:00:28.100 --> 00:00:34.100]  我們給這個系列的名稱是,「他是我王」
[00:00:34.100 --> 00:00:37.400]  希望透過思想主耶穌的身份
[00:00:37.400 --> 00:00:40.000]  幫助我們能夠接納主耶穌
[00:00:40.000 --> 00:00:45.000]  做我們生命的王,或者生命的主
[00:00:45.000 --> 00:00:47.100]  在第四章開始的時候
[00:00:47.100 --> 00:00:51.100]  我們認識到耶穌是沒後的亞當
[00:00:51.100 --> 00:00:56.800]  是真以色列人,是上帝的兒子
[00:00:56.800 --> 00:01:00.400]  雖然祂遇到魔鬼很厲害的誘惑
[00:01:00.400 --> 00:01:04.600]  祂仍然能夠勝過試探
[00:01:04.600 --> 00:01:07.300]  上星期張傳道和我們分享
[00:01:07.300 --> 00:01:10.300]  主耶穌藉著《以塞亞書》的經文
[00:01:10.300 --> 00:01:15.900]  介紹祂就是「微塞亞」
[00:01:15.900 --> 00:01:18.300]  今天的經文,主耶穌介紹
[00:01:18.300 --> 00:01:21.900]  祂自己就是上帝,是安息日的王
[00:01:21.900 --> 00:01:26.000]  配得做我們生命的王
[00:01:26.000 --> 00:01:27.400]  我想先解釋一下
[00:01:27.400 --> 00:01:31.900]  在舊約中有關安息日的教導和意義
[00:01:31.900 --> 00:01:35.000]  然後再思想路教福音第六章
[00:01:35.000 --> 00:01:39.500]  今天讀過的經文的意義
[00:01:39.500 --> 00:01:43.500]  安息在聖經中第一次出現
[00:01:43.500 --> 00:01:48.100]  是在《創世紀》二章第二節
[00:01:48.100 --> 00:01:51.000]  那裡說到第七日
[00:01:51.000 --> 00:01:55.000]  上帝已經完成了造物之功
[00:01:55.000 --> 00:01:58.200]  就在第七日安息了
[00:01:58.200 --> 00:02:03.200]  協了祂所造一切的功
[00:02:03.200 --> 00:02:05.900]  這裡似乎給我們一個印象
[00:02:05.900 --> 00:02:07.800]  安息就等於停工
[00:02:07.800 --> 00:02:11.800]  一切都不做,停下來休息
[00:02:11.800 --> 00:02:14.600]  但是上帝不是人
[00:02:14.600 --> 00:02:17.200]  祂應該不會累
[00:02:17.200 --> 00:02:21.300]  祂應該不需要休息,是不是?
[00:02:21.300 --> 00:02:23.800]  此外,在新約章當中
[00:02:23.800 --> 00:02:28.600]  主耶穌曾經在約翰福五章十七節說
[00:02:28.600 --> 00:02:34.100]  「我父祖造事,直到如今我也造事」
[00:02:34.100 --> 00:02:36.800]  而當耶穌說這句話的時候
[00:02:36.800 --> 00:02:39.600]  正正是由於祂在安息日
[00:02:39.600 --> 00:02:44.500]  醫好了一位病了三十八年的人
[00:02:44.500 --> 00:02:49.700]  就被猶太人抨擊說祂在安息日醫病
[00:02:49.700 --> 00:02:51.500]  那我們要思想了
[00:02:51.500 --> 00:02:54.300]  耶穌在安息日醫病
[00:02:54.300 --> 00:02:59.500]  又說祂只不過是效法祂父親,即是上帝
[00:02:59.500 --> 00:03:05.300]  那究竟上帝在安息日有沒有工作呢?
[00:03:05.300 --> 00:03:09.700]  如果祂有工作,祂又怎樣安息呢?
[00:03:09.700 --> 00:03:11.500]  從耶穌的說話
[00:03:11.500 --> 00:03:15.500]  以及祂在安息日所造的工作來看
[00:03:15.500 --> 00:03:19.200]  上帝在安息日是在做一些事
[00:03:19.200 --> 00:03:25.300]  祂是做保護生命、賦予人生命的工作
[00:03:25.300 --> 00:03:30.700]  經驗告訴我們一定是有嬰兒在安息日出生
[00:03:30.700 --> 00:03:34.200]  而生命是上帝所賜的
[00:03:34.200 --> 00:03:36.200]  嬰兒在安息日出生
[00:03:36.200 --> 00:03:40.300]  也證明上帝在安息日仍然工作
[00:03:40.300 --> 00:03:41.500]  那安息呢?
[00:03:41.500 --> 00:03:45.200]  就似乎不是什麼都不做
[00:03:45.200 --> 00:03:49.600]  我們從另一處經文了解安息的意義
