
[00:00:00.000 --> 00:00:03.500]  很高興再一次在港台和大家見面
[00:00:03.500 --> 00:00:06.500]  剛才領事姐姐就說
[00:00:06.500 --> 00:00:09.000]  天氣很好 綠色
[00:00:09.000 --> 00:00:11.000]  周圍大地都一片綠
[00:00:11.000 --> 00:00:12.000]  她穿得很綠
[00:00:12.000 --> 00:00:13.500]  我見到兩個大哥的
[00:00:13.500 --> 00:00:15.500]  大家覺得很冷 是不是
[00:00:15.500 --> 00:00:19.000]  但我相信應該天氣會一路好下去
[00:00:19.000 --> 00:00:22.000]  希望大家新來的朋友
[00:00:22.000 --> 00:00:24.000]  早日適應英國的天氣
[00:00:24.000 --> 00:00:25.500]  記得初初來英國的時候
[00:00:25.500 --> 00:00:27.500]  第一件事就是要適應英國的天氣
[00:00:27.500 --> 00:00:29.500]  第二就是要適應英國的食物
[00:00:29.500 --> 00:00:32.000]  那時候是上世紀的事
[00:00:32.000 --> 00:00:34.500]  現在我們幸福很多
[00:00:34.500 --> 00:00:37.500]  英文有句字叫resign
[00:00:37.500 --> 00:00:39.500]  resign大家聽這個字
[00:00:39.500 --> 00:00:42.500]  第一件事想起就是辭職
[00:00:42.500 --> 00:00:44.500]  resign from a job
[00:00:44.500 --> 00:00:47.500]  大家都應該很明白這個字
[00:00:47.500 --> 00:00:50.000]  但resign還有另外一個解釋
[00:00:50.000 --> 00:00:52.000]  如果你resign to一些東西
[00:00:52.000 --> 00:00:53.500]  意思就是說
[00:00:53.500 --> 00:00:57.000]  我對一件事感覺非常無奈
[00:00:57.000 --> 00:00:59.500]  我都沒有辦法可以改變什麼
[00:00:59.500 --> 00:01:02.500]  所以我真的好像辭了一份工作
[00:01:02.500 --> 00:01:03.500]  當然不是這個意思
[00:01:03.500 --> 00:01:05.000]  resign to
[00:01:05.000 --> 00:01:07.000]  譬如我明天要上班
[00:01:07.000 --> 00:01:09.000]  週末都要上班
[00:01:09.000 --> 00:01:10.000]  沒辦法
[00:01:10.000 --> 00:01:11.500]  resign to working this weekend
[00:01:11.500 --> 00:01:13.500]  沒辦法 一定要
[00:01:13.500 --> 00:01:15.500]  老闆叫我一定要上班
[00:01:15.500 --> 00:01:17.000]  就是resign這個意思
[00:01:17.000 --> 00:01:19.500]  今天我們講的題目
[00:01:19.500 --> 00:01:22.500]  就是人生就是那麼無奈
[00:01:22.500 --> 00:01:27.500]  很少找一個這麼長的題目
[00:01:27.500 --> 00:01:28.500]  就是八個字
[00:01:28.500 --> 00:01:30.500]  無奈這個字
[00:01:30.500 --> 00:01:32.500]  我們大家都很明白
[00:01:32.500 --> 00:01:33.500]  是為什麼
[00:01:33.500 --> 00:01:35.000]  就是無可奈何
[00:01:35.000 --> 00:01:36.500]  但是究竟是什麼意思呢
[00:01:36.500 --> 00:01:38.500]  原來包含了很多東西在裡面
[00:01:38.500 --> 00:01:40.500]  包含了我們是無力
[00:01:40.500 --> 00:01:42.500]  就是有些事情我做不了
[00:01:42.500 --> 00:01:43.500]  powerless 做不了
[00:01:43.500 --> 00:01:45.500]  或者無助 helpless
[00:01:45.500 --> 00:01:47.500]  就是我幫不了我自己
[00:01:47.500 --> 00:01:48.500]  你又幫不了我
[00:01:48.500 --> 00:01:50.500]  我身邊的朋友幫不了我
[00:01:50.500 --> 00:01:52.500]  Facebook裡面一千個朋友都幫不了我
[00:01:52.500 --> 00:01:54.500]  我父母又幫不了我
[00:01:54.500 --> 00:01:55.500]  在這樣無助的時候
[00:01:55.500 --> 00:01:57.500]  我感覺就是無奈
[00:01:57.500 --> 00:01:59.500]  還有一樣東西就是我無法控制
[00:01:59.500 --> 00:02:00.500]  uncontrollable
[00:02:00.500 --> 00:02:01.500]  就是說我們
[00:02:01.500 --> 00:02:03.500]  有些東西是我控制不了的
[00:02:03.500 --> 00:02:05.500]  煮到賣了才吃
[00:02:05.500 --> 00:02:07.500]  改變不了世界
[00:02:07.500 --> 00:02:08.500]  憑我一個人的力量
[00:02:08.500 --> 00:02:11.500]  這個也都是感覺是非常無奈
[00:02:11.500 --> 00:02:12.500]  結果產生什麼呢
[00:02:12.500 --> 00:02:14.500]  結果產生了frustration
[00:02:14.500 --> 00:02:15.500]  就是很氣餒
[00:02:15.500 --> 00:02:16.500]  就是想give up
[00:02:16.500 --> 00:02:18.500]  就是不想放棄一些東西
[00:02:18.500 --> 00:02:19.500]  大家有沒有經歷過呢
[00:02:19.500 --> 00:02:20.500]  我相信每一個人都經歷過
[00:02:20.500 --> 00:02:21.500]  很無奈的時候
[00:02:21.500 --> 00:02:22.500]  是不是
[00:02:22.500 --> 00:02:24.500]  你說沒有經歷過是假的
[00:02:24.500 --> 00:02:27.500]  首先看回我們今天的新聞
[00:02:27.500 --> 00:02:29.500]  也都剛才
[00:02:29.500 --> 00:02:31.500]  代討的那位姐姐
[00:02:31.500 --> 00:02:33.500]  也是同一個姐姐
[00:02:33.500 --> 00:02:35.500]  她就提了兩件
[00:02:35.500 --> 00:02:36.500]  我們今天最關注的
[00:02:36.500 --> 00:02:38.500]  第一就是俄羅斯烏克蘭的戰爭
[00:02:38.500 --> 00:02:40.500]  第二就是這個疫情
[00:02:40.500 --> 00:02:41.500]  特別是我們從香港來的朋友
[00:02:41.500 --> 00:02:44.500]  知道香港疫情是非常之嚴重
[00:02:44.500 --> 00:02:46.500]  就這兩件事
[00:02:46.500 --> 00:02:48.500]  我們其實感覺是無奈的
[00:02:48.500 --> 00:02:51.500]  因為俄羅斯入侵烏克蘭
[00:02:51.500 --> 00:02:53.500]  你可能會說烏克蘭在哪裡
[00:02:53.500 --> 00:02:54.500]  都沒有聽過
[00:02:54.500 --> 00:02:55.500]  或者沒有留意
[00:02:55.500 --> 00:02:57.500]  其實離開我們不是很遠
[00:02:57.500 --> 00:02:58.500]  它是歐洲的一部分
[00:02:58.500 --> 00:03:00.500]  在東歐那邊
[00:03:00.500 --> 00:03:01.500]  為什麼這麼重要呢
[00:03:01.500 --> 00:03:04.500]  其實是第二次世界大戰之後
[00:03:04.500 --> 00:03:06.500]  第一次有個主權的國家
[00:03:06.500 --> 00:03:08.500]  在歐洲被入侵
[00:03:08.500 --> 00:03:09.500]  就是全面性入侵
[00:03:09.500 --> 00:03:11.500]  不要計算恐怖分子在那裡
[00:03:11.500 --> 00:03:12.500]  賈寶鎮那些
[00:03:12.500 --> 00:03:16.500]  這個其實是一個很重要的新聞
[00:03:16.500 --> 00:03:19.500]  為什麼重要呢
[00:03:19.500 --> 00:03:20.500]  俄國就是以前蘇聯
[00:03:20.500 --> 00:03:22.500]  它不是一個小的國家
[00:03:22.500 --> 00:03:24.500]  不是一個普通的國家
[00:03:24.500 --> 00:03:27.500]  它是一個軍事非常之強的國家
[00:03:27.500 --> 00:03:29.500]  它擁有很多核子的武器
[00:03:29.500 --> 00:03:30.500]  你不怕嗎
[00:03:30.500 --> 00:03:31.500]  是很怕
[00:03:31.500 --> 00:03:32.500]  還有什麼擔心呢
[00:03:32.500 --> 00:03:33.500]  還有擔心就是
[00:03:33.500 --> 00:03:35.500]  你說是很遠
[00:03:35.500 --> 00:03:36.500]  但是不要忘記
[00:03:36.500 --> 00:03:38.500]  第二次世界大戰開始的時候
[00:03:38.500 --> 00:03:40.500]  都是距離我們很遠
[00:03:40.500 --> 00:03:43.500]  它都是德國入侵波蘭的時候開始
[00:03:43.500 --> 00:03:45.500]  波蘭都是東歐的
[00:03:45.500 --> 00:03:47.500]  是一直蔓延過來
[00:03:47.500 --> 00:03:50.500]  後來西方國家要加入
[00:03:50.500 --> 00:03:52.500]  其他國家包括日本
[00:03:52.500 --> 00:03:54.500]  意大利又搞一搞
[00:03:54.500 --> 00:03:56.500]  變成了全世界一個世界大戰
[00:03:56.500 --> 00:03:59.500]  所以很多事情是星星之火可以燎原
[00:03:59.500 --> 00:04:01.500]  這個是我們擔心的
[00:04:01.500 --> 00:04:03.500]  就算你說不殺過來也好
[00:04:03.500 --> 00:04:05.500]  其實是影響我們的生活的
[00:04:05.500 --> 00:04:07.500]  我不去波蘭旅行就可以了
[00:04:07.500 --> 00:04:09.500]  大家全球經濟一體的時候
[00:04:09.500 --> 00:04:11.500]  其實是影響我們的經濟
[00:04:11.500 --> 00:04:12.500]  大家都知道
[00:04:12.500 --> 00:04:15.500]  早前COVID之後我們的東西都貴了
[00:04:15.500 --> 00:04:16.500]  燃油又貴了
[00:04:16.500 --> 00:04:17.500]  食物又貴了
[00:04:17.500 --> 00:04:21.500]  其實因為現在因為有戰爭
