
[00:00:00.000 --> 00:00:06.240]  我們一同繼續進深思想約拿書的信息
[00:00:06.240 --> 00:00:09.580]  約拿書是一卷很特別的先知書
[00:00:09.580 --> 00:00:12.080]  一般的先知書主要的內容
[00:00:12.080 --> 00:00:16.940]  是要記載神如何透過先知去宣告很重要的信息
[00:00:16.940 --> 00:00:19.400]  特別是審判的信息
[00:00:19.400 --> 00:00:22.940]  特別是呼籲百姓迴轉的信息
[00:00:22.940 --> 00:00:24.320]  但在約拿書裏面
[00:00:24.320 --> 00:00:28.680]  絕大部分的篇幅都是關於約拿本身自己的
[00:00:28.680 --> 00:00:31.700]  在整卷書裏面只有一節的經文
[00:00:31.700 --> 00:00:37.160]  是約拿去為神向利利微宣告的信息
[00:00:37.160 --> 00:00:38.560]  或者嚴格來說
[00:00:38.560 --> 00:00:42.760]  在原文當中約拿只說了五個字
[00:00:42.760 --> 00:00:44.360]  在中文的翻譯裏面就是
[00:00:44.360 --> 00:00:48.160]  「再等四十日,利利微必傾覆了。」
[00:00:48.160 --> 00:00:50.720]  這卷書不是很長的篇幅
[00:00:50.720 --> 00:00:53.380]  總共只有四章的篇幅
[00:00:53.380 --> 00:00:56.440]  加起來只有四十八節的聖經
[00:00:56.440 --> 00:00:59.760]  但當中的內容卻十分豐富
[00:00:59.760 --> 00:01:03.520]  透過如何描述約拿與神之間的糾纏
[00:01:03.520 --> 00:01:07.200]  讓我們更深地認識神對人的愛
[00:01:07.200 --> 00:01:11.600]  也讓我們更深地認識我們自己
[00:01:11.600 --> 00:01:13.640]  約拿書正如剛才所說
[00:01:13.640 --> 00:01:19.240]  裏面記載了大禹的神蹟
[00:01:19.240 --> 00:01:24.600]  再加上整卷書裏的寫作手法非常生動
[00:01:24.600 --> 00:01:26.720]  所以有些意見認為
[00:01:26.720 --> 00:01:29.440]  其實約拿書只是一個故事
[00:01:29.440 --> 00:01:30.680]  不是真實的
[00:01:30.680 --> 00:01:33.080]  只是一些預言
[00:01:33.080 --> 00:01:37.080]  不過其實支持約拿書
[00:01:37.080 --> 00:01:39.600]  是一卷真實歷史記載的論點
[00:01:39.600 --> 00:01:40.640]  其實有很多
[00:01:40.640 --> 00:01:44.080]  而當中最重要最有力的支持是
[00:01:44.080 --> 00:01:46.480]  耶穌基督在新約的時候
[00:01:46.480 --> 00:01:49.600]  無論在《馬太福音》的十二章
[00:01:49.600 --> 00:01:52.040]  或者在《路加福音》的十一章
[00:01:52.040 --> 00:01:56.880]  都曾經很清楚地引述約拿的事跡
[00:01:56.880 --> 00:02:00.760]  引述利利未人的悔改
[00:02:00.760 --> 00:02:04.480]  因此這卷書的真實性和重要性
[00:02:04.480 --> 00:02:06.880]  是毋庸置疑的
[00:02:06.880 --> 00:02:08.120]  在未來的幾個主日
[00:02:08.120 --> 00:02:10.240]  我們會每一次一章
[00:02:10.240 --> 00:02:12.760]  來思想約拿書的訊息
[00:02:12.760 --> 00:02:14.880]  思想整卷的約拿書
[00:02:14.880 --> 00:02:15.600]  在今年的早上
[00:02:15.600 --> 00:02:18.440]  我們會一同來思想第一章
[00:02:18.440 --> 00:02:23.760]  我給他的題目是「豈可躲避耶和華」
[00:02:23.760 --> 00:02:27.160]  首先我們再來看一些背景資料
[00:02:27.160 --> 00:02:30.520]  約拿先知是在主前八世紀的
[00:02:30.520 --> 00:02:32.320]  以色列國的先知
[00:02:32.320 --> 00:02:33.640]  在他同期的時候
[00:02:33.640 --> 00:02:36.800]  有阿摩斯和荷西亞先知
[00:02:36.800 --> 00:02:39.480]  每當我們去想起約拿的時候
[00:02:39.480 --> 00:02:42.120]  我不知道你有什麼印象
[00:02:42.120 --> 00:02:44.040]  會不會是一個不聽神
[00:02:44.040 --> 00:02:47.000]  不信服神的旨意的先知
[00:02:47.000 --> 00:02:51.440]  或者是一個要落荒而逃的小人物
[00:02:51.440 --> 00:02:53.520]  不過當我們再看
[00:02:53.520 --> 00:02:58.320]  根據列王紀夏十四章二十五節記載
[00:02:58.320 --> 00:03:01.320]  當時的以色列王是耶羅邦安二世
[00:03:01.320 --> 00:03:06.600]  而約拿先知是可以直接向王見他
[00:03:06.600 --> 00:03:08.960]  傳講神的訊息
[00:03:08.960 --> 00:03:10.280]  可以看到
[00:03:10.280 --> 00:03:12.800]  約拿並不是一個直直無名的小人物
[00:03:12.800 --> 00:03:14.840]  他是博有名氣
[00:03:14.840 --> 00:03:17.720]  甚至是一個出名的先知
[00:03:17.720 --> 00:03:21.680]  但儘管約拿是一個有名的先知
[00:03:21.680 --> 00:03:26.880]  但他對神的回應卻是出人意表
[00:03:26.880 --> 00:03:28.720]  至於尼尼尚
[00:03:28.720 --> 00:03:31.440]  他是亞述國的首都
[00:03:31.440 --> 00:03:35.000]  亞述在當時是一個很強盛的時代
[00:03:35.000 --> 00:03:36.360]  他非常好戰
[00:03:36.360 --> 00:03:37.960]  經常入侵鄰國
[00:03:37.960 --> 00:03:42.680]  所以他是以色列一個很強大的外敵
[00:03:42.680 --> 00:03:44.600]  亞述人非常兇殘
[00:03:44.600 --> 00:03:46.200]  道德很敗壞
[00:03:46.200 --> 00:03:47.680]  甚至聖經裡形容
[00:03:47.680 --> 00:03:51.880]  他們會用計謀來攻擊耶和華
[00:03:51.880 --> 00:03:54.760]  因此有些人形容
[00:03:54.760 --> 00:03:59.520]  利尼尼就好像另一個所多瑪一樣
[00:03:59.520 --> 00:04:03.400]  另一卷的小仙之書《拿弘書》
[00:04:03.400 --> 00:04:08.280]  對利尼尼的惡行有更詳細的描述和審判
[00:04:08.280 --> 00:04:09.560]  雖然年代不同
[00:04:09.560 --> 00:04:14.160]  《拿弘書》比約拿書遲了百多年的時間
[00:04:14.160 --> 00:04:17.080]  但在當中我們可以再看更多
[00:04:17.080 --> 00:04:20.680]  關於亞述人的一些敗壞的情況
[00:04:20.680 --> 00:04:23.920]  就在這個歷史的背景之下
[00:04:23.920 --> 00:04:26.560]  神的話臨到約拿才知道
[00:04:26.560 --> 00:04:32.480]  我們再一次來看第一章一至二節
[00:04:32.480 --> 00:04:36.440]  耶和華的話臨到阿米泰的兒子約拿說
[00:04:36.440 --> 00:04:38.760]  「你起來往利尼尼大城去
[00:04:38.760 --> 00:04:40.960]  向其中的居民呼喊
[00:04:40.960 --> 00:04:44.760]  因為他們的惡達到我面前」
[00:04:44.760 --> 00:04:47.040]  這兩字的經文對約拿來說
[00:04:47.040 --> 00:04:49.800]  是一個很清晰的呼召
[00:04:49.800 --> 00:04:50.960]  特別在第二節
